timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-09-25T02:14:07.810030,language_response_2,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-25T02:14:09.422752,language_response_3,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-25T02:14:11.289996,language_response_4,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: ssrf_injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response contains a null value for the 'language' field. This could be an indication of an internal network request being made, potentially resulting in a SSRF vulnerability. However, a more in-depth analysis of the GraphQL schema and operation is required to confirm this finding."", ""evidence"": ""The response contains an internal network access (language null) which is a clear indicator of SSRF vulnerability"", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""ssrf_injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""The response contains an internal network access (language null) which is a clear indicator of SSRF vulnerability"", ""explanation"": ""The GraphQL response contains a null value for the 'language' field. This could be an indication of an internal network request being made, potentially resulting in a SSRF vulnerability. However, a more in-depth analysis of the GraphQL schema and operation is required to confirm this finding.""}}]"
2025-09-25T02:14:14.416474,language_response_5,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-25T02:14:17.963955,language_response_6,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: path_injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""A path-injection vulnerability occurs when an attacker can manipulate the database query by injecting a crafted query into the GraphQL query string. In this case, the response from the 'language' field being null suggests that the query may be attempting to access a non-existent or sensitive resource, which could allow an attacker to extract or modify sensitive data. Further analysis would be required to confirm this finding, but the indicators suggest a potential path-injection attack may have occurred."", ""evidence"": ""The response contains a null response from the database, which could indicate a potential path injection vulnerability. Specifically, the response body contains an empty language field, which may be the result of a maliciously crafted query."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""path_injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""The response contains a null response from the database, which could indicate a potential path injection vulnerability. Specifically, the response body contains an empty language field, which may be the result of a maliciously crafted query."", ""explanation"": ""A path-injection vulnerability occurs when an attacker can manipulate the database query by injecting a crafted query into the GraphQL query string. In this case, the response from the 'language' field being null suggests that the query may be attempting to access a non-existent or sensitive resource, which could allow an attacker to extract or modify sensitive data. Further analysis would be required to confirm this finding, but the indicators suggest a potential path-injection attack may have occurred.""}}]"
2025-09-25T02:14:20.614426,language_response_7,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-25T02:14:28.645998,language_response_8,,0,1,0.0,llm_only,,,Access Control,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: query_deny_bypass"", ""detection"": ""vulnerable"", ""category"": ""Access Control"", ""description"": ""The provided GraphQL responses suggest a possible query deny bypass vulnerability. The non-aliased query to retrieve language data is blocked with a 400 status (invalid request), while the aliased query (using query aliases) succeeds with a 200 status and returns similar data. Although the aliased query also returns an error message, the presence of actual data indicates a potential vulnerability. To confirm, manual testing is recommended to verify if this bypass is indeed exploitable in production."", ""evidence"": ""Non-aliased query returns 400 (BLOCKED) and aliased query returns 200 (SUCCESS) with similar data, indicating potential access control bypass"", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""query_deny_bypass"", ""severity"": ""HIGH"", ""confidence"": 0.8, ""evidence"": ""Non-aliased query returns 400 (BLOCKED) and aliased query returns 200 (SUCCESS) with similar data, indicating potential access control bypass"", ""explanation"": ""The provided GraphQL responses suggest a possible query deny bypass vulnerability. The non-aliased query to retrieve language data is blocked with a 400 status (invalid request), while the aliased query (using query aliases) succeeds with a 200 status and returns similar data. Although the aliased query also returns an error message, the presence of actual data indicates a potential vulnerability. To confirm, manual testing is recommended to verify if this bypass is indeed exploitable in production.""}}]"
2025-09-25T02:14:35.789842,language_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-25T02:14:39.055762,language_response_10,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: Introspection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The error messages in the response suggest that GraphQL's introspection feature is exposed, allowing an attacker to obtain information about the schema. This can lead to vulnerabilities like access control bypass and information disclosure. It is crucial to mitigate this vulnerability by implementing security features such as schema hiding, input validation, and rate limiting."", ""evidence"": [""Errors in the response indicate field validation failed for `queryType`, `mutationType`, `subscriptionType`, `types`, and `directives` on type `Language`. This suggests that GraphQL's introspection feature is exposed."", ""The presence of these types in the error messages reveals the GraphQL schema, which is indicative of an Introspection vulnerability.""], ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Introspection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": [""Errors in the response indicate field validation failed for `queryType`, `mutationType`, `subscriptionType`, `types`, and `directives` on type `Language`. This suggests that GraphQL's introspection feature is exposed."", ""The presence of these types in the error messages reveals the GraphQL schema, which is indicative of an Introspection vulnerability.""], ""explanation"": ""The error messages in the response suggest that GraphQL's introspection feature is exposed, allowing an attacker to obtain information about the schema. This can lead to vulnerabilities like access control bypass and information disclosure. It is crucial to mitigate this vulnerability by implementing security features such as schema hiding, input validation, and rate limiting.""}}]"
2025-09-25T02:14:43.835506,language_response_11,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL API is returning a list of countries and their capitals, which could be considered sensitive information. This suggests that the API is exposing its internal structure, potentially allowing an attacker to gather information about the database schema. In addition, the list of countries could be used to infer the existence of other sensitive data, such as national borders, members of the United Nations, etc."", ""evidence"": ""The response contains a list of countries with their capitals, which could be considered sensitive information, potentially exposing the schema of the underlying database."", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""HIGH"", ""confidence"": 0.95, ""evidence"": ""The response contains a list of countries with their capitals, which could be considered sensitive information, potentially exposing the schema of the underlying database."", ""explanation"": ""The GraphQL API is returning a list of countries and their capitals, which could be considered sensitive information. This suggests that the API is exposing its internal structure, potentially allowing an attacker to gather information about the database schema. In addition, the list of countries could be used to infer the existence of other sensitive data, such as national borders, members of the United Nations, etc.""}}]"
