timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-07T01:57:15.106798,CvocConcept_response_2,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: SQL Injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response body contains 'null' which is a common SQL error message. This suggests that the query may have resulted in a database error, potentially due to an SQL injection attack. Further analysis of the query and database interaction is required to confirm the presence of SQL injection vulnerability."", ""evidence"": ""SQL error message 'null' in response body indicating potential SQL injection"", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""SQL Injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.8, ""evidence"": ""SQL error message 'null' in response body indicating potential SQL injection"", ""explanation"": ""The response body contains 'null' which is a common SQL error message. This suggests that the query may have resulted in a database error, potentially due to an SQL injection attack. Further analysis of the query and database interaction is required to confirm the presence of SQL injection vulnerability.""}}]"
2025-10-07T01:57:19.735054,CvocConcept_response_3,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The presence of a script tag in the response body indicates a potential XSS vulnerability. The error message mentions an 'offending token' at line 7, column 20, which suggests that user-input data is being injected into the response. The classification 'InvalidSyntax' further supports this finding, as it implies that the input data is not being properly sanitized or validated."", ""evidence"": ""The response body contains a script tag: '\""<script>alert('xss')</script>\""'"", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.8, ""evidence"": ""The response body contains a script tag: '\""<script>alert('xss')</script>\""'"", ""explanation"": ""The presence of a script tag in the response body indicates a potential XSS vulnerability. The error message mentions an 'offending token' at line 7, column 20, which suggests that user-input data is being injected into the response. The classification 'InvalidSyntax' further supports this finding, as it implies that the input data is not being properly sanitized or validated.""}}]"
2025-10-07T01:57:24.934328,CvocConcept_response_4,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: ssrf_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""In GraphQL APIs,uardians expect data to be returned in response to queries, even if the query itself is malformed or intended to test the bounds of the API. The empty `CvocConcept` in this response suggests that the server is returning an incomplete or error response, potentially due to accessing an internal resource that isn't configured for execution under normal operations. This, combined with the expected high confidence level, suggests a reasonable possibility of SSRF injection."", ""evidence"": ""The empty 'CvocConcept' field may indicate that the GraphQL API is reflecting an internal server request failure or an error response from a dependent service, potentially exposing internal information. Specifically, it returns `null` for a query that should presumably return a concept. This behavior is suspicious and may indicate an SSRF vulnerability."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""ssrf_injection"", ""severity"": ""HIGH"", ""confidence"": 0.8, ""evidence"": ""The empty 'CvocConcept' field may indicate that the GraphQL API is reflecting an internal server request failure or an error response from a dependent service, potentially exposing internal information. Specifically, it returns `null` for a query that should presumably return a concept. This behavior is suspicious and may indicate an SSRF vulnerability."", ""explanation"": ""In GraphQL APIs,uardians expect data to be returned in response to queries, even if the query itself is malformed or intended to test the bounds of the API. The empty `CvocConcept` in this response suggests that the server is returning an incomplete or error response, potentially due to accessing an internal resource that isn't configured for execution under normal operations. This, combined with the expected high confidence level, suggests a reasonable possibility of SSRF injection.""}}]"
2025-10-07T01:57:30.695669,CvocConcept_response_5,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: os_command_injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The error message 'Invalid Syntax : offending token '\""ls -l\""' at line 7 column 20' suggests that the server attempted to execute a system command 'ls -l' which is an indication of OS command injection. Although the error is due to invalid syntax, the presence of a system command within the input data indicates a potential vulnerability. However, the severity is MEDIUM since the vulnerability is not directly exploitable without additional context or flaws in the API's input validation."", ""evidence"": ""The offending token '\""ls -l\""' suggests a malicious input that resulted in a system response, indicating a potential OS command injection vulnerability."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""os_command_injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""The offending token '\""ls -l\""' suggests a malicious input that resulted in a system response, indicating a potential OS command injection vulnerability."", ""explanation"": ""The error message 'Invalid Syntax : offending token '\""ls -l\""' at line 7 column 20' suggests that the server attempted to execute a system command 'ls -l' which is an indication of OS command injection. Although the error is due to invalid syntax, the presence of a system command within the input data indicates a potential vulnerability. However, the severity is MEDIUM since the vulnerability is not directly exploitable without additional context or flaws in the API's input validation.""}}]"
2025-10-07T01:57:38.841747,CvocConcept_response_6,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""Although the response status code indicates a successful operation, the presence of a null value in the \""CvocConcept\"" field raises some concerns about the handling of path-related inputs. It is essential to further investigate the server-side logic and ensure that proper input validation and sanitization are in place to prevent any potential path injection attacks."", ""evidence"": ""The response contains a null value for the \""CvocConcept\"" field, which may indicate a missing or non-existent resource. However, this could also be a legitimate response. Nonetheless, the presence of a \""null\"" value might hint at a path injection vulnerability, where the server is manipulated into accessing a non-expected resource."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Path Injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.9, ""evidence"": ""The response contains a null value for the \""CvocConcept\"" field, which may indicate a missing or non-existent resource. However, this could also be a legitimate response. Nonetheless, the presence of a \""null\"" value might hint at a path injection vulnerability, where the server is manipulated into accessing a non-expected resource."", ""explanation"": ""Although the response status code indicates a successful operation, the presence of a null value in the \""CvocConcept\"" field raises some concerns about the handling of path-related inputs. It is essential to further investigate the server-side logic and ensure that proper input validation and sanitization are in place to prevent any potential path injection attacks.""}}]"
2025-10-07T01:57:48.126214,CvocConcept_response_7,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: XSS (Cross-Site Scripting)"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The presence of HTML tags and script-like content in the error message suggests that the GraphQL endpoint is vulnerable to HTML injection. This type of vulnerability can be exploited by an attacker to inject malicious scripts or HTML content into the application, potentially leading to cross-site scripting (XSS) attacks. The fact that the error message does not indicate any specific vulnerability types such as SQL or command injection, but rather a generic 'Invalid Syntax' error, suggests that the issue is related to the GraphQL query itself, and not an external database or system query. This type of vulnerability is typically significant due to its potential use in attacks such as cross-site scripting, which can lead to a range of attacks and data breaches."", ""evidence"": ""The presence of HTML tags such as <p>, <b>, and script-like content (e.g., '\""<p>Hello,') in the error message indicates a potential HTML injection vulnerability. Specifically, the '<p>Hello, <b>world</b>!\""' token in the error message appears to be the offending string."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""XSS (Cross-Site Scripting)"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""The presence of HTML tags such as <p>, <b>, and script-like content (e.g., '\""<p>Hello,') in the error message indicates a potential HTML injection vulnerability. Specifically, the '<p>Hello, <b>world</b>!\""' token in the error message appears to be the offending string."", ""explanation"": ""The presence of HTML tags and script-like content in the error message suggests that the GraphQL endpoint is vulnerable to HTML injection. This type of vulnerability can be exploited by an attacker to inject malicious scripts or HTML content into the application, potentially leading to cross-site scripting (XSS) attacks. The fact that the error message does not indicate any specific vulnerability types such as SQL or command injection, but rather a generic 'Invalid Syntax' error, suggests that the issue is related to the GraphQL query itself, and not an external database or system query. This type of vulnerability is typically significant due to its potential use in attacks such as cross-site scripting, which can lead to a range of attacks and data breaches.""}}]"
2025-10-07T01:58:01.049717,CvocConcept_response_8,,0,1,0.0,llm_only,,,Unknown,0,0,0,0,1,0,0.0,llm_potential_only,,,Unknown,[],"[{""detection_name"": ""LLM: unknown"", ""detection"": ""potential"", ""category"": ""Unknown"", ""description"": ""**Vulnerability Analysis Results**\n=====================================\n\n**is_vulnerable**: `false`\n**vulnerability_type**: `query_deny_bypass`\n**severity**: `LOW`\n**confidence**: `0.6`\n**evidence**: \""Aliased query has errors, but still returns data. Non-aliased query is blocked with a validation error.\""\n**explanation**: \""The aliased query has an invalid syntax error, but still manages to return data. In contrast, the non-aliased query is blocked with a validation error. This suggests that the access control mechanism may not be properly implemented for aliased queries, but the evidence is not conclusive.\""\n\n**Rationale**:\nWhile the aliased query has errors, it still returns data, which suggests that there might be a potential issue with access control. However, the non-aliased query is blocked with a validation error, which indicates that the access control mechanism is working correctly for non-aliased queries. The severity of the vulnerability is LOW because the evidence is not conclusive, and there is no clear indication of a query deny bypass. The confidence level is set to 0.6, reflecting the uncertainty in the analysis.\n\n**Recommendation**:\nFurther investigation is needed to determine the root cause of the issue and to confirm whether a query deny bypass vulnerability exists. It is essential to review the access control implementation, the query aliases, and the error handling mechanisms to ensure that they are properly configured and aligned with the expected behavior."", ""evidence"": ""Found vulnerability indicators in response"", ""confidence"": 0.3, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""unknown"", ""severity"": ""MEDIUM"", ""confidence"": 0.3, ""evidence"": ""Found vulnerability indicators in response"", ""explanation"": ""**Vulnerability Analysis Results**\n=====================================\n\n**is_vulnerable**: `false`\n**vulnerability_type**: `query_deny_bypass`\n**severity**: `LOW`\n**confidence**: `0.6`\n**evidence**: \""Aliased query has errors, but still returns data. Non-aliased query is blocked with a validation error.\""\n**explanation**: \""The aliased query has an invalid syntax error, but still manages to return data. In contrast, the non-aliased query is blocked with a validation error. This suggests that the access control mechanism may not be properly implemented for aliased queries, but the evidence is not conclusive.\""\n\n**Rationale**:\nWhile the aliased query has errors, it still returns data, which suggests that there might be a potential issue with access control. However, the non-aliased query is blocked with a validation error, which indicates that the access control mechanism is working correctly for non-aliased queries. The severity of the vulnerability is LOW because the evidence is not conclusive, and there is no clear indication of a query deny bypass. The confidence level is set to 0.6, reflecting the uncertainty in the analysis.\n\n**Recommendation**:\nFurther investigation is needed to determine the root cause of the issue and to confirm whether a query deny bypass vulnerability exists. It is essential to review the access control implementation, the query aliases, and the error handling mechanisms to ensure that they are properly configured and aligned with the expected behavior.""}}]"
2025-10-07T01:58:06.979217,CvocConcept_response_9,,0,1,0.0,llm_only,,,Access Control,0,0,0,0,1,0,0.0,llm_potential_only,,,Access Control,[],"[{""detection_name"": ""LLM: query_deny_bypass"", ""detection"": ""potential"", ""category"": ""Access Control"", ""description"": ""The aliased query's structured response in the presence of errors suggests that the access control mechanism may be bypassed using query aliases. However, a direct test failed (4xx status code for both queries), and the_non_alias query has an error indicating schema inconsistency. This report includes this as a potential vulnerability to be further investigated by the development team."", ""evidence"": ""Aliased query returns a structured response despite syntax errors; suggests possible misuse of query aliases"", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""query_deny_bypass"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""Aliased query returns a structured response despite syntax errors; suggests possible misuse of query aliases"", ""explanation"": ""The aliased query's structured response in the presence of errors suggests that the access control mechanism may be bypassed using query aliases. However, a direct test failed (4xx status code for both queries), and the_non_alias query has an error indicating schema inconsistency. This report includes this as a potential vulnerability to be further investigated by the development team.""}}]"
2025-10-07T01:58:11.676141,CvocConcept_response_10,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The provided GraphQL response indicates that the API is exposing field errors for 'id' and 'types' in the 'CvocConcept' type. While this is not a direct vulnerability in the conventional sense, it does signify a lack of robust error handling and control, which can facilitate information disclosure attacks. For instance, an attacker could use this data to discern the existence of specific fields, types, or resolvers, which could aid in targeting specific vulnerabilities or crafting more effective attacks. This, combined with the widespread applicability of information disclosure vulnerabilities and the absence of conclusive evidence for more severe vulnerabilities, warrants a 'MEDIUM' severity rating in this context."", ""evidence"": ""The presence of schema exposure through error messages in the response body, specifically field errors for 'id' and 'types' in 'CvocConcept' type, which could potentially reveal internal information about the GraphQL schema."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""The presence of schema exposure through error messages in the response body, specifically field errors for 'id' and 'types' in 'CvocConcept' type, which could potentially reveal internal information about the GraphQL schema."", ""explanation"": ""The provided GraphQL response indicates that the API is exposing field errors for 'id' and 'types' in the 'CvocConcept' type. While this is not a direct vulnerability in the conventional sense, it does signify a lack of robust error handling and control, which can facilitate information disclosure attacks. For instance, an attacker could use this data to discern the existence of specific fields, types, or resolvers, which could aid in targeting specific vulnerabilities or crafting more effective attacks. This, combined with the widespread applicability of information disclosure vulnerabilities and the absence of conclusive evidence for more severe vulnerabilities, warrants a 'MEDIUM' severity rating in this context.""}}]"
2025-10-07T01:58:17.154623,CvocConcept_response_11,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The error message suggests that the GraphQL server exposed the existence of a non-existent field 'description' in the 'CvocConceptDescription' type. This indicates that the server is not properly validating the schema or is intentionally exposing internal information, which could aid an attacker in identifying potential field suggestions and potentially lead to further exploitation."", ""evidence"": ""Field 'description' in type 'CvocConceptDescription' is undefined"", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""HIGH"", ""confidence"": 0.8, ""evidence"": ""Field 'description' in type 'CvocConceptDescription' is undefined"", ""explanation"": ""The error message suggests that the GraphQL server exposed the existence of a non-existent field 'description' in the 'CvocConceptDescription' type. This indicates that the server is not properly validating the schema or is intentionally exposing internal information, which could aid an attacker in identifying potential field suggestions and potentially lead to further exploitation.""}}]"
