timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-07T04:05:02.074777,Country_response_2,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-07T04:05:07.372276,Country_response_3,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: XSS"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The response indicates that the `[Country]` field is expected an `id` argument but received an `attributes` argument instead, suggesting that the input is being reflected back to the client. This is a characteristic of XSS (Cross-Site Scripting) attacks, where malicious scripts can be injected into the user's browser, potentially allowing an attacker to steal sensitive data, take control of user sessions, or perform other malicious actions. This vulnerability exists due to the server reflecting user-controlled data in the response without proper sanitization or escaping."", ""evidence"": ""The error response contains user-inputted data (`attributes`) which could potentially allow an attacker to inject malicious HTML or scripts."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""XSS"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""The error response contains user-inputted data (`attributes`) which could potentially allow an attacker to inject malicious HTML or scripts."", ""explanation"": ""The response indicates that the `[Country]` field is expected an `id` argument but received an `attributes` argument instead, suggesting that the input is being reflected back to the client. This is a characteristic of XSS (Cross-Site Scripting) attacks, where malicious scripts can be injected into the user's browser, potentially allowing an attacker to steal sensitive data, take control of user sessions, or perform other malicious actions. This vulnerability exists due to the server reflecting user-controlled data in the response without proper sanitization or escaping.""}}]"
2025-10-07T04:05:16.813174,Country_response_4,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: ssrf_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response indicates that the server is vulnerable to SSRF attacks due to the presence of an 'ipAddress' argument that is not a valid field argument for the '[Country]' type. This could allow an attacker to inject malicious requests by manipulating the 'ipAddress' argument, potentially leading to unauthorized access to internal resources or external services."", ""evidence"": ""The error message mentions a 'Validation error (MissingFieldArgument@[Country])' which indicates that the query is attempting to access a field that is not defined, but it's also trying to pass an argument 'ipAddress' which is not a valid field argument for the '[Country]' type. This could be a sign of an SSRF attack if the 'ipAddress' argument is being used to manipulate the request URL."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""ssrf_injection"", ""severity"": ""HIGH"", ""confidence"": 0.8, ""evidence"": ""The error message mentions a 'Validation error (MissingFieldArgument@[Country])' which indicates that the query is attempting to access a field that is not defined, but it's also trying to pass an argument 'ipAddress' which is not a valid field argument for the '[Country]' type. This could be a sign of an SSRF attack if the 'ipAddress' argument is being used to manipulate the request URL."", ""explanation"": ""The GraphQL response indicates that the server is vulnerable to SSRF attacks due to the presence of an 'ipAddress' argument that is not a valid field argument for the '[Country]' type. This could allow an attacker to inject malicious requests by manipulating the 'ipAddress' argument, potentially leading to unauthorized access to internal resources or external services.""}}]"
2025-10-07T04:05:22.704658,Country_response_5,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-07T04:05:23.684650,Country_response_6,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: path_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response indicates a Validation error for an unknown argument 'path' in field 'id' at Location(3,11). This could be an attempt to bypass input validation and access sensitive files or directories through path traversal, a classic sign of Path Injection vulnerability."", ""evidence"": ""Field 'path' in Location(3,11) suggests path traversal attempt to access unknown or unvalidated file systems"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""path_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""Field 'path' in Location(3,11) suggests path traversal attempt to access unknown or unvalidated file systems"", ""explanation"": ""The GraphQL response indicates a Validation error for an unknown argument 'path' in field 'id' at Location(3,11). This could be an attempt to bypass input validation and access sensitive files or directories through path traversal, a classic sign of Path Injection vulnerability.""}}]"
2025-10-07T04:06:11.877449,Country_response_7,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-07T04:06:19.968710,Country_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-07T04:06:23.554406,Country_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-07T04:06:26.925743,Country_response_10,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The error message 'Field '__type' in type 'Country' is undefined' suggests that the GraphQL API is exposing its internal schema, potentially allowing an attacker to gain insight into the API's structure and fields, which could be used for future attacks such as data validation attacks or GraphQL mutations against the exposed schema."", ""evidence"": ""GraphQL __type field is exposed, indicating GraphQL introspection"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""GraphQL __type field is exposed, indicating GraphQL introspection"", ""explanation"": ""The error message 'Field '__type' in type 'Country' is undefined' suggests that the GraphQL API is exposing its internal schema, potentially allowing an attacker to gain insight into the API's structure and fields, which could be used for future attacks such as data validation attacks or GraphQL mutations against the exposed schema.""}}]"
2025-10-07T04:06:33.633492,Country_response_11,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
