timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-07T03:37:06.791144,historicalAgents_response_1,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: sql_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The error message suggests that the GraphQL API is vulnerable to SQL injection, as it is attempting to parse a malicious SQL query. The presence of the 'OR 1 = 1' condition is a classic indicator of SQL injection, as it attempts to return all records from the database. This type of vulnerability can allow an attacker to extract sensitive data or manipulate the database."", ""evidence"": ""The error message 'Invalid Syntax : token recognition error at: '\"" OR 1 = 1) {\\n' at line 3 column 30' indicates an attempt to inject malicious SQL syntax, specifically an attempt to return all records by exploiting the OR 1=1 condition."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""sql_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""The error message 'Invalid Syntax : token recognition error at: '\"" OR 1 = 1) {\\n' at line 3 column 30' indicates an attempt to inject malicious SQL syntax, specifically an attempt to return all records by exploiting the OR 1=1 condition."", ""explanation"": ""The error message suggests that the GraphQL API is vulnerable to SQL injection, as it is attempting to parse a malicious SQL query. The presence of the 'OR 1 = 1' condition is a classic indicator of SQL injection, as it attempts to return all records from the database. This type of vulnerability can allow an attacker to extract sensitive data or manipulate the database.""}}]"
2025-10-07T03:37:10.368503,historicalAgents_response_2,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-07T03:37:13.385699,historicalAgents_response_3,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: SSRF (Server-Side Request Forgery)"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The response body indicates a validation error due to an unknown field argument 'item', which is likely a result of attempting to inject an SSRF attack via GraphQL. While the specific SSRF payload is unknown, the presence of an error indicates a potential vulnerability. Further analysis is required to confirm the attack's success."", ""evidence"": ""The error message indicates an attempt to access an internal field 'historicalAgents' with an argument 'item', which suggests an SSRF attempt via a GraphQL query"", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""SSRF (Server-Side Request Forgery)"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""The error message indicates an attempt to access an internal field 'historicalAgents' with an argument 'item', which suggests an SSRF attempt via a GraphQL query"", ""explanation"": ""The response body indicates a validation error due to an unknown field argument 'item', which is likely a result of attempting to inject an SSRF attack via GraphQL. While the specific SSRF payload is unknown, the presence of an error indicates a potential vulnerability. Further analysis is required to confirm the attack's success.""}}]"
2025-10-07T03:37:17.735591,historicalAgents_response_4,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-07T03:37:22.347181,historicalAgents_response_5,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-07T03:37:29.494965,historicalAgents_response_6,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The error message 'Validation error (UnknownArgument@[historicalAgents]) : Unknown field argument 'item'' suggests that the 'item' field is being used in the GraphQL query. If this field is not properly sanitized, an attacker could potentially inject malicious HTML by crafting a GraphQL query with a specially crafted 'item' argument. This could lead to HTML Injection vulnerability. However, without further information about the GraphQL schema and query validation, it is difficult to determine the full extent of the vulnerability."", ""evidence"": ""The error message contains a field name 'item' which could potentially be used to inject malicious HTML if not properly sanitized."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""HTML Injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""The error message contains a field name 'item' which could potentially be used to inject malicious HTML if not properly sanitized."", ""explanation"": ""The error message 'Validation error (UnknownArgument@[historicalAgents]) : Unknown field argument 'item'' suggests that the 'item' field is being used in the GraphQL query. If this field is not properly sanitized, an attacker could potentially inject malicious HTML by crafting a GraphQL query with a specially crafted 'item' argument. This could lead to HTML Injection vulnerability. However, without further information about the GraphQL schema and query validation, it is difficult to determine the full extent of the vulnerability.""}}]"
2025-10-07T03:37:34.822373,historicalAgents_response_7,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-07T03:37:42.533118,historicalAgents_response_8,,0,1,0.0,llm_only,,,Access Control,0,0,0,0,1,0,0.0,llm_potential_only,,,Access Control,[],"[{""detection_name"": ""LLM: query_deny_bypass"", ""detection"": ""potential"", ""category"": ""Access Control"", ""description"": ""While the aliased query fails with a syntax error, the non-aliased query is blocked with access denied errors. This pattern hints that the query deny bypass vulnerability may be exploitable, but more evidence would strengthen this claim."", ""evidence"": ""aliased_query_attempts_to_access_blocked_field\u610f\u4e49_field name_ in type historicalAgents"", ""confidence"": 0.6, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""query_deny_bypass"", ""severity"": ""MEDIUM"", ""confidence"": 0.6, ""evidence"": ""aliased_query_attempts_to_access_blocked_field\u610f\u4e49_field name_ in type historicalAgents"", ""explanation"": ""While the aliased query fails with a syntax error, the non-aliased query is blocked with access denied errors. This pattern hints that the query deny bypass vulnerability may be exploitable, but more evidence would strengthen this claim.""}}]"
2025-10-07T03:37:45.292067,historicalAgents_response_9,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The error message in the GraphQL response contains information about the internal schema structure. This can potentially allow an attacker to map out the GraphQL schema, access sensitive data, and even create more targeted queries. To fix this, the GraphQL API should be configured to not expose the error messages or limit the amount of information exposed in error messages."", ""evidence"": ""The GraphQL response is exposing the internal schema structure through the error message, indicating possible sensitive information disclosure. The error message mentions the field 'types' in the 'historicalAgents' type, suggesting that the GraphQL API is exposing its internal schema structure, which can be a potential attack vector for information disclosure."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""The GraphQL response is exposing the internal schema structure through the error message, indicating possible sensitive information disclosure. The error message mentions the field 'types' in the 'historicalAgents' type, suggesting that the GraphQL API is exposing its internal schema structure, which can be a potential attack vector for information disclosure."", ""explanation"": ""The error message in the GraphQL response contains information about the internal schema structure. This can potentially allow an attacker to map out the GraphQL schema, access sensitive data, and even create more targeted queries. To fix this, the GraphQL API should be configured to not expose the error messages or limit the amount of information exposed in error messages.""}}]"
2025-10-07T03:37:52.916370,historicalAgents_response_10,400,0,1,0.0,llm_only,,,Unknown,0,0,0,0,1,0,0.0,llm_potential_only,,,Unknown,[],"[{""detection_name"": ""LLM: field_suggestions"", ""detection"": ""potential"", ""category"": ""Unknown"", ""description"": ""The error message from the GraphQL server indicates a field suggestions vulnerability because it exposes the internal structure of the `historicalAgents` type. This can allow an attacker to infer available fields and types, potentially stepping up their way to an more critical vulnerability exploitation."", ""evidence"": ""Presence of `type` and `name` fields in the error message suggests a potential field suggestions vulnerability. The error message `Field 'type' in type 'historicalAgents' is undefined` and `Field 'name' in type 'historicalAgents' is undefined` indicates that the server is exposing its internal schema structure, potentially allowing an attacker to infer information about the available fields and types."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""field_suggestions"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""Presence of `type` and `name` fields in the error message suggests a potential field suggestions vulnerability. The error message `Field 'type' in type 'historicalAgents' is undefined` and `Field 'name' in type 'historicalAgents' is undefined` indicates that the server is exposing its internal schema structure, potentially allowing an attacker to infer information about the available fields and types."", ""explanation"": ""The error message from the GraphQL server indicates a field suggestions vulnerability because it exposes the internal structure of the `historicalAgents` type. This can allow an attacker to infer available fields and types, potentially stepping up their way to an more critical vulnerability exploitation.""}}]"
