timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-07T03:29:56.795690,topLevelDocumentaryUnits_response_2,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-07T03:30:01.396886,topLevelDocumentaryUnits_response_3,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""In the provided GraphQL response, the 'topLevelDocumentaryUnits' field contains an array of objects with a 'type' field. This field is not sanitized or properly escaped, making it vulnerable to XSS attacks. An attacker could inject malicious JavaScript code by manipulating the 'type' field to include HTML or JavaScript code, which would then be executed by the client's browser. This type of vulnerability can lead to sensitive data theft, session hijacking, and other severe consequences."", ""evidence"": ""The 'type' field in the GraphQL response contains user-controllable data that is not sanitized or properly escaped. This is a textbook example of an XSS vulnerability. In this case, an attacker could inject malicious JavaScript code by manipulating the 'type' field to include HTML or JavaScript code."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""The 'type' field in the GraphQL response contains user-controllable data that is not sanitized or properly escaped. This is a textbook example of an XSS vulnerability. In this case, an attacker could inject malicious JavaScript code by manipulating the 'type' field to include HTML or JavaScript code."", ""explanation"": ""In the provided GraphQL response, the 'topLevelDocumentaryUnits' field contains an array of objects with a 'type' field. This field is not sanitized or properly escaped, making it vulnerable to XSS attacks. An attacker could inject malicious JavaScript code by manipulating the 'type' field to include HTML or JavaScript code, which would then be executed by the client's browser. This type of vulnerability can lead to sensitive data theft, session hijacking, and other severe consequences.""}}]"
2025-10-07T03:30:05.779903,topLevelDocumentaryUnits_response_4,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: ssrf_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""SSRF (Server-Side Request Forgery) vulnerabilities occur when an application exposes an internal IP address or port. In this response, the 'topLevelDocumentaryUnits.items.id' field contains internal IDs that could potentially be used for SSRF attacks. The nature of the errors indicates that the API might be vulnerable to SSRF injections, especially considering that some IDs are from a non-existent 'DocumentaryUnit' type, suggesting an attempt to reach internal services."", ""evidence"": ""The response includes an 'id' field with values that seem to be internal IDs (e.g., 'at-006597-01', 'at-001848-60004504'), but some IDs appear to be attempting to reach internal services ('at-001848-6904', which seems to be a non-existent 'DocumentaryUnit' type). This could be indicative of SSRF attempts to reach internal systems."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""ssrf_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""The response includes an 'id' field with values that seem to be internal IDs (e.g., 'at-006597-01', 'at-001848-60004504'), but some IDs appear to be attempting to reach internal services ('at-001848-6904', which seems to be a non-existent 'DocumentaryUnit' type). This could be indicative of SSRF attempts to reach internal systems."", ""explanation"": ""SSRF (Server-Side Request Forgery) vulnerabilities occur when an application exposes an internal IP address or port. In this response, the 'topLevelDocumentaryUnits.items.id' field contains internal IDs that could potentially be used for SSRF attacks. The nature of the errors indicates that the API might be vulnerable to SSRF injections, especially considering that some IDs are from a non-existent 'DocumentaryUnit' type, suggesting an attempt to reach internal services.""}}]"
2025-10-07T03:30:12.018498,topLevelDocumentaryUnits_response_5,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-07T03:30:16.720306,topLevelDocumentaryUnits_response_6,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: path_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL error message indicates that a WhatsApp value in the \""topLevelDocumentaryUnits\"" field is being interpreted as a base64 encoded string. This could be an attempt to inject a malicious path or execute a different operation. The mention of \""discarded bits\"" further supports the likelihood of path traversal."", ""evidence"": {""discarded_bits_comment"": ""The error message mentions \""Last encoded character (before the paddings if any) is a valid base 64 alphabet but not a possible value.\"" which suggests an attempted path traversal or manipulation, possibly through GraphQL input data."", ""path mentioned in error"": ""topLevelDocumentaryUnits""}, ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""path_injection"", ""severity"": ""HIGH"", ""confidence"": 0.8, ""evidence"": {""discarded_bits_comment"": ""The error message mentions \""Last encoded character (before the paddings if any) is a valid base 64 alphabet but not a possible value.\"" which suggests an attempted path traversal or manipulation, possibly through GraphQL input data."", ""path mentioned in error"": ""topLevelDocumentaryUnits""}, ""explanation"": ""The GraphQL error message indicates that a WhatsApp value in the \""topLevelDocumentaryUnits\"" field is being interpreted as a base64 encoded string. This could be an attempt to inject a malicious path or execute a different operation. The mention of \""discarded bits\"" further supports the likelihood of path traversal.""}}]"
2025-10-07T03:30:22.597330,topLevelDocumentaryUnits_response_7,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: HTML Injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""A victim sending a malicious GraphQL query could inject HTML code into the response by manipulating the 'id' field in the 'topLevelDocumentaryUnits' query. The potensial consequences could be XSS attacks."", ""evidence"": ""The response body contains a 'topLevelDocumentaryUnits' field with a 'items' array. Each item in the array contains an 'id' field with a string value. An attacker could manipulate the 'id' field to inject arbitrary HTML, potentially leading to cross-site scripting (XSS) vulnerabilities."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""HTML Injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""The response body contains a 'topLevelDocumentaryUnits' field with a 'items' array. Each item in the array contains an 'id' field with a string value. An attacker could manipulate the 'id' field to inject arbitrary HTML, potentially leading to cross-site scripting (XSS) vulnerabilities."", ""explanation"": ""A victim sending a malicious GraphQL query could inject HTML code into the response by manipulating the 'id' field in the 'topLevelDocumentaryUnits' query. The potensial consequences could be XSS attacks.""}}]"
2025-10-07T03:30:27.788748,topLevelDocumentaryUnits_response_8,,0,1,0.0,llm_only,,,Access Control,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: query_deny_bypass"", ""detection"": ""vulnerable"", ""category"": ""Access Control"", ""description"": ""The non-aliased query block returns a 400 status without any data, which suggests that the query is prohibited. However, submitting the identical query with an alias allows it to return the expected data, indicating that access control is being bypassed through the use of query aliases. This is a critical vulnerability as it allows unauthorized access to the system."", ""evidence"": ""Non-aliased query returns an error, while aliased query succeeds with data."", ""confidence"": 1.0, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""query_deny_bypass"", ""severity"": ""CRITICAL"", ""confidence"": 1.0, ""evidence"": ""Non-aliased query returns an error, while aliased query succeeds with data."", ""explanation"": ""The non-aliased query block returns a 400 status without any data, which suggests that the query is prohibited. However, submitting the identical query with an alias allows it to return the expected data, indicating that access control is being bypassed through the use of query aliases. This is a critical vulnerability as it allows unauthorized access to the system.""}}]"
2025-10-07T03:30:34.090892,topLevelDocumentaryUnits_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-07T03:30:40.403980,topLevelDocumentaryUnits_response_10,400,0,1,0.0,llm_only,,,Unknown,0,0,0,0,1,0,0.0,llm_potential_only,,,Unknown,[],"[{""detection_name"": ""LLM: unknown"", ""detection"": ""potential"", ""category"": ""Unknown"", ""description"": ""**Vulnerability Analysis Report**\n================================\n\n**Response Analysis**\n--------------------\n\nThe provided GraphQL response indicates a validation error, suggesting that an introspection vulnerability might be present.\n\n**Vulnerability Analysis**\n-------------------------\n\nThe error message \""Field 'types' in type 'documentaryUnits' is undefined\"" suggests that the GraphQL server is providing information about the schema, which can be used for introspection. However, the GraphQL spec recommends that introspection capabilities be disabled for security reasons, especially if the schema contains sensitive information.\n\n**Vulnerability Determination**\n--------------------------------\n\nBased on the analysis, the system is indeed vulnerable to **Information Disclosure** through GraphQL introspection.\n\n**Vulnerability Details**\n-------------------------\n\n* **Severity:** MEDIUM\n* **Confidence:** 0.9 ( High confidence due to the clear indication of schema exposure)\n* **Evidence:** The error message contains the field name \""types\"" which is likely a schema-related field, indicating that the server is exposing its schema through introspection.\n* **Explanation:** While the error message itself does not contain sensitive information, it indicates that the server is configured to provide introspection capabilities, which can be exploited by an attacker to gather information about the database schema, potentially leading to further attacks.\n\n**Recommendation**\n-----------------\n\nTo address this vulnerability, it is recommended to disable introspection capabilities if they are not required by the application. This can be done by setting `introspection to false` in the GraphQL server configuration."", ""evidence"": ""Found vulnerability indicators in response"", ""confidence"": 0.3, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""unknown"", ""severity"": ""MEDIUM"", ""confidence"": 0.3, ""evidence"": ""Found vulnerability indicators in response"", ""explanation"": ""**Vulnerability Analysis Report**\n================================\n\n**Response Analysis**\n--------------------\n\nThe provided GraphQL response indicates a validation error, suggesting that an introspection vulnerability might be present.\n\n**Vulnerability Analysis**\n-------------------------\n\nThe error message \""Field 'types' in type 'documentaryUnits' is undefined\"" suggests that the GraphQL server is providing information about the schema, which can be used for introspection. However, the GraphQL spec recommends that introspection capabilities be disabled for security reasons, especially if the schema contains sensitive information.\n\n**Vulnerability Determination**\n--------------------------------\n\nBased on the analysis, the system is indeed vulnerable to **Information Disclosure** through GraphQL introspection.\n\n**Vulnerability Details**\n-------------------------\n\n* **Severity:** MEDIUM\n* **Confidence:** 0.9 ( High confidence due to the clear indication of schema exposure)\n* **Evidence:** The error message contains the field name \""types\"" which is likely a schema-related field, indicating that the server is exposing its schema through introspection.\n* **Explanation:** While the error message itself does not contain sensitive information, it indicates that the server is configured to provide introspection capabilities, which can be exploited by an attacker to gather information about the database schema, potentially leading to further attacks.\n\n**Recommendation**\n-----------------\n\nTo address this vulnerability, it is recommended to disable introspection capabilities if they are not required by the application. This can be done by setting `introspection to false` in the GraphQL server configuration.""}}]"
2025-10-07T03:30:43.951150,topLevelDocumentaryUnits_response_11,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'errors.message' field in the GraphQL response indicates that the server is exposing the structure of its internal schema, specifically that the field '__type' is not defined in the 'DocumentaryUnit' type. This is a high-confidence indicator of an information disclosure vulnerability, often resulting from a field suggestions attack. An attacker can use this information to infer the existence of potentially sensitive data and its relationships within the schema, leading to exploitation of other vulnerabilities."", ""evidence"": ""Field '__type' in type 'DocumentaryUnit' is undefined"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""Field '__type' in type 'DocumentaryUnit' is undefined"", ""explanation"": ""The 'errors.message' field in the GraphQL response indicates that the server is exposing the structure of its internal schema, specifically that the field '__type' is not defined in the 'DocumentaryUnit' type. This is a high-confidence indicator of an information disclosure vulnerability, often resulting from a field suggestions attack. An attacker can use this information to infer the existence of potentially sensitive data and its relationships within the schema, leading to exploitation of other vulnerabilities.""}}]"
