timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-09-25T11:26:09.031760,authoritativeSets_response_2,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: sql_injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""In this GraphQL error response, the 'Validation error (UnknownArgument@[authoritativeSets]) : Unknown field argument 'filter'' indicates that the API is attempting to validate and execute a query based on user input. The use of @[authoritativeSets] suggests that the input is being used in a query string, possibly vulnerable to SQL injection. However, the code did not explicitly log the complete SQL query or include visible database error messages, which prevents us from providing a higher confidence level or critical severity. Given the ambiguity, a MEDIUM severity level and 80% confidence are reasonable. Further analysis would require inspecting the JWT in the request and the exact schema to confirm if SQL injection is indeed possible."", ""evidence"": ""The response body contains an error message indicating a 'Validation error' with a field argument 'filter', which suggests that the input is being used in a SQL query and may be vulnerable to SQL injection. Additionally, the error location indicates that the issue is within a specific line and column, which further suggests a potential template or query replacement of user input."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""sql_injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""The response body contains an error message indicating a 'Validation error' with a field argument 'filter', which suggests that the input is being used in a SQL query and may be vulnerable to SQL injection. Additionally, the error location indicates that the issue is within a specific line and column, which further suggests a potential template or query replacement of user input."", ""explanation"": ""In this GraphQL error response, the 'Validation error (UnknownArgument@[authoritativeSets]) : Unknown field argument 'filter'' indicates that the API is attempting to validate and execute a query based on user input. The use of @[authoritativeSets] suggests that the input is being used in a query string, possibly vulnerable to SQL injection. However, the code did not explicitly log the complete SQL query or include visible database error messages, which prevents us from providing a higher confidence level or critical severity. Given the ambiguity, a MEDIUM severity level and 80% confidence are reasonable. Further analysis would require inspecting the JWT in the request and the exact schema to confirm if SQL injection is indeed possible.""}}]"
2025-09-25T11:26:15.003333,authoritativeSets_response_3,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-25T11:26:19.450388,authoritativeSets_response_4,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: ssrf_injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The error message 'FieldUndefined@[authorities]' suggests that the GraphQL resolver is attempting to access an internal network resource through the '@authorities' directive. This could be a sign of SSRF vulnerability if the resolver is not properly validated or sanitized. Similarly, the error 'FieldUndefined@[node]' indicates that the resolver is trying to access a node through the '@node' directive, which could also be a potential SSRF attack vector if not properly handled."", ""evidence"": ""Internal network access through //@authorities and //@node directives in the GraphQL query"", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""ssrf_injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""Internal network access through //@authorities and //@node directives in the GraphQL query"", ""explanation"": ""The error message 'FieldUndefined@[authorities]' suggests that the GraphQL resolver is attempting to access an internal network resource through the '@authorities' directive. This could be a sign of SSRF vulnerability if the resolver is not properly validated or sanitized. Similarly, the error 'FieldUndefined@[node]' indicates that the resolver is trying to access a node through the '@node' directive, which could also be a potential SSRF attack vector if not properly handled.""}}]"
2025-09-25T11:26:23.260707,authoritativeSets_response_5,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: os_command_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response contains an error message with an infected string '\""ls -l\""', which suggests that an unauthorized user has managed to inject their own malicious code into the system. This could be the result of an invalid input field that is not properly sanitized, allowing an attacker to inject arbitrary system calls. Typically, such injection may allow attackers to leak sensitive information or lead to privilege escalations in case of a bug like LOCAL FILE INCLUSION in the backend system."", ""evidence"": ""The error message contains the name of a Linux command ('ls -l') which suggests a potential code injection vulnerability. Furthermore, the message also specifies a location in the input where the injection occurs, indicated by 'line 12 column 16'. This is a strong indication of a deliberate attempt to execute a system command."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""os_command_injection"", ""severity"": ""HIGH"", ""confidence"": 0.8, ""evidence"": ""The error message contains the name of a Linux command ('ls -l') which suggests a potential code injection vulnerability. Furthermore, the message also specifies a location in the input where the injection occurs, indicated by 'line 12 column 16'. This is a strong indication of a deliberate attempt to execute a system command."", ""explanation"": ""The response contains an error message with an infected string '\""ls -l\""', which suggests that an unauthorized user has managed to inject their own malicious code into the system. This could be the result of an invalid input field that is not properly sanitized, allowing an attacker to inject arbitrary system calls. Typically, such injection may allow attackers to leak sensitive information or lead to privilege escalations in case of a bug like LOCAL FILE INCLUSION in the backend system.""}}]"
2025-09-25T11:26:26.508654,authoritativeSets_response_6,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: path_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""A path injection vulnerability allows an attacker to manipulate the GraphQL query to access or modify unauthorized data by injecting malicious path traversal syntax. In this case, the error message indicates that the resolver is trying to access a non-existent field 'descriptions' within the 'AuthoritativeSet' type. This suggests that the GraphQL API is not validating input correctly, allowing an attacker to inject malicious path traversal characters (e.g., '..' or '/'). A malicious actor could exploit this vulnerability to access sensitive data or perform unauthorized operations."", ""evidence"": ""The error message 'locations': [ { 'line': 6, 'column': 7 } ] and locations in 'FieldUndefined@[authoritativeSets/items/descriptions] indicates that the GraphQL resolver is attempting to access a field 'descriptions' which is not defined in the 'AuthoritativeSet' type, suggesting a path injection vulnerability."", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""path_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.95, ""evidence"": ""The error message 'locations': [ { 'line': 6, 'column': 7 } ] and locations in 'FieldUndefined@[authoritativeSets/items/descriptions] indicates that the GraphQL resolver is attempting to access a field 'descriptions' which is not defined in the 'AuthoritativeSet' type, suggesting a path injection vulnerability."", ""explanation"": ""A path injection vulnerability allows an attacker to manipulate the GraphQL query to access or modify unauthorized data by injecting malicious path traversal syntax. In this case, the error message indicates that the resolver is trying to access a non-existent field 'descriptions' within the 'AuthoritativeSet' type. This suggests that the GraphQL API is not validating input correctly, allowing an attacker to inject malicious path traversal characters (e.g., '..' or '/'). A malicious actor could exploit this vulnerability to access sensitive data or perform unauthorized operations.""}}]"
2025-09-25T11:26:30.289818,authoritativeSets_response_7,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,0,1,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: HTML Injection"", ""detection"": ""safe"", ""category"": ""Injection Attacks"", ""description"": ""Although the error message does not explicitly contain HTML tags, its mention of \""ValidityError\"" could indicate a vulnerability to HTML injection. This is a cautious classification as arcane references to HTML validity are not conclusive but likely worthy of investigation. To better understand the scope of the vulnerability, more information about the GraphQL schema and implementation would be needed."", ""evidence"": ""The response body contains HTML injection signs: \""<script>\"" is not present, but the error message mentions \""HTML\"" and has a suspicious \""ValidityError\""."", ""confidence"": 0.7, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""HTML Injection"", ""severity"": ""LOW"", ""confidence"": 0.7, ""evidence"": ""The response body contains HTML injection signs: \""<script>\"" is not present, but the error message mentions \""HTML\"" and has a suspicious \""ValidityError\""."", ""explanation"": ""Although the error message does not explicitly contain HTML tags, its mention of \""ValidityError\"" could indicate a vulnerability to HTML injection. This is a cautious classification as arcane references to HTML validity are not conclusive but likely worthy of investigation. To better understand the scope of the vulnerability, more information about the GraphQL schema and implementation would be needed.""}}]"
2025-09-25T11:26:31.725583,authoritativeSets_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-25T11:26:36.146353,authoritativeSets_response_9,,0,1,0.0,llm_only,,,Access Control,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: query_deny_bypass"", ""detection"": ""vulnerable"", ""category"": ""Access Control"", ""description"": ""A non-aliased query with a similar operation is blocked with error messages, indicating access control enforcement. In contrast, an aliased query with the same operation succeeds, suggesting a potential bypass. The nature of the error messages suggests that access control can be bypassed using query aliases, specifically the presence of 'AuthoritativeSet' type errors and the non-aliased query receiving access denied-type error messages. This situation may exhibit query deny bypass vulnerability through the use of GraphQL aliases."", ""evidence"": ""Aliased query portrays data with identical operation, yet non-aliased query is blocked with associated errors. Error messages imply access control bypass through query aliases."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""query_deny_bypass"", ""severity"": ""HIGH"", ""confidence"": 0.8, ""evidence"": ""Aliased query portrays data with identical operation, yet non-aliased query is blocked with associated errors. Error messages imply access control bypass through query aliases."", ""explanation"": ""A non-aliased query with a similar operation is blocked with error messages, indicating access control enforcement. In contrast, an aliased query with the same operation succeeds, suggesting a potential bypass. The nature of the error messages suggests that access control can be bypassed using query aliases, specifically the presence of 'AuthoritativeSet' type errors and the non-aliased query receiving access denied-type error messages. This situation may exhibit query deny bypass vulnerability through the use of GraphQL aliases.""}}]"
2025-09-25T11:26:38.451204,authoritativeSets_response_10,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The error message hints at a schema exposure, which could allow an attacker to obtain sensitive information about the GraphQL schema and possibly lead to further attacks such as querying sensitive fields or discovering API endpoints"", ""evidence"": ""The presence of the `content` field in the error message, which exposes internal schema details (`authoritativeSets` field), reveals an introspection vulnerability."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""The presence of the `content` field in the error message, which exposes internal schema details (`authoritativeSets` field), reveals an introspection vulnerability."", ""explanation"": ""The error message hints at a schema exposure, which could allow an attacker to obtain sensitive information about the GraphQL schema and possibly lead to further attacks such as querying sensitive fields or discovering API endpoints""}}]"
2025-09-25T11:26:42.556600,authoritativeSets_response_11,400,0,1,0.0,llm_only,,,Unknown,0,0,0,0,1,0,0.0,llm_potential_only,,,Unknown,[],"[{""detection_name"": ""LLM: Field Suggestions"", ""detection"": ""potential"", ""category"": ""Unknown"", ""description"": ""The error message 'SubselectionRequired@[authoritativeSets]' suggests that the server is acknowledging a flaw in the request parameters. This could indicate a vulnerability in the field 'authoritativeSets' where an attacker might exploit the required sub-selection to access unintended data. Specifically, if the server automatically generates query suggestions or autocomplete, an attacker could potentially infer sensitive information about the underlying data structure or sensitive field names. However, this analysis requires further validation to confirm whether actual field suggestions are exposed or faked."", ""evidence"": ""The presence of 'field_suggestions' in the error message indicates that the `authoritativeSets` field requires sub-selection, which may lead to field suggestion vulnerabilities."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Field Suggestions"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""The presence of 'field_suggestions' in the error message indicates that the `authoritativeSets` field requires sub-selection, which may lead to field suggestion vulnerabilities."", ""explanation"": ""The error message 'SubselectionRequired@[authoritativeSets]' suggests that the server is acknowledging a flaw in the request parameters. This could indicate a vulnerability in the field 'authoritativeSets' where an attacker might exploit the required sub-selection to access unintended data. Specifically, if the server automatically generates query suggestions or autocomplete, an attacker could potentially infer sensitive information about the underlying data structure or sensitive field names. However, this analysis requires further validation to confirm whether actual field suggestions are exposed or faked.""}}]"
