timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-06T00:57:40.934692,updateAlbum_response_2,200,1,0,0.0,simple_only,,Injection Attacks,,0,1,0,0,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""SQL Injection (SQLi) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SQL injection vulnerability detected - malicious SQL patterns found in response"", ""evidence"": ""Response status: 200, SQL patterns detected in response""}]",[]
2025-10-06T00:57:56.435316,updateAlbum_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response for updateAlbum returns the title field containing an unescaped <script> tag: \""<script>alert('xss')</script>Greatest Hits\"". This indicates the server accepted and reflected raw HTML/JS content. If a client renders this value into a web page without proper output encoding or sanitization, it will execute the script (reflected or stored XSS depending on persistence). The presence of raw script tags in API output is clear evidence of an XSS risk. Remediation: perform strict input validation and/or sanitize/encode output for the HTML context (HTML-escape user-controlled data), adopt a Content Security Policy, and apply contextual output encoding on the client side."", ""evidence"": ""\""title\"": \""<script>alert('xss')</script>Greatest Hits\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""\""title\"": \""<script>alert('xss')</script>Greatest Hits\"""", ""explanation"": ""The GraphQL response for updateAlbum returns the title field containing an unescaped <script> tag: \""<script>alert('xss')</script>Greatest Hits\"". This indicates the server accepted and reflected raw HTML/JS content. If a client renders this value into a web page without proper output encoding or sanitization, it will execute the script (reflected or stored XSS depending on persistence). The presence of raw script tags in API output is clear evidence of an XSS risk. Remediation: perform strict input validation and/or sanitize/encode output for the HTML context (HTML-escape user-controlled data), adopt a Content Security Policy, and apply contextual output encoding on the client side.""}}]"
2025-10-06T00:58:11.136801,updateAlbum_response_4,200,1,0,0.0,simple_only,,Injection Attacks,,0,1,0,0,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Server-Side Request Forgery (SSRF) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SSRF injection vulnerability detected - internal network access patterns found"", ""evidence"": ""Response status: 200, SSRF keywords detected in response""}]",[]
2025-10-06T00:58:29.511408,updateAlbum_response_5,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-06T00:58:45.473768,updateAlbum_response_6,200,1,0,0.0,simple_only,,Injection Attacks,,0,1,0,0,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""Path injection vulnerability detected - file system access patterns found"", ""evidence"": ""Response status: 200, Path injection patterns detected in response""}]",[]
2025-10-06T00:59:03.484531,updateAlbum_response_7,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""HTML injection vulnerability detected - HTML markup found in response"", ""evidence"": ""Response status: 200, HTML patterns detected in response data""}]","[{""detection_name"": ""LLM: html_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response returns raw HTML markup in the 'title' field, including an <img> tag with an onerror attribute that executes JavaScript (alert('html')). This is clear evidence of HTML/DOM injection. If a client (web application) inserts this 'title' value into a page without proper escaping or sanitization, the embedded script will execute, resulting in XSS (stored or reflected depending on storage behavior). Recommendation: treat user-supplied values as untrusted, sanitize or strip HTML on input or encode/escape output when rendering into HTML (e.g., use textContent/innerText or proper HTML-encoding libraries), and validate/whitelist allowed content server-side."", ""evidence"": ""<div class=\""promo\""><img src=x onerror=\""this.onerror=null;alert('html')\""></div>"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""html_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""<div class=\""promo\""><img src=x onerror=\""this.onerror=null;alert('html')\""></div>"", ""explanation"": ""The GraphQL response returns raw HTML markup in the 'title' field, including an <img> tag with an onerror attribute that executes JavaScript (alert('html')). This is clear evidence of HTML/DOM injection. If a client (web application) inserts this 'title' value into a page without proper escaping or sanitization, the embedded script will execute, resulting in XSS (stored or reflected depending on storage behavior). Recommendation: treat user-supplied values as untrusted, sanitize or strip HTML on input or encode/escape output when rendering into HTML (e.g., use textContent/innerText or proper HTML-encoding libraries), and validate/whitelist allowed content server-side.""}}]"
2025-10-06T00:59:15.613511,updateAlbum_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-06T00:59:25.166683,updateAlbum_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-06T00:59:49.250655,updateAlbum_response_10,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-06T01:00:04.354562,updateAlbum_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Unknown,1,0,0,0,0,1,0.0,no_potential,,,,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: field_suggestions"", ""detection"": ""safe"", ""category"": ""Unknown"", ""description"": ""The GraphQL error responses include suggested field names ('Did you mean \""title\""?' and 'Did you mean \""name\""?'), which disclose schema details. This is a field_suggestions information disclosure: an attacker can use these suggestions to enumerate or confirm field names and infer structure of the GraphQL schema. While this does not by itself expose sensitive data or allow injection, it lowers the effort for further probing or targeted attacks. Recommended mitigation: disable or suppress helpful field suggestions in error messages (return generic validation errors), or restrict error verbosity in production and enforce authentication/authorization on schema introspection."", ""evidence"": ""Error messages: \""Cannot query field \\\""titl\\\"" on type \\\""Album\\\"". Did you mean \\\""title\\\""?\"" and \""Cannot query field \\\""nam\\\"" on type \\\""User\\\"". Did you mean \\\""name\\\""?\"" (extensions.code: \""GRAPHQL_VALIDATION_FAILED\"")"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""field_suggestions"", ""severity"": ""LOW"", ""confidence"": 0.9, ""evidence"": ""Error messages: \""Cannot query field \\\""titl\\\"" on type \\\""Album\\\"". Did you mean \\\""title\\\""?\"" and \""Cannot query field \\\""nam\\\"" on type \\\""User\\\"". Did you mean \\\""name\\\""?\"" (extensions.code: \""GRAPHQL_VALIDATION_FAILED\"")"", ""explanation"": ""The GraphQL error responses include suggested field names ('Did you mean \""title\""?' and 'Did you mean \""name\""?'), which disclose schema details. This is a field_suggestions information disclosure: an attacker can use these suggestions to enumerate or confirm field names and infer structure of the GraphQL schema. While this does not by itself expose sensitive data or allow injection, it lowers the effort for further probing or targeted attacks. Recommended mitigation: disable or suppress helpful field suggestions in error messages (return generic validation errors), or restrict error verbosity in production and enforce authentication/authorization on schema introspection.""}}]"
