timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-03T04:31:58.014771,comments_response_1,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-03T04:32:11.688883,comments_response_2,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL error message reflects the exact user-supplied payload including a <script> tag into the JSON response: the payload \""<script>fetch('/exfil?c='+document.cookie)</script>\"" appears verbatim. This is a reflected output of unescaped user input. If any client or web UI renders this error message into an HTML context without proper encoding (for example in GraphiQL, a custom frontend error panel, or server-generated error pages), the script would execute in the victim's browser, enabling XSS and cookie/exfiltration attacks. The response itself being JSON does not automatically execute script, so exploitation requires a vulnerable rendering context. Remediation: ensure user input is never reflected into HTML without proper escaping/encoding, sanitize/validate inputs, and avoid returning raw user content in error messages (or ensure the client safely encodes it)."", ""evidence"": ""\""message\"": \""Expected value of type \\\""SearchOptions\\\"", found \\\""<script>fetch('/exfil?c='+document.cookie)</script>\\\"".\"""", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""\""message\"": \""Expected value of type \\\""SearchOptions\\\"", found \\\""<script>fetch('/exfil?c='+document.cookie)</script>\\\"".\"""", ""explanation"": ""The GraphQL error message reflects the exact user-supplied payload including a <script> tag into the JSON response: the payload \""<script>fetch('/exfil?c='+document.cookie)</script>\"" appears verbatim. This is a reflected output of unescaped user input. If any client or web UI renders this error message into an HTML context without proper encoding (for example in GraphiQL, a custom frontend error panel, or server-generated error pages), the script would execute in the victim's browser, enabling XSS and cookie/exfiltration attacks. The response itself being JSON does not automatically execute script, so exploitation requires a vulnerable rendering context. Remediation: ensure user input is never reflected into HTML without proper escaping/encoding, sanitize/validate inputs, and avoid returning raw user content in error messages (or ensure the client safely encodes it).""}}]"
2025-10-03T04:32:32.141554,comments_response_3,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-03T04:32:47.701884,comments_response_4,400,0,1,0.0,llm_only,,,Unknown,0,0,0,0,1,0,0.0,llm_potential_only,,,Unknown,[],"[{""detection_name"": ""LLM: unknown"", ""detection"": ""potential"", ""category"": ""Unknown"", ""description"": ""{\n    \""is_vulnerable\"": false,\n    \""vulnerability_type\"": \""\"",\n    \""severity\"": \""LOW\"",\n    \""confidence\"": 0.9,\n    \""evidence\"": \""Error message: \\\""Expected value of type \\\\\\\""SearchOptions\\\\\\\"", found \\\\\\\""$(cat /etc/passwd)\\\\\\\"".\\\""\"",\n    \""explanation\"": \""The response simply reflects the submitted string '$(cat /etc/passwd)' in a GraphQL validation error indicating a type mismatch (expected SearchOptions). There is no evidence that the payload was executed on the server (no file contents from /etc/passwd or other command output are returned), only that user input was echoed back for validation. This is not sufficient to conclude an OS command injection vulnerability. Reflection of input can be a warning sign, but without execution results or side effects there is no clear proof of command execution. Recommend further testing in a safe, authorized environment (e.g., controlled probes that look for execution effects) if you need to fully assess injection risk.\"""", ""evidence"": ""Found vulnerability indicators in response"", ""confidence"": 0.3, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""unknown"", ""severity"": ""MEDIUM"", ""confidence"": 0.3, ""evidence"": ""Found vulnerability indicators in response"", ""explanation"": ""{\n    \""is_vulnerable\"": false,\n    \""vulnerability_type\"": \""\"",\n    \""severity\"": \""LOW\"",\n    \""confidence\"": 0.9,\n    \""evidence\"": \""Error message: \\\""Expected value of type \\\\\\\""SearchOptions\\\\\\\"", found \\\\\\\""$(cat /etc/passwd)\\\\\\\"".\\\""\"",\n    \""explanation\"": \""The response simply reflects the submitted string '$(cat /etc/passwd)' in a GraphQL validation error indicating a type mismatch (expected SearchOptions). There is no evidence that the payload was executed on the server (no file contents from /etc/passwd or other command output are returned), only that user input was echoed back for validation. This is not sufficient to conclude an OS command injection vulnerability. Reflection of input can be a warning sign, but without execution results or side effects there is no clear proof of command execution. Recommend further testing in a safe, authorized environment (e.g., controlled probes that look for execution effects) if you need to fully assess injection risk.\""""}}]"
2025-10-03T04:33:01.272738,comments_response_5,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-03T04:33:17.426940,comments_response_6,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: html_injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL error message reflects the exact attacker-supplied HTML string back in the response: <div><img src=x onerror=\""this.src='x';alert('injected')\""></div>. Although the response is JSON, the server is returning raw markup inside the error message. If a client application takes that error text and injects it into the DOM without proper escaping (e.g., using innerHTML), the embedded onerror JavaScript would execute, resulting in a reflected XSS/HTML injection. This is a server-side reflection of user input and thus creates a realistic injection vector dependent on client-side rendering. Recommended mitigations: do not include raw user-supplied HTML in error messages, HTML-encode/escape error content, or ensure clients render error strings as plain text rather than HTML."", ""evidence"": ""Expected value of type \""SearchOptions\"", found \""<div><img src=x onerror=\\\""this.src='x';alert('injected')\\\""></div>\""."", ""confidence"": 0.85, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""html_injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.85, ""evidence"": ""Expected value of type \""SearchOptions\"", found \""<div><img src=x onerror=\\\""this.src='x';alert('injected')\\\""></div>\""."", ""explanation"": ""The GraphQL error message reflects the exact attacker-supplied HTML string back in the response: <div><img src=x onerror=\""this.src='x';alert('injected')\""></div>. Although the response is JSON, the server is returning raw markup inside the error message. If a client application takes that error text and injects it into the DOM without proper escaping (e.g., using innerHTML), the embedded onerror JavaScript would execute, resulting in a reflected XSS/HTML injection. This is a server-side reflection of user input and thus creates a realistic injection vector dependent on client-side rendering. Recommended mitigations: do not include raw user-supplied HTML in error messages, HTML-encode/escape error content, or ensure clients render error strings as plain text rather than HTML.""}}]"
2025-10-03T04:33:25.391509,comments_response_7,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-03T04:33:33.478524,comments_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-03T04:33:48.543353,comments_response_9,200,1,1,0.0,both_detected,,Information Disclosure,Injection Attacks,1,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,"[{""detection_name"": ""Introspection Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""GraphQL introspection enabled - potential information disclosure"", ""evidence"": ""Found __schema in response data - introspection queries are allowed""}]","[{""detection_name"": ""LLM: Introspection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The response contains a top-level __schema object with a complete types list, which indicates GraphQL introspection is enabled and returning schema metadata. This exposes the API shape (queries, mutations, object types, input types and enums) such as Query, Mutation, User, CreateUserInput, UpdateUserInput, etc. Exposed schema information increases attack surface by allowing an attacker to discover available operations and fields (including potentially sensitive fields or mutation inputs), enabling more targeted queries, enumeration, and automated tooling to find further vulnerabilities or bypass protections. Recommend disabling GraphQL introspection in production or restricting it to authenticated/authorized users, removing or protecting sensitive fields, implementing rate-limiting and monitoring, and applying least-privilege access controls for schema discovery."", ""evidence"": ""\""__schema\"": { \""types\"": [ { \""name\"": \""Query\"", \""kind\"": \""OBJECT\"" }, { \""name\"": \""Mutation\"", \""kind\"": \""OBJECT\"" }, { \""name\"": \""User\"", \""kind\"": \""OBJECT\"" }, { \""name\"": \""CreateUserInput\"", \""kind\"": \""INPUT_OBJECT\"" }, ... ] }"", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Introspection"", ""severity"": ""MEDIUM"", ""confidence"": 0.95, ""evidence"": ""\""__schema\"": { \""types\"": [ { \""name\"": \""Query\"", \""kind\"": \""OBJECT\"" }, { \""name\"": \""Mutation\"", \""kind\"": \""OBJECT\"" }, { \""name\"": \""User\"", \""kind\"": \""OBJECT\"" }, { \""name\"": \""CreateUserInput\"", \""kind\"": \""INPUT_OBJECT\"" }, ... ] }"", ""explanation"": ""The response contains a top-level __schema object with a complete types list, which indicates GraphQL introspection is enabled and returning schema metadata. This exposes the API shape (queries, mutations, object types, input types and enums) such as Query, Mutation, User, CreateUserInput, UpdateUserInput, etc. Exposed schema information increases attack surface by allowing an attacker to discover available operations and fields (including potentially sensitive fields or mutation inputs), enabling more targeted queries, enumeration, and automated tooling to find further vulnerabilities or bypass protections. Recommend disabling GraphQL introspection in production or restricting it to authenticated/authorized users, removing or protecting sensitive fields, implementing rate-limiting and monitoring, and applying least-privilege access controls for schema discovery.""}}]"
2025-10-03T04:34:01.093243,comments_response_10,400,1,1,0.0,both_detected,,Information Disclosure,Unknown,1,0,0,0,1,0,0.0,llm_potential_only,,,Unknown,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: field_suggestions"", ""detection"": ""potential"", ""category"": ""Unknown"", ""description"": ""The GraphQL error responses include \""Did you mean ...?\"" suggestions that reveal valid field names on the Comment type (name, email). This is a field_suggestions information disclosure vulnerability: it leaks schema details which can be used to enumerate fields and craft targeted queries or further attacks. Impact is information disclosure that can aid an attacker in recon profiling; severity set to MEDIUM because while this does not directly expose data, it lowers the effort for further exploitation. Remediation: suppress or genericize validation error messages, disable suggestion feature in the GraphQL server, or return generic error payloads that do not reveal schema details."", ""evidence"": ""\""Cannot query field \\\""nam\\\"" on type \\\""Comment\\\"". Did you mean \\\""name\\\""?\"" and \""Cannot query field \\\""emal\\\"" on type \\\""Comment\\\"". Did you mean \\\""email\\\""?\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""field_suggestions"", ""severity"": ""MEDIUM"", ""confidence"": 0.9, ""evidence"": ""\""Cannot query field \\\""nam\\\"" on type \\\""Comment\\\"". Did you mean \\\""name\\\""?\"" and \""Cannot query field \\\""emal\\\"" on type \\\""Comment\\\"". Did you mean \\\""email\\\""?\"""", ""explanation"": ""The GraphQL error responses include \""Did you mean ...?\"" suggestions that reveal valid field names on the Comment type (name, email). This is a field_suggestions information disclosure vulnerability: it leaks schema details which can be used to enumerate fields and craft targeted queries or further attacks. Impact is information disclosure that can aid an attacker in recon profiling; severity set to MEDIUM because while this does not directly expose data, it lowers the effort for further exploitation. Remediation: suppress or genericize validation error messages, disable suggestion feature in the GraphQL server, or return generic error payloads that do not reveal schema details.""}}]"
