timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-03T09:04:47.984398,updateTodo_response_2,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-03T09:04:58.674807,updateTodo_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response returns the 'title' field containing an unescaped <script> tag. This is a clear indicator of reflected/stored HTML/script injection: if a client (web page) renders this value into the DOM without proper encoding or sanitization, it will execute arbitrary JavaScript (demonstrated by the alert payload). The operation is an updateTodo, suggesting user-supplied content may be persisted and later served to other users (stored XSS). Whether it is exploitable depends on how the front-end consumes and renders this field, but returning raw script tags from the API is insecure. Recommended mitigations: validate and sanitize inputs on the server, escape/encode output when inserting into HTML, and apply strong Content Security Policy (CSP)."", ""evidence"": ""\""title\"": \""<script>alert('xss-test')</script>\"""", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""HIGH"", ""confidence"": 0.8, ""evidence"": ""\""title\"": \""<script>alert('xss-test')</script>\"""", ""explanation"": ""The GraphQL response returns the 'title' field containing an unescaped <script> tag. This is a clear indicator of reflected/stored HTML/script injection: if a client (web page) renders this value into the DOM without proper encoding or sanitization, it will execute arbitrary JavaScript (demonstrated by the alert payload). The operation is an updateTodo, suggesting user-supplied content may be persisted and later served to other users (stored XSS). Whether it is exploitable depends on how the front-end consumes and renders this field, but returning raw script tags from the API is insecure. Recommended mitigations: validate and sanitize inputs on the server, escape/encode output when inserting into HTML, and apply strong Content Security Policy (CSP).""}}]"
2025-10-03T09:05:12.651049,updateTodo_response_4,200,1,0,0.0,simple_only,,Injection Attacks,,0,1,0,0,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Server-Side Request Forgery (SSRF) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SSRF injection vulnerability detected - internal network access patterns found"", ""evidence"": ""Response status: 200, SSRF keywords detected in response""}]",[]
2025-10-03T09:05:19.048078,updateTodo_response_5,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-03T09:05:31.128141,updateTodo_response_6,200,1,0,0.0,simple_only,,Injection Attacks,,0,1,0,0,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""Path injection vulnerability detected - file system access patterns found"", ""evidence"": ""Response status: 200, Path injection patterns detected in response""}]",[]
2025-10-03T09:05:38.558704,updateTodo_response_7,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: html_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response returns raw HTML markup in the 'title' field (a stored value returned by updateTodo). This indicates user-supplied content is being stored and reflected back without sanitization or encoding. If a web or mobile client renders this title into the DOM without proper escaping, it will result in HTML injection and likely stored XSS. Although the response alone does not prove the client renders the field unsafely, the presence of injected tags in persisted API output is a clear security risk and should be treated as a vulnerability. Recommended mitigations: validate/sanitize input on write, HTML-encode output before rendering in browsers, apply a strict Content Security Policy, and use context-aware encoding in the client."", ""evidence"": ""\""title\"": \""<div class=\\\""injected\\\"">Malicious <b>HTML</b></div>\"""", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""html_injection"", ""severity"": ""HIGH"", ""confidence"": 0.8, ""evidence"": ""\""title\"": \""<div class=\\\""injected\\\"">Malicious <b>HTML</b></div>\"""", ""explanation"": ""The GraphQL response returns raw HTML markup in the 'title' field (a stored value returned by updateTodo). This indicates user-supplied content is being stored and reflected back without sanitization or encoding. If a web or mobile client renders this title into the DOM without proper escaping, it will result in HTML injection and likely stored XSS. Although the response alone does not prove the client renders the field unsafely, the presence of injected tags in persisted API output is a clear security risk and should be treated as a vulnerability. Recommended mitigations: validate/sanitize input on write, HTML-encode output before rendering in browsers, apply a strict Content Security Policy, and use context-aware encoding in the client.""}}]"
2025-10-03T09:05:46.014877,updateTodo_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-03T09:05:52.396031,updateTodo_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-03T09:06:04.863323,updateTodo_response_10,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-03T09:06:17.143556,updateTodo_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Unknown,1,0,0,0,1,0,0.0,llm_potential_only,,,Unknown,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: field_suggestions"", ""detection"": ""potential"", ""category"": ""Unknown"", ""description"": ""The GraphQL response contains an automatic field suggestion ('Did you mean \""title\""?') which discloses schema information (valid field names). This behavior assists an attacker in enumerating the API schema and discovering correct field names, increasing the attack surface (making targeted queries, scraping, or further probing easier). While this does not itself execute commands or expose data directly, it is an information disclosure that can facilitate subsequent attacks. Recommended mitigations: disable or suppress auto-suggestions in error messages in production, return generic validation errors, restrict introspection in production, and use logging/monitoring for suspicious query patterns."", ""evidence"": ""GraphQL error: \""Cannot query field \\\""titel\\\"" on type \\\""Todo\\\"". Did you mean \\\""title\\\""?\"""", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""field_suggestions"", ""severity"": ""MEDIUM"", ""confidence"": 0.95, ""evidence"": ""GraphQL error: \""Cannot query field \\\""titel\\\"" on type \\\""Todo\\\"". Did you mean \\\""title\\\""?\"""", ""explanation"": ""The GraphQL response contains an automatic field suggestion ('Did you mean \""title\""?') which discloses schema information (valid field names). This behavior assists an attacker in enumerating the API schema and discovering correct field names, increasing the attack surface (making targeted queries, scraping, or further probing easier). While this does not itself execute commands or expose data directly, it is an information disclosure that can facilitate subsequent attacks. Recommended mitigations: disable or suppress auto-suggestions in error messages in production, return generic validation errors, restrict introspection in production, and use logging/monitoring for suspicious query patterns.""}}]"
