timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-09-23T20:16:29.009742,createAlbum_response_2,200,1,0,0.0,simple_only,,Injection Attacks,,0,1,0,0,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""SQL Injection (SQLi) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SQL injection vulnerability detected - malicious SQL patterns found in response"", ""evidence"": ""Response status: 200, SQL patterns detected in response""}]",[]
2025-09-23T20:16:42.725531,createAlbum_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response returns an unescaped script tag in the 'title' field for the createAlbum mutation. The value \""<script>alert('xss')</script>\"" demonstrates that the API accepted and echoed HTML/JavaScript content. Since this is the result of a create operation, it likely represents stored or reflected XSS: if a client renders this title into the DOM without proper output-encoding/sanitization (for example via innerHTML or direct insertion), arbitrary script will execute in users' browsers. This is a clear indicator of potential XSS; to confirm, render the returned title in the target client and observe whether the script executes. Mitigations: validate/encode output, sanitize input on the server, use safe rendering APIs, and deploy CSP."", ""evidence"": ""\""title\"": \""<script>alert('xss')</script>\"" in response to createAlbum"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""\""title\"": \""<script>alert('xss')</script>\"" in response to createAlbum"", ""explanation"": ""The GraphQL response returns an unescaped script tag in the 'title' field for the createAlbum mutation. The value \""<script>alert('xss')</script>\"" demonstrates that the API accepted and echoed HTML/JavaScript content. Since this is the result of a create operation, it likely represents stored or reflected XSS: if a client renders this title into the DOM without proper output-encoding/sanitization (for example via innerHTML or direct insertion), arbitrary script will execute in users' browsers. This is a clear indicator of potential XSS; to confirm, render the returned title in the target client and observe whether the script executes. Mitigations: validate/encode output, sanitize input on the server, use safe rendering APIs, and deploy CSP.""}}]"
2025-09-23T20:16:54.105061,createAlbum_response_4,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-23T20:17:04.328686,createAlbum_response_5,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-23T20:17:15.312138,createAlbum_response_6,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-23T20:17:28.908617,createAlbum_response_7,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""HTML injection vulnerability detected - HTML markup found in response"", ""evidence"": ""Response status: 200, HTML patterns detected in response data""}]","[{""detection_name"": ""LLM: html_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response returns a raw HTML fragment with an inline event handler in the 'title' field. This indicates that HTML/JS content is being stored/returned without sanitization or encoding. If a client or web application inserts this value into the DOM without proper escaping or sanitization, the onclick handler (or other injected code) can execute, resulting in cross-site scripting (DOM or stored XSS). Recommend validating and sanitizing user-supplied content server-side, and encoding/escaping values when rendering in HTML contexts (or using a safe renderer) to mitigate this risk. Further testing should confirm where and how this field is rendered to determine actual exploitability."", ""evidence"": ""\""title\"": \""<div onclick=\\\""alert('xss')\\\"">Click me</div>\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""html_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""\""title\"": \""<div onclick=\\\""alert('xss')\\\"">Click me</div>\"""", ""explanation"": ""The GraphQL response returns a raw HTML fragment with an inline event handler in the 'title' field. This indicates that HTML/JS content is being stored/returned without sanitization or encoding. If a client or web application inserts this value into the DOM without proper escaping or sanitization, the onclick handler (or other injected code) can execute, resulting in cross-site scripting (DOM or stored XSS). Recommend validating and sanitizing user-supplied content server-side, and encoding/escaping values when rendering in HTML contexts (or using a safe renderer) to mitigate this risk. Further testing should confirm where and how this field is rendered to determine actual exploitability.""}}]"
2025-09-23T20:17:39.514832,createAlbum_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-23T20:17:49.230724,createAlbum_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-23T20:18:05.405319,createAlbum_response_10,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-23T20:18:16.099213,createAlbum_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Unknown,1,0,0,0,1,0,0.0,llm_potential_only,,,Unknown,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: field_suggestions"", ""detection"": ""potential"", ""category"": ""Unknown"", ""description"": ""The GraphQL error responses are returning helpful 'Did you mean ...?' suggestions that reveal valid field names in the schema (e.g., title, name, username). This constitutes a field_suggestions information-disclosure vulnerability because it allows an attacker to enumerate and discover schema fields and types, making targeted queries and further attacks easier. The responses do not appear to leak sensitive data directly, but they expose schema details that reduce the attacker's effort and increase risk. Recommended mitigations: disable suggestion hints in production error messages, return generic validation errors, and ensure GraphQL debug/info-level error messages are not exposed to untrusted clients."", ""evidence"": ""Error messages: \""Field \\\""titel\\\"" is not defined by type \\\""CreateAlbumInput\\\"". Did you mean \\\""title\\\""?\"", \""Cannot query field \\\""tittle\\\"" on type \\\""Album\\\"". Did you mean \\\""title\\\""?\"", \""Cannot query field \\\""fullname\\\"" on type \\\""User\\\"". Did you mean \\\""name\\\"" or \\\""username\\\""?\"""", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""field_suggestions"", ""severity"": ""MEDIUM"", ""confidence"": 0.95, ""evidence"": ""Error messages: \""Field \\\""titel\\\"" is not defined by type \\\""CreateAlbumInput\\\"". Did you mean \\\""title\\\""?\"", \""Cannot query field \\\""tittle\\\"" on type \\\""Album\\\"". Did you mean \\\""title\\\""?\"", \""Cannot query field \\\""fullname\\\"" on type \\\""User\\\"". Did you mean \\\""name\\\"" or \\\""username\\\""?\"""", ""explanation"": ""The GraphQL error responses are returning helpful 'Did you mean ...?' suggestions that reveal valid field names in the schema (e.g., title, name, username). This constitutes a field_suggestions information-disclosure vulnerability because it allows an attacker to enumerate and discover schema fields and types, making targeted queries and further attacks easier. The responses do not appear to leak sensitive data directly, but they expose schema details that reduce the attacker's effort and increase risk. Recommended mitigations: disable suggestion hints in production error messages, return generic validation errors, and ensure GraphQL debug/info-level error messages are not exposed to untrusted clients.""}}]"
