timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-05T22:06:44.430270,createPost_response_2,200,1,0,0.0,simple_only,,Injection Attacks,,0,1,0,0,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""SQL Injection (SQLi) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SQL injection vulnerability detected - malicious SQL patterns found in response"", ""evidence"": ""Response status: 200, SQL patterns detected in response""}]",[]
2025-10-05T22:06:59.609108,createPost_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL createPost response returns raw HTML and JavaScript in the 'body' field (script tag and an image tag with onerror handler). This indicates that user-supplied content is not being escaped or sanitized server-side. If a client (web application) renders this field into the DOM without proper output encoding or sanitization, the embedded scripts will execute in users' browsers, resulting in a reflected or stored XSS vulnerability. Mitigation: ensure server-side validation and output encoding (escape HTML) or use a safe HTML-sanitization library/whitelist before storing or returning user content; enforce Content Security Policy (CSP) and validate/encode data at the client when inserting into the DOM."", ""evidence"": ""Response includes unsanitized HTML in the 'body' field: \""<script>alert('xss-test')</script><img src=x onerror=alert('img')>\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""Response includes unsanitized HTML in the 'body' field: \""<script>alert('xss-test')</script><img src=x onerror=alert('img')>\"""", ""explanation"": ""The GraphQL createPost response returns raw HTML and JavaScript in the 'body' field (script tag and an image tag with onerror handler). This indicates that user-supplied content is not being escaped or sanitized server-side. If a client (web application) renders this field into the DOM without proper output encoding or sanitization, the embedded scripts will execute in users' browsers, resulting in a reflected or stored XSS vulnerability. Mitigation: ensure server-side validation and output encoding (escape HTML) or use a safe HTML-sanitization library/whitelist before storing or returning user content; enforce Content Security Policy (CSP) and validate/encode data at the client when inserting into the DOM.""}}]"
2025-10-05T22:07:13.683611,createPost_response_4,200,1,0,0.0,simple_only,,Injection Attacks,,0,1,0,0,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Server-Side Request Forgery (SSRF) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SSRF injection vulnerability detected - internal network access patterns found"", ""evidence"": ""Response status: 200, SSRF keywords detected in response""}]",[]
2025-10-05T22:07:25.262232,createPost_response_5,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T22:07:38.902125,createPost_response_6,200,1,0,0.0,simple_only,,Injection Attacks,,0,1,0,0,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""Path injection vulnerability detected - file system access patterns found"", ""evidence"": ""Response status: 200, Path injection patterns detected in response""}]",[]
2025-10-05T22:07:56.637468,createPost_response_7,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""HTML injection vulnerability detected - HTML markup found in response"", ""evidence"": ""Response status: 200, HTML patterns detected in response data""}]","[{""detection_name"": ""LLM: html_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response returns the 'body' field containing raw, unescaped HTML: an <iframe> pointing to an external attacker-controlled URL and a <p> element with an inline onclick handler. If a client application injects this value into a web page DOM without proper sanitization or output-encoding, an attacker-controlled HTML payload can execute in users' browsers (stored/reflected HTML injection leading to XSS). Impact includes session theft, phishing, malicious redirects, or loading attacker content. Recommended mitigations: perform server-side input sanitization (whitelist allowed tags/attributes), remove dangerous elements and event handlers, apply output encoding when rendering in HTML contexts, and enforce a strong Content Security Policy (CSP)."", ""evidence"": ""\""body\"": \""<div><iframe src='http://attacker.example/mal.html'></iframe><p onclick='steal()'>click</p></div>\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""html_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""\""body\"": \""<div><iframe src='http://attacker.example/mal.html'></iframe><p onclick='steal()'>click</p></div>\"""", ""explanation"": ""The GraphQL response returns the 'body' field containing raw, unescaped HTML: an <iframe> pointing to an external attacker-controlled URL and a <p> element with an inline onclick handler. If a client application injects this value into a web page DOM without proper sanitization or output-encoding, an attacker-controlled HTML payload can execute in users' browsers (stored/reflected HTML injection leading to XSS). Impact includes session theft, phishing, malicious redirects, or loading attacker content. Recommended mitigations: perform server-side input sanitization (whitelist allowed tags/attributes), remove dangerous elements and event handlers, apply output encoding when rendering in HTML contexts, and enforce a strong Content Security Policy (CSP).""}}]"
2025-10-05T22:08:06.296132,createPost_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T22:08:14.821063,createPost_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T22:08:44.209871,createPost_response_10,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T22:08:58.306291,createPost_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Unknown,1,0,0,0,1,0,0.0,llm_potential_only,,,Unknown,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: field_suggestions"", ""detection"": ""potential"", ""category"": ""Unknown"", ""description"": ""The GraphQL error messages return suggested field names for mistyped fields (e.g. recommending \""title\"", \""body\"", \""id\""). This is clear evidence of field suggestion behavior. Such suggestions disclose schema details (field names and types) that should not be revealed to untrusted clients, enabling schema enumeration and making it easier for an attacker to craft targeted queries or discover sensitive fields. Impact is information disclosure; it increases attack surface and can facilitate further attacks (reconnaissance, privilege discovery). Recommended mitigations: disable or suppress field-name suggestions in error messages (return generic validation errors in production), enable error masking/logging for internal use only, and enforce authentication/authorization checks on schema access."", ""evidence"": ""\""Cannot query field \\\""titel\\\"" on type \\\""Post\\\"". Did you mean \\\""title\\\""?\"" and \""Cannot query field \\\""bod\\\"" on type \\\""Post\\\"". Did you mean \\\""body\\\"" or \\\""id\\\""?\"""", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""field_suggestions"", ""severity"": ""MEDIUM"", ""confidence"": 0.95, ""evidence"": ""\""Cannot query field \\\""titel\\\"" on type \\\""Post\\\"". Did you mean \\\""title\\\""?\"" and \""Cannot query field \\\""bod\\\"" on type \\\""Post\\\"". Did you mean \\\""body\\\"" or \\\""id\\\""?\"""", ""explanation"": ""The GraphQL error messages return suggested field names for mistyped fields (e.g. recommending \""title\"", \""body\"", \""id\""). This is clear evidence of field suggestion behavior. Such suggestions disclose schema details (field names and types) that should not be revealed to untrusted clients, enabling schema enumeration and making it easier for an attacker to craft targeted queries or discover sensitive fields. Impact is information disclosure; it increases attack surface and can facilitate further attacks (reconnaissance, privilege discovery). Recommended mitigations: disable or suppress field-name suggestions in error messages (return generic validation errors in production), enable error masking/logging for internal use only, and enforce authentication/authorization checks on schema access.""}}]"
