timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-06T00:38:03.080582,createUser_response_2,200,1,0,0.0,simple_only,,Injection Attacks,,0,1,0,0,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""SQL Injection (SQLi) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SQL injection vulnerability detected - malicious SQL patterns found in response"", ""evidence"": ""Response status: 200, SQL patterns detected in response""}]",[]
2025-10-06T00:38:25.092228,createUser_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response contains literal <script> tags in user-controlled fields (name and company.catchPhrase). This shows the server is returning raw HTML/JS content rather than sanitizing or encoding it. If a browser-based client or any renderer inserts these field values into the DOM without proper escaping or context-aware encoding (e.g., using innerHTML), an attacker-controlled script will execute (stored or reflected XSS). The risk is high because the createUser operation indicates these values may be persisted and subsequently rendered in pages (stored XSS), enabling session theft, account takeover, or other malicious actions. Remediation: validate/encode input, apply output encoding based on the rendering context (HTML-escape when inserting into DOM), use safe rendering APIs (textContent, templating with auto-escaping), implement Content Security Policy, and sanitize stored HTML if HTML is required."", ""evidence"": ""\""name\"": \""<script>alert('xss')</script>\"", \""company\"": { \""catchPhrase\"": \""<script>console.log('pwned')</script>\"" }"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""\""name\"": \""<script>alert('xss')</script>\"", \""company\"": { \""catchPhrase\"": \""<script>console.log('pwned')</script>\"" }"", ""explanation"": ""The GraphQL response contains literal <script> tags in user-controlled fields (name and company.catchPhrase). This shows the server is returning raw HTML/JS content rather than sanitizing or encoding it. If a browser-based client or any renderer inserts these field values into the DOM without proper escaping or context-aware encoding (e.g., using innerHTML), an attacker-controlled script will execute (stored or reflected XSS). The risk is high because the createUser operation indicates these values may be persisted and subsequently rendered in pages (stored XSS), enabling session theft, account takeover, or other malicious actions. Remediation: validate/encode input, apply output encoding based on the rendering context (HTML-escape when inserting into DOM), use safe rendering APIs (textContent, templating with auto-escaping), implement Content Security Policy, and sanitize stored HTML if HTML is required.""}}]"
2025-10-06T00:38:48.329862,createUser_response_4,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Server-Side Request Forgery (SSRF) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SSRF injection vulnerability detected - internal network access patterns found"", ""evidence"": ""Response status: 200, SSRF keywords detected in response""}]","[{""detection_name"": ""LLM: ssrf_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response contains references to internal addressing: the AWS EC2 metadata IP (169.254.169.254) in the 'website' field and the loopback address (127.0.0.1) in 'address.zipcode'. These values indicate the application accepted or returned internal network endpoints; this is a strong indicator that user-supplied URLs may be used by the server to perform backend requests (SSRF). Access to 169.254.169.254 is particularly sensitive because it hosts instance metadata and credentials (IMDS), which an SSRF can expose and lead to account compromise. While it is possible these values were simply stored/echoed without server-side fetching, the presence of internal-only endpoints in returned data is high-risk and consistent with SSRF behavior. Recommend treating this as a likely SSRF and immediately validating/whitelisting URL inputs, blocking requests to link-local/private addresses on the server-side, and auditing any backend fetch logic that processes user-controlled URLs."", ""evidence"": ""\""website\"": \""http://169.254.169.254/latest/meta-data/\"", \""address\"": { \""zipcode\"": \""127.0.0.1\"" }"", ""confidence"": 0.6, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""ssrf_injection"", ""severity"": ""HIGH"", ""confidence"": 0.6, ""evidence"": ""\""website\"": \""http://169.254.169.254/latest/meta-data/\"", \""address\"": { \""zipcode\"": \""127.0.0.1\"" }"", ""explanation"": ""The GraphQL response contains references to internal addressing: the AWS EC2 metadata IP (169.254.169.254) in the 'website' field and the loopback address (127.0.0.1) in 'address.zipcode'. These values indicate the application accepted or returned internal network endpoints; this is a strong indicator that user-supplied URLs may be used by the server to perform backend requests (SSRF). Access to 169.254.169.254 is particularly sensitive because it hosts instance metadata and credentials (IMDS), which an SSRF can expose and lead to account compromise. While it is possible these values were simply stored/echoed without server-side fetching, the presence of internal-only endpoints in returned data is high-risk and consistent with SSRF behavior. Recommend treating this as a likely SSRF and immediately validating/whitelisting URL inputs, blocking requests to link-local/private addresses on the server-side, and auditing any backend fetch logic that processes user-controlled URLs.""}}]"
2025-10-06T00:39:11.241725,createUser_response_5,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-06T00:39:27.043725,createUser_response_6,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,0,1,0,1.0,both_potential,Injection Attacks,,,"[{""detection_name"": ""Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""Path injection vulnerability detected - file system access patterns found"", ""evidence"": ""Response status: 200, Path injection patterns detected in response""}]","[{""detection_name"": ""LLM: path_injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL createUser response contains directory-traversal patterns (e.g. '../../../../etc/passwd', '.././../secret') and a file URI pointing to a sensitive local file (file:///etc/passwd). These values indicate the API accepts and returns raw path-like input that could be used for path manipulation or directory traversal. If such inputs are used by server-side filesystem operations without proper validation/canonicalization, an attacker could traverse directories or reference sensitive files on the host. Recommend treating this as a potential path injection issue: validate and canonicalize/normalize paths, reject or sanitize path traversal sequences, enforce an allowlist of permitted directories, avoid using user-controlled paths in filesystem operations, and run file accesses with least privilege. Further testing (attempt to retrieve known sensitive files or observe server behavior when sending crafted paths) is advised to confirm exploitation and impact."", ""evidence"": ""\""street\"": \""../../../../etc/passwd\"", \""suite\"": \"".././../secret\"", \""website\"": \""file:///etc/passwd\"""", ""confidence"": 0.7, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""path_injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.7, ""evidence"": ""\""street\"": \""../../../../etc/passwd\"", \""suite\"": \"".././../secret\"", \""website\"": \""file:///etc/passwd\"""", ""explanation"": ""The GraphQL createUser response contains directory-traversal patterns (e.g. '../../../../etc/passwd', '.././../secret') and a file URI pointing to a sensitive local file (file:///etc/passwd). These values indicate the API accepts and returns raw path-like input that could be used for path manipulation or directory traversal. If such inputs are used by server-side filesystem operations without proper validation/canonicalization, an attacker could traverse directories or reference sensitive files on the host. Recommend treating this as a potential path injection issue: validate and canonicalize/normalize paths, reject or sanitize path traversal sequences, enforce an allowlist of permitted directories, avoid using user-controlled paths in filesystem operations, and run file accesses with least privilege. Further testing (attempt to retrieve known sensitive files or observe server behavior when sending crafted paths) is advised to confirm exploitation and impact.""}}]"
2025-10-06T00:39:45.166301,createUser_response_7,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""HTML injection vulnerability detected - HTML markup found in response"", ""evidence"": ""Response status: 200, HTML patterns detected in response data""}]","[{""detection_name"": ""LLM: html_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response returns raw HTML markup inside string fields (name, company.name, company.catchPhrase). Examples: a <div> with an onclick handler, a <span> with inline style, and an <iframe> pointing to an external site. If a client application injects these field values into the DOM without proper output encoding or sanitization, an attacker can achieve stored HTML injection / XSS (e.g., executing JavaScript via onclick or loading malicious content via iframe). This is a clear HTML injection risk in the API layer because unescaped markup is being returned. Remediation: ensure the server or clients treat these fields as plain text (HTML-escape/encode output) or sanitize/whitelist allowed markup on input, implement a strong Content Security Policy, and validate/encode data before inserting into HTML contexts. Also review where clients render these fields and apply contextual escaping appropriate for the target (HTML text node, attribute, URL, etc.)."", ""evidence"": ""\""name\"": \""<div onclick=\\\""alert('click')\\\"">ClickMe</div>\"", \""company\"": { \""name\"": \""<span style=\\\""color:red\\\"">RedCorp</span>\"", \""catchPhrase\"": \""<iframe src='http://evil.example/'></iframe>\"" }"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""html_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""\""name\"": \""<div onclick=\\\""alert('click')\\\"">ClickMe</div>\"", \""company\"": { \""name\"": \""<span style=\\\""color:red\\\"">RedCorp</span>\"", \""catchPhrase\"": \""<iframe src='http://evil.example/'></iframe>\"" }"", ""explanation"": ""The GraphQL response returns raw HTML markup inside string fields (name, company.name, company.catchPhrase). Examples: a <div> with an onclick handler, a <span> with inline style, and an <iframe> pointing to an external site. If a client application injects these field values into the DOM without proper output encoding or sanitization, an attacker can achieve stored HTML injection / XSS (e.g., executing JavaScript via onclick or loading malicious content via iframe). This is a clear HTML injection risk in the API layer because unescaped markup is being returned. Remediation: ensure the server or clients treat these fields as plain text (HTML-escape/encode output) or sanitize/whitelist allowed markup on input, implement a strong Content Security Policy, and validate/encode data before inserting into HTML contexts. Also review where clients render these fields and apply contextual escaping appropriate for the target (HTML text node, attribute, URL, etc.).""}}]"
2025-10-06T00:39:57.819287,createUser_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-06T00:40:10.531118,createUser_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-06T00:40:28.977864,createUser_response_10,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-06T00:40:50.310221,createUser_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Unknown,1,0,0,0,1,0,0.0,llm_potential_only,,,Unknown,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: field_suggestions"", ""detection"": ""potential"", ""category"": ""Unknown"", ""description"": ""The GraphQL response returns corrective suggestions for mistyped fields (\""Did you mean ...?\""). This leaks schema information (exact field names on the User type), which can be used by an attacker to enumerate the API schema and construct targeted queries for data discovery or exploitation. While not an active injection or remote-execution flaw by itself, it is an information disclosure vulnerability that lowers the effort required for further attacks. Mitigation: suppress or genericize validation error messages in production (remove \u2018Did you mean\u2019 suggestions), restrict introspection in sensitive environments, and enforce authentication/authorization checks on fields."", ""evidence"": ""Error messages: \""Cannot query field \\\""usernme\\\"" on type \\\""User\\\"". Did you mean \\\""username\\\""?\"", \""Cannot query field \\\""emial\\\"" on type \\\""User\\\"". Did you mean \\\""email\\\""?\"", \""Cannot query field \\\""addres\\\"" on type \\\""User\\\"". Did you mean \\\""address\\\""?\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""field_suggestions"", ""severity"": ""MEDIUM"", ""confidence"": 0.9, ""evidence"": ""Error messages: \""Cannot query field \\\""usernme\\\"" on type \\\""User\\\"". Did you mean \\\""username\\\""?\"", \""Cannot query field \\\""emial\\\"" on type \\\""User\\\"". Did you mean \\\""email\\\""?\"", \""Cannot query field \\\""addres\\\"" on type \\\""User\\\"". Did you mean \\\""address\\\""?\"""", ""explanation"": ""The GraphQL response returns corrective suggestions for mistyped fields (\""Did you mean ...?\""). This leaks schema information (exact field names on the User type), which can be used by an attacker to enumerate the API schema and construct targeted queries for data discovery or exploitation. While not an active injection or remote-execution flaw by itself, it is an information disclosure vulnerability that lowers the effort required for further attacks. Mitigation: suppress or genericize validation error messages in production (remove \u2018Did you mean\u2019 suggestions), restrict introspection in sensitive environments, and enforce authentication/authorization checks on fields.""}}]"
