timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-05T21:32:45.377757,updateAlbum_response_2,200,1,0,0.0,simple_only,,Injection Attacks,,0,1,0,0,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""SQL Injection (SQLi) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SQL injection vulnerability detected - malicious SQL patterns found in response"", ""evidence"": ""Response status: 200, SQL patterns detected in response""}]",[]
2025-10-05T21:33:02.781664,updateAlbum_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response returns a title field containing a raw <script> tag and JavaScript that attempts to exfiltrate document.cookie. This indicates user-controlled input is being reflected/stored and returned without escaping or sanitization. If a client application inserts this value into a web page DOM as HTML (e.g., via innerHTML) the script will execute in victims' browsers (stored/reflected XSS), enabling cookie/session theft and other actions in the context of the user. Exploitability depends on how the client renders this field, but the presence of an executable script in response is a clear XSS risk. Recommendations: apply proper output encoding/escaping on rendering, sanitize or disallow script-containing input server-side, use Content Security Policy, and treat all GraphQL field values as untrusted."", ""evidence"": ""data.updateAlbum.title = \""<script>fetch('/steal?c='+document.cookie)</script>\"""", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""HIGH"", ""confidence"": 0.95, ""evidence"": ""data.updateAlbum.title = \""<script>fetch('/steal?c='+document.cookie)</script>\"""", ""explanation"": ""The GraphQL response returns a title field containing a raw <script> tag and JavaScript that attempts to exfiltrate document.cookie. This indicates user-controlled input is being reflected/stored and returned without escaping or sanitization. If a client application inserts this value into a web page DOM as HTML (e.g., via innerHTML) the script will execute in victims' browsers (stored/reflected XSS), enabling cookie/session theft and other actions in the context of the user. Exploitability depends on how the client renders this field, but the presence of an executable script in response is a clear XSS risk. Recommendations: apply proper output encoding/escaping on rendering, sanitize or disallow script-containing input server-side, use Content Security Policy, and treat all GraphQL field values as untrusted.""}}]"
2025-10-05T21:33:18.458322,updateAlbum_response_4,200,1,0,0.0,simple_only,,Injection Attacks,,0,1,0,0,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Server-Side Request Forgery (SSRF) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SSRF injection vulnerability detected - internal network access patterns found"", ""evidence"": ""Response status: 200, SSRF keywords detected in response""}]",[]
2025-10-05T21:33:34.572720,updateAlbum_response_5,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T21:34:02.004152,updateAlbum_response_6,200,1,0,0.0,simple_only,,Injection Attacks,,0,1,0,0,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""Path injection vulnerability detected - file system access patterns found"", ""evidence"": ""Response status: 200, Path injection patterns detected in response""}]",[]
2025-10-05T21:34:19.198070,updateAlbum_response_7,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""HTML injection vulnerability detected - HTML markup found in response"", ""evidence"": ""Response status: 200, HTML patterns detected in response data""}]","[{""detection_name"": ""LLM: html_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response for updateAlbum returns the title field containing raw HTML: an <img> tag with an onerror JavaScript handler. This indicates the server accepted and returned unescaped markup. If a client application inserts this value into the DOM without proper output encoding (e.g., via innerHTML) the payload will execute, resulting in cross-site scripting (XSS). Because the operation is updateAlbum (a write operation) the payload is likely stored and subsequently returned, increasing impact (stored HTML injection leading to XSS). Recommended mitigations: perform strict input validation/sanitization on the server, apply proper output encoding (escape HTML) when rendering on the client, set appropriate Content Security Policy, and ensure APIs return safe JSON rather than embedding untrusted HTML into rendered pages."", ""evidence"": ""\""title\"": \""<img src=x onerror=alert('html_injection') />\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""html_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""\""title\"": \""<img src=x onerror=alert('html_injection') />\"""", ""explanation"": ""The GraphQL response for updateAlbum returns the title field containing raw HTML: an <img> tag with an onerror JavaScript handler. This indicates the server accepted and returned unescaped markup. If a client application inserts this value into the DOM without proper output encoding (e.g., via innerHTML) the payload will execute, resulting in cross-site scripting (XSS). Because the operation is updateAlbum (a write operation) the payload is likely stored and subsequently returned, increasing impact (stored HTML injection leading to XSS). Recommended mitigations: perform strict input validation/sanitization on the server, apply proper output encoding (escape HTML) when rendering on the client, set appropriate Content Security Policy, and ensure APIs return safe JSON rather than embedding untrusted HTML into rendered pages.""}}]"
2025-10-05T21:34:30.769721,updateAlbum_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T21:34:41.495483,updateAlbum_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T21:34:54.699685,updateAlbum_response_10,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T21:35:09.087041,updateAlbum_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Unknown,1,0,0,0,1,0,0.0,llm_potential_only,,,Unknown,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: field_suggestions"", ""detection"": ""potential"", ""category"": ""Unknown"", ""description"": ""The GraphQL error responses include corrective suggestions (\""Did you mean 'title'?\""), which reveals valid field names on the Album type. This behavior discloses schema information and aids an attacker in enumerating the API schema and fields, increasing the attack surface. While not directly executing code or exposing sensitive data, it is an information disclosure vulnerability (field suggestions). Recommended mitigations: disable or suppress suggestion text in production error messages, return generic validation errors, or restrict detailed error output to authenticated/admin contexts."", ""evidence"": ""Error messages: \""Cannot query field \\\""titel\\\"" on type \\\""Album\\\"". Did you mean \\\""title\\\""?\"" and \""Cannot query field \\\""titlle\\\"" on type \\\""Album\\\"". Did you mean \\\""title\\\""?\"""", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""field_suggestions"", ""severity"": ""MEDIUM"", ""confidence"": 0.95, ""evidence"": ""Error messages: \""Cannot query field \\\""titel\\\"" on type \\\""Album\\\"". Did you mean \\\""title\\\""?\"" and \""Cannot query field \\\""titlle\\\"" on type \\\""Album\\\"". Did you mean \\\""title\\\""?\"""", ""explanation"": ""The GraphQL error responses include corrective suggestions (\""Did you mean 'title'?\""), which reveals valid field names on the Album type. This behavior discloses schema information and aids an attacker in enumerating the API schema and fields, increasing the attack surface. While not directly executing code or exposing sensitive data, it is an information disclosure vulnerability (field suggestions). Recommended mitigations: disable or suppress suggestion text in production error messages, return generic validation errors, or restrict detailed error output to authenticated/admin contexts.""}}]"
