timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-05T02:29:48.163288,updateTodo_response_2,,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: SSRF (Server-Side Request Forgery)"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The error message 'HTTPSConnectionPool(host='graphqlzero.almansi.me', port=443): Read timed out.' explicitly indicates that the server attempted to make an outbound HTTP(S) request to an external host ('graphqlzero.almansi.me') but it timed out. This suggests the application is processing requests that involve fetching data from external resources. While a timeout itself isn't a direct vulnerability, the fact that the server is making external requests based on some input (potentially user-controlled) is a strong indicator of a potential Server-Side Request Forgery (SSRF) vulnerability. An attacker might be able to manipulate the input to direct the server to internal network resources, local files, or other arbitrary external hosts. The 'Read timed out' provides clear evidence that an external request was initiated. The severity is marked as MEDIUM because we don't have definitive proof of internal access, but the capability for external requests is present."", ""evidence"": ""HTTPSConnectionPool(host='graphqlzero.almansi.me', port=443): Read timed out."", ""confidence"": 0.7, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""SSRF (Server-Side Request Forgery)"", ""severity"": ""MEDIUM"", ""confidence"": 0.7, ""evidence"": ""HTTPSConnectionPool(host='graphqlzero.almansi.me', port=443): Read timed out."", ""explanation"": ""The error message 'HTTPSConnectionPool(host='graphqlzero.almansi.me', port=443): Read timed out.' explicitly indicates that the server attempted to make an outbound HTTP(S) request to an external host ('graphqlzero.almansi.me') but it timed out. This suggests the application is processing requests that involve fetching data from external resources. While a timeout itself isn't a direct vulnerability, the fact that the server is making external requests based on some input (potentially user-controlled) is a strong indicator of a potential Server-Side Request Forgery (SSRF) vulnerability. An attacker might be able to manipulate the input to direct the server to internal network resources, local files, or other arbitrary external hosts. The 'Read timed out' provides clear evidence that an external request was initiated. The severity is marked as MEDIUM because we don't have definitive proof of internal access, but the capability for external requests is present.""}}]"
2025-10-05T02:29:50.209423,updateTodo_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response reflects user-controlled input, specifically a JavaScript `<script>` tag, directly into the 'title' field. If this response is rendered by a web browser without proper sanitization, it could lead to Cross-Site Scripting (XSS). An attacker could inject malicious scripts that execute in the user's browser, potentially stealing cookies, session tokens, or defacing the website. This is a clear indication of a reflected XSS vulnerability."", ""evidence"": ""The 'title' field in the response body contains: \""<script>alert('XSSed!')</script>\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""The 'title' field in the response body contains: \""<script>alert('XSSed!')</script>\"""", ""explanation"": ""The GraphQL response reflects user-controlled input, specifically a JavaScript `<script>` tag, directly into the 'title' field. If this response is rendered by a web browser without proper sanitization, it could lead to Cross-Site Scripting (XSS). An attacker could inject malicious scripts that execute in the user's browser, potentially stealing cookies, session tokens, or defacing the website. This is a clear indication of a reflected XSS vulnerability.""}}]"
2025-10-05T02:29:52.027722,updateTodo_response_4,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Server-Side Request Forgery (SSRF) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SSRF injection vulnerability detected - internal network access patterns found"", ""evidence"": ""Response status: 200, SSRF keywords detected in response""}]","[{""detection_name"": ""LLM: ssrf_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'title' field in the 'updateTodo' mutation response contains a URL pointing to an external domain (http://attacker.com/malicious-endpoint). If the backend server subsequently attempts to retrieve content from, interact with, or otherwise process this URL without proper validation, it could lead to Server-Side Request Forgery (SSRF). An attacker could leverage this to make the server initiate requests to internal systems (e.g., http://localhost/admin), other services in the internal network, or external malicious sites. The presence of a user-controlled URL being reflected and potentially processed by the server is a strong indicator of an SSRF vulnerability."", ""evidence"": ""title: 'Check this out: http://attacker.com/malicious-endpoint'"", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""ssrf_injection"", ""severity"": ""HIGH"", ""confidence"": 0.8, ""evidence"": ""title: 'Check this out: http://attacker.com/malicious-endpoint'"", ""explanation"": ""The 'title' field in the 'updateTodo' mutation response contains a URL pointing to an external domain (http://attacker.com/malicious-endpoint). If the backend server subsequently attempts to retrieve content from, interact with, or otherwise process this URL without proper validation, it could lead to Server-Side Request Forgery (SSRF). An attacker could leverage this to make the server initiate requests to internal systems (e.g., http://localhost/admin), other services in the internal network, or external malicious sites. The presence of a user-controlled URL being reflected and potentially processed by the server is a strong indicator of an SSRF vulnerability.""}}]"
2025-10-05T02:29:53.694697,updateTodo_response_5,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: OS Command Injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'title' field in the GraphQL response contains an OS command injection payload: 'New Todo; rm -rf /; ls -la'. The presence of a semicolon followed by system commands ('rm -rf /' and 'ls -la') strongly suggests that the input for the 'title' field is being executed as a shell command on the server. If this input is directly used in a system call without proper sanitization, an attacker could execute arbitrary commands on the server, leading to severe consequences such as data loss, system compromise, or unauthorized access. The 'updateTodo' operation likely processes this 'title' value in a way that allows command concatenation and execution."", ""evidence"": ""'title': 'New Todo; rm -rf /; ls -la'"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""OS Command Injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""'title': 'New Todo; rm -rf /; ls -la'"", ""explanation"": ""The 'title' field in the GraphQL response contains an OS command injection payload: 'New Todo; rm -rf /; ls -la'. The presence of a semicolon followed by system commands ('rm -rf /' and 'ls -la') strongly suggests that the input for the 'title' field is being executed as a shell command on the server. If this input is directly used in a system call without proper sanitization, an attacker could execute arbitrary commands on the server, leading to severe consequences such as data loss, system compromise, or unauthorized access. The 'updateTodo' operation likely processes this 'title' value in a way that allows command concatenation and execution.""}}]"
2025-10-05T02:29:57.025864,updateTodo_response_6,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""Path injection vulnerability detected - file system access patterns found"", ""evidence"": ""Response status: 200, Path injection patterns detected in response""}]","[{""detection_name"": ""LLM: Path Injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The presence of '../../../etc/passwd' within the 'title' field is a classic indicator of a path traversal (or path injection) vulnerability. This suggests that the application is either storing or processing user-provided input in a way that doesn't properly sanitize or validate directory traversal sequences. If this 'title' is later used to construct a file path for operations (e.g., saving a file, logging, or reading a resource), an attacker could potentially read or write to arbitrary files on the server, such as the '/etc/passwd' file. The fact that the server responded with this value in the updated resource indicates that the input was accepted and is now part of the application's data, increasing the risk of subsequent exploitation."", ""evidence"": ""The 'title' field in the response body contains '../../../etc/passwd'. This strongly suggests that user input intended for the 'title' field was processed in a way that led to a directory traversal attempt."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Path Injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""The 'title' field in the response body contains '../../../etc/passwd'. This strongly suggests that user input intended for the 'title' field was processed in a way that led to a directory traversal attempt."", ""explanation"": ""The presence of '../../../etc/passwd' within the 'title' field is a classic indicator of a path traversal (or path injection) vulnerability. This suggests that the application is either storing or processing user-provided input in a way that doesn't properly sanitize or validate directory traversal sequences. If this 'title' is later used to construct a file path for operations (e.g., saving a file, logging, or reading a resource), an attacker could potentially read or write to arbitrary files on the server, such as the '/etc/passwd' file. The fact that the server responded with this value in the updated resource indicates that the input was accepted and is now part of the application's data, increasing the risk of subsequent exploitation.""}}]"
2025-10-05T02:29:58.717802,updateTodo_response_7,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""HTML injection vulnerability detected - HTML markup found in response"", ""evidence"": ""Response status: 200, HTML patterns detected in response data""}]","[{""detection_name"": ""LLM: HTML Injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'title' field in the 'updateTodo' mutation response contains raw HTML tags, including an '<h1>' tag and an '<img>' tag with an 'onerror' event handler. This indicates that the server is likely accepting and reflecting user-supplied input without proper sanitization, allowing for HTML injection. If this content is rendered in a web browser without encoding, it could lead to Cross-Site Scripting (XSS), as demonstrated by the 'alert(\""HTML injection\"")' within the onerror attribute."", ""evidence"": ""'title': '<h1>Important Todo</h1><img src='invalid' onerror='alert(\""HTML injection\"")'>'"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""HTML Injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""'title': '<h1>Important Todo</h1><img src='invalid' onerror='alert(\""HTML injection\"")'>'"", ""explanation"": ""The 'title' field in the 'updateTodo' mutation response contains raw HTML tags, including an '<h1>' tag and an '<img>' tag with an 'onerror' event handler. This indicates that the server is likely accepting and reflecting user-supplied input without proper sanitization, allowing for HTML injection. If this content is rendered in a web browser without encoding, it could lead to Cross-Site Scripting (XSS), as demonstrated by the 'alert(\""HTML injection\"")' within the onerror attribute.""}}]"
2025-10-05T02:30:00.605544,updateTodo_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T02:30:02.328457,updateTodo_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T02:30:07.181217,updateTodo_response_10,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T02:30:08.948345,updateTodo_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Injection Attacks,1,0,0,0,0,1,0.0,no_potential,,,,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""safe"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response explicitly suggests a correct field name 'title' when an incorrect field name 'titlee' was provided. This behavior, known as field suggestion, is a form of information disclosure. While not directly exploitable for critical attacks, it helps attackers enumerate valid fields within the GraphQL schema. This can be used in reconnaissance phases to build a more complete understanding of the API's structure, potentially aiding in further attacks like data exfiltration or understanding data models."", ""evidence"": ""Cannot query field \""titlee\"" on type \""Todo\"". Did you mean \""title\""?"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""LOW"", ""confidence"": 0.9, ""evidence"": ""Cannot query field \""titlee\"" on type \""Todo\"". Did you mean \""title\""?"", ""explanation"": ""The GraphQL response explicitly suggests a correct field name 'title' when an incorrect field name 'titlee' was provided. This behavior, known as field suggestion, is a form of information disclosure. While not directly exploitable for critical attacks, it helps attackers enumerate valid fields within the GraphQL schema. This can be used in reconnaissance phases to build a more complete understanding of the API's structure, potentially aiding in further attacks like data exfiltration or understanding data models.""}}]"
