timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-09-23T18:54:23.701805,updatePhoto_response_2,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""SQL Injection (SQLi) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SQL injection vulnerability detected - malicious SQL patterns found in response"", ""evidence"": ""Response status: 200, SQL patterns detected in response""}]","[{""detection_name"": ""LLM: sql_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response shows that the input value for 'title' containing a SQL injection payload ('Test'; DROP TABLE users; --') was directly reflected and seemingly processed by the backend. While the response itself doesn't show an SQL error or confirmation of table dropping, the successful insertion of raw SQL commands into a data field strongly suggests that the backend is vulnerable to SQL injection. If the backend is directly concatenating the 'title' input into a SQL query without proper sanitization or parameterized queries, this payload could lead to the deletion of the 'users' table or other malicious database manipulations. The fact that the entire payload, including the SQL keywords and comment, is returned indicates a lack of input validation and escaping."", ""evidence"": ""'Test'; DROP TABLE users; --"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""sql_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""'Test'; DROP TABLE users; --"", ""explanation"": ""The GraphQL response shows that the input value for 'title' containing a SQL injection payload ('Test'; DROP TABLE users; --') was directly reflected and seemingly processed by the backend. While the response itself doesn't show an SQL error or confirmation of table dropping, the successful insertion of raw SQL commands into a data field strongly suggests that the backend is vulnerable to SQL injection. If the backend is directly concatenating the 'title' input into a SQL query without proper sanitization or parameterized queries, this payload could lead to the deletion of the 'users' table or other malicious database manipulations. The fact that the entire payload, including the SQL keywords and comment, is returned indicates a lack of input validation and escaping.""}}]"
2025-09-23T18:54:24.867785,updatePhoto_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response reflects the input '<script>alert('XSS')</script>' directly into the 'title' field. This indicates a Cross-Site Scripting (XSS) vulnerability. If this reflected content is rendered in a web browser without proper sanitization, it could execute arbitrary JavaScript code in the user's browser, leading to session hijacking, data theft, or defacement."", ""evidence"": ""<script>alert('XSS')</script>"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""<script>alert('XSS')</script>"", ""explanation"": ""The GraphQL response reflects the input '<script>alert('XSS')</script>' directly into the 'title' field. This indicates a Cross-Site Scripting (XSS) vulnerability. If this reflected content is rendered in a web browser without proper sanitization, it could execute arbitrary JavaScript code in the user's browser, leading to session hijacking, data theft, or defacement.""}}]"
2025-09-23T18:54:25.934098,updatePhoto_response_4,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-23T18:54:27.211352,updatePhoto_response_5,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-23T18:54:28.465957,updatePhoto_response_6,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-23T18:54:30.046748,updatePhoto_response_7,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""HTML injection vulnerability detected - HTML markup found in response"", ""evidence"": ""Response status: 200, HTML patterns detected in response data""}]","[{""detection_name"": ""LLM: HTML Injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'title' field within the 'updatePhoto' object in the GraphQL response clearly shows unfiltered HTML content, specifically an H1 tag and an IMG tag with an onerror event. This indicates that the input provided by the user was not properly sanitized or encoded before being stored and reflected back in the API response. An attacker could inject malicious HTML and potentially JavaScript if this content is rendered in a web browser without proper escaping, leading to Cross-Site Scripting (XSS) or defacement."", ""evidence"": ""The 'title' field in the response contains '<H1>HTML Injection</H1><img srconerror=alert(document.domain)>'."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""HTML Injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""The 'title' field in the response contains '<H1>HTML Injection</H1><img srconerror=alert(document.domain)>'."", ""explanation"": ""The 'title' field within the 'updatePhoto' object in the GraphQL response clearly shows unfiltered HTML content, specifically an H1 tag and an IMG tag with an onerror event. This indicates that the input provided by the user was not properly sanitized or encoded before being stored and reflected back in the API response. An attacker could inject malicious HTML and potentially JavaScript if this content is rendered in a web browser without proper escaping, leading to Cross-Site Scripting (XSS) or defacement.""}}]"
2025-09-23T18:54:32.372630,updatePhoto_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-23T18:54:33.812982,updatePhoto_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-23T18:54:35.108536,updatePhoto_response_10,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-23T18:54:36.344272,updatePhoto_response_11,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
