timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-07T19:00:10.037512,updateAlbum_response_2,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: sql_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""In the provided GraphQL response, the 'updateAlbum' object has a 'title' field that contains a suspicious value. The presence of the ' OR '1'='1' syntax suggests an attempt to inject malicious SQL code, which could lead to arbitrary query execution and exposure of sensitive data. This is a clear indicator of a SQL injection vulnerability. The confidence level is high because the presence of this specific syntax is a known SQL injection technique."", ""evidence"": ""The presence of the string 'Bad Boy ' OR '1'='1' in the response data under the 'title' field indicates an attempt to inject malicious SQL code. The 'OR 1=1' clause is a common SQL injection technique to bypass authentication and access unauthorized data."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""sql_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""The presence of the string 'Bad Boy ' OR '1'='1' in the response data under the 'title' field indicates an attempt to inject malicious SQL code. The 'OR 1=1' clause is a common SQL injection technique to bypass authentication and access unauthorized data."", ""explanation"": ""In the provided GraphQL response, the 'updateAlbum' object has a 'title' field that contains a suspicious value. The presence of the ' OR '1'='1' syntax suggests an attempt to inject malicious SQL code, which could lead to arbitrary query execution and exposure of sensitive data. This is a clear indicator of a SQL injection vulnerability. The confidence level is high because the presence of this specific syntax is a known SQL injection technique.""}}]"
2025-10-07T19:00:14.881315,updateAlbum_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,0,0,1,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""safe"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response contains a user-controlled HTML script tag in the 'title' field of the 'updateAlbum' object. This indicates a possible XSS vulnerability and suggests that user input may not be properly sanitized, allowing an attacker to inject malicious scripts."", ""evidence"": ""<script>alert('xss')</script>"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""USER_CONTROLLED_DATA_OUTPUT"", ""confidence"": 0.9, ""evidence"": ""<script>alert('xss')</script>"", ""explanation"": ""The GraphQL response contains a user-controlled HTML script tag in the 'title' field of the 'updateAlbum' object. This indicates a possible XSS vulnerability and suggests that user input may not be properly sanitized, allowing an attacker to inject malicious scripts.""}}]"
2025-10-07T19:00:18.454259,updateAlbum_response_4,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,0,0,1,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Server-Side Request Forgery (SSRF) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SSRF injection vulnerability detected - internal network access patterns found"", ""evidence"": ""Response status: 200, SSRF keywords detected in response""}]","[{""detection_name"": ""LLM: SSRF"", ""detection"": ""safe"", ""category"": ""Injection Attacks"", ""description"": ""SSRF stand for Server-Side Request Forgery. This vulnerability occurs when an attacker can trick an application into making unintended HTTP requests on the server's behalf, often by manipulating user input. The presence of an external URL in the 'title' field indicates that the server may be vulnerable to storing and resolving external URLs, potentially leading to SSRF attacks. Further investigation is needed to confirm the scope of the vulnerability and potential impact."", ""evidence"": ""The GraphQL response contains a URL ('http://example.com/') in a field ('title') that is unlikely to be intended for display, suggesting a potential SSRF vulnerability."", ""confidence"": 1.0, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""SSRF"", ""severity"": ""High"", ""confidence"": 1.0, ""evidence"": ""The GraphQL response contains a URL ('http://example.com/') in a field ('title') that is unlikely to be intended for display, suggesting a potential SSRF vulnerability."", ""explanation"": ""SSRF stand for Server-Side Request Forgery. This vulnerability occurs when an attacker can trick an application into making unintended HTTP requests on the server's behalf, often by manipulating user input. The presence of an external URL in the 'title' field indicates that the server may be vulnerable to storing and resolving external URLs, potentially leading to SSRF attacks. Further investigation is needed to confirm the scope of the vulnerability and potential impact.""}}]"
2025-10-07T19:00:22.536527,updateAlbum_response_5,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: os_command_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The presence of the ';' character followed by the command 'ls' suggests that an attacker may be attempting to inject a malicious command into the system. While the specific command 'ls' is not particularly severe, its presence in a field called 'updateAlbum' raises suspicions about the integrity of the system. Further investigation is needed to determine the full scope of this vulnerability."", ""evidence"": ""The 'updateAlbum' field in the response contains the string '; ls', which appears to be part of an operating system command injection attempt."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""os_command_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""The 'updateAlbum' field in the response contains the string '; ls', which appears to be part of an operating system command injection attempt."", ""explanation"": ""The presence of the ';' character followed by the command 'ls' suggests that an attacker may be attempting to inject a malicious command into the system. While the specific command 'ls' is not particularly severe, its presence in a field called 'updateAlbum' raises suspicions about the integrity of the system. Further investigation is needed to determine the full scope of this vulnerability.""}}]"
2025-10-07T19:00:26.139330,updateAlbum_response_6,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""Path injection vulnerability detected - file system access patterns found"", ""evidence"": ""Response status: 200, Path injection patterns detected in response""}]","[{""detection_name"": ""LLM: path_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The presence of '/etc/passwd' in the GraphQL response data suggests a potential path injection vulnerability. In this specific case, it appears that the title field of the updateAlbum object is being used to inject a path to a system file, which could be indicative of a security risk. Further investigation would be required to verify this vulnerability, but this finding warrants further attention."", ""evidence"": ""/etc/passwd in the title field of the updateAlbum object, which appears to be a file path in the Linux file system"", ""confidence"": 1.0, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""path_injection"", ""severity"": ""CRITICAL"", ""confidence"": 1.0, ""evidence"": ""/etc/passwd in the title field of the updateAlbum object, which appears to be a file path in the Linux file system"", ""explanation"": ""The presence of '/etc/passwd' in the GraphQL response data suggests a potential path injection vulnerability. In this specific case, it appears that the title field of the updateAlbum object is being used to inject a path to a system file, which could be indicative of a security risk. Further investigation would be required to verify this vulnerability, but this finding warrants further attention.""}}]"
2025-10-07T19:00:30.776811,updateAlbum_response_7,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""HTML injection vulnerability detected - HTML markup found in response"", ""evidence"": ""Response status: 200, HTML patterns detected in response data""}]","[{""detection_name"": ""LLM: HTML Injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL server appears to be returning potentially executable JavaScript code directly from the database or from a user-controlled input. This could allow an attacker to inject malicious script content, leading to a Cross-Site Scripting (XSS) attack. The fact that the content is marked as 'updateAlbum' with a 'title' field further suggests that user-input data is being saved in an unsanitized format."", ""evidence"": ""The presence of the '<script>alert('xss')</script>' string in the response body suggests a potential HTML injection vulnerability."", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""HTML Injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.95, ""evidence"": ""The presence of the '<script>alert('xss')</script>' string in the response body suggests a potential HTML injection vulnerability."", ""explanation"": ""The GraphQL server appears to be returning potentially executable JavaScript code directly from the database or from a user-controlled input. This could allow an attacker to inject malicious script content, leading to a Cross-Site Scripting (XSS) attack. The fact that the content is marked as 'updateAlbum' with a 'title' field further suggests that user-input data is being saved in an unsanitized format.""}}]"
2025-10-07T19:00:34.466135,updateAlbum_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-07T19:00:39.797223,updateAlbum_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-07T19:01:31.849286,updateAlbum_response_10,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-07T19:01:35.160811,updateAlbum_response_11,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The error message indicates that there's an attempt to query a field \""updateAlbum\"" which is not supposed to be exposed to the public GraphQL interface. This is a clear indication of a field_suggestions vulnerability. The severity is critical because this vulnerability can be used to gather information about the internal schema and potentially lead to further attacks."", ""evidence"": ""The error message reveals a field \""updateAlbum\"" on a type \""Query\"", which suggests sensitive information is being exposed through GraphQL schema."", ""confidence"": 1.0, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""CRITICAL"", ""confidence"": 1.0, ""evidence"": ""The error message reveals a field \""updateAlbum\"" on a type \""Query\"", which suggests sensitive information is being exposed through GraphQL schema."", ""explanation"": ""The error message indicates that there's an attempt to query a field \""updateAlbum\"" which is not supposed to be exposed to the public GraphQL interface. This is a clear indication of a field_suggestions vulnerability. The severity is critical because this vulnerability can be used to gather information about the internal schema and potentially lead to further attacks.""}}]"
