timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-05T20:18:52.954723,createTodo_response_2,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: SQL Injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'title' field in the GraphQL response body contains the string \""Finish report' OR '1'='1\"". This is a classic SQL injection payload often used to bypass authentication or extract data. Although we don't see direct SQL error messages or unexpected data from the database, the presence of this payload in the *created* data suggests that the backend SQL query might be vulnerable to injection when handling the 'title' input. If this title is being directly concatenated into a SQL query without proper sanitization or parameterization, an attacker could manipulate the database. The fact that the injected string is returned as the title indicates that the backend processed it as a valid input, which is a key indicator for potential SQL injection vulnerabilities if this input is then used in a database query."", ""evidence"": ""' OR '1'='1"", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""SQL Injection"", ""severity"": ""HIGH"", ""confidence"": 0.8, ""evidence"": ""' OR '1'='1"", ""explanation"": ""The 'title' field in the GraphQL response body contains the string \""Finish report' OR '1'='1\"". This is a classic SQL injection payload often used to bypass authentication or extract data. Although we don't see direct SQL error messages or unexpected data from the database, the presence of this payload in the *created* data suggests that the backend SQL query might be vulnerable to injection when handling the 'title' input. If this title is being directly concatenated into a SQL query without proper sanitization or parameterization, an attacker could manipulate the database. The fact that the injected string is returned as the title indicates that the backend processed it as a valid input, which is a key indicator for potential SQL injection vulnerabilities if this input is then used in a database query.""}}]"
2025-10-05T20:18:54.721388,createTodo_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'title' field in the GraphQL response contains the string '<script>alert('XSS Successful!')</script>'. This indicates that user-supplied input, when reflected in the response, was not properly sanitized or encoded. If this response is rendered directly in a web browser without proper escaping, it could lead to the execution of arbitrary JavaScript code, resulting in a Cross-Site Scripting (XSS) vulnerability. An attacker could exploit this to steal user cookies, deface the website, or redirect users to malicious sites."", ""evidence"": ""\""title\"": \""<script>alert('XSS Successful!')</script>\"""", ""confidence"": 1.0, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""HIGH"", ""confidence"": 1.0, ""evidence"": ""\""title\"": \""<script>alert('XSS Successful!')</script>\"""", ""explanation"": ""The 'title' field in the GraphQL response contains the string '<script>alert('XSS Successful!')</script>'. This indicates that user-supplied input, when reflected in the response, was not properly sanitized or encoded. If this response is rendered directly in a web browser without proper escaping, it could lead to the execution of arbitrary JavaScript code, resulting in a Cross-Site Scripting (XSS) vulnerability. An attacker could exploit this to steal user cookies, deface the website, or redirect users to malicious sites.""}}]"
2025-10-05T20:18:56.550386,createTodo_response_4,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Server-Side Request Forgery (SSRF) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SSRF injection vulnerability detected - internal network access patterns found"", ""evidence"": ""Response status: 200, SSRF keywords detected in response""}]","[{""detection_name"": ""LLM: ssrf_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'title' field in the GraphQL response contains an internal IP address (169.254.169.254) which is commonly used to access AWS EC2 instance metadata. This indicates a potential Server-Side Request Forgery (SSRF) vulnerability. An attacker could have injected this URL, and the server processed it, displaying the internal resource in the response. This allows the attacker to potentially access sensitive internal information or interact with internal services."", ""evidence"": ""\""title\"": \""Check status of order from http://169.254.169.254/latest/meta-data/\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""ssrf_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""\""title\"": \""Check status of order from http://169.254.169.254/latest/meta-data/\"""", ""explanation"": ""The 'title' field in the GraphQL response contains an internal IP address (169.254.169.254) which is commonly used to access AWS EC2 instance metadata. This indicates a potential Server-Side Request Forgery (SSRF) vulnerability. An attacker could have injected this URL, and the server processed it, displaying the internal resource in the response. This allows the attacker to potentially access sensitive internal information or interact with internal services.""}}]"
2025-10-05T20:18:58.441124,createTodo_response_5,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T20:19:00.632400,createTodo_response_6,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""Path injection vulnerability detected - file system access patterns found"", ""evidence"": ""Response status: 200, Path injection patterns detected in response""}]","[{""detection_name"": ""LLM: Path Injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'title' field in the response contains 'Process file: ../../../etc/passwd'. This strongly suggests that a user-supplied input intended for the 'title' field was used to construct a file path, specifically attempting to traverse directories (../../../) to access a sensitive system file like /etc/passwd. This indicates a potential Path Injection vulnerability, where an attacker could manipulate the input to access or manipulate arbitrary files on the server's file system."", ""evidence"": ""title: \""Process file: ../../../etc/passwd\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Path Injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""title: \""Process file: ../../../etc/passwd\"""", ""explanation"": ""The 'title' field in the response contains 'Process file: ../../../etc/passwd'. This strongly suggests that a user-supplied input intended for the 'title' field was used to construct a file path, specifically attempting to traverse directories (../../../) to access a sensitive system file like /etc/passwd. This indicates a potential Path Injection vulnerability, where an attacker could manipulate the input to access or manipulate arbitrary files on the server's file system.""}}]"
2025-10-05T20:19:02.654781,createTodo_response_7,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,0,1,0,1.0,both_potential,Injection Attacks,,,"[{""detection_name"": ""HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""HTML injection vulnerability detected - HTML markup found in response"", ""evidence"": ""Response status: 200, HTML patterns detected in response data""}]","[{""detection_name"": ""LLM: HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The 'title' field in the GraphQL response contains unescaped HTML content (`<h1>Important Task</h1><p>This is a paragraph.</p>`). If this content is rendered directly by a client-side application without proper sanitization, it could lead to HTML injection. An attacker could potentially inject malicious HTML tags, including script tags (leading to XSS), or deface the rendered page, manipulating its structure and appearance. This is a clear indication that user-supplied input is not being properly sanitized before being returned in the response, creating a vulnerability for client-side rendering."", ""evidence"": ""'title': '<h1>Important Task</h1><p>This is a paragraph.</p>'"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""HTML Injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.9, ""evidence"": ""'title': '<h1>Important Task</h1><p>This is a paragraph.</p>'"", ""explanation"": ""The 'title' field in the GraphQL response contains unescaped HTML content (`<h1>Important Task</h1><p>This is a paragraph.</p>`). If this content is rendered directly by a client-side application without proper sanitization, it could lead to HTML injection. An attacker could potentially inject malicious HTML tags, including script tags (leading to XSS), or deface the rendered page, manipulating its structure and appearance. This is a clear indication that user-supplied input is not being properly sanitized before being returned in the response, creating a vulnerability for client-side rendering.""}}]"
2025-10-05T20:19:04.540775,createTodo_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T20:19:06.934150,createTodo_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T20:19:08.453111,createTodo_response_10,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T20:19:10.063995,createTodo_response_11,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
