timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-05T20:03:33.605586,updateAlbum_response_2,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T20:03:35.508412,updateAlbum_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response reflects the input string '<script>alert('XSS')</script>' directly into the 'title' field. If this value is subsequently rendered in a web browser without proper sanitization or encoding, it could lead to a Cross-Site Scripting (XSS) vulnerability. An attacker could inject malicious scripts through this field, potentially hijacking user sessions, defacing the website, or redirecting users to malicious sites."", ""evidence"": ""\""title\"": \""<script>alert('XSS')</script>\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""\""title\"": \""<script>alert('XSS')</script>\"""", ""explanation"": ""The GraphQL response reflects the input string '<script>alert('XSS')</script>' directly into the 'title' field. If this value is subsequently rendered in a web browser without proper sanitization or encoding, it could lead to a Cross-Site Scripting (XSS) vulnerability. An attacker could inject malicious scripts through this field, potentially hijacking user sessions, defacing the website, or redirecting users to malicious sites.""}}]"
2025-10-05T20:03:37.577938,updateAlbum_response_4,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Server-Side Request Forgery (SSRF) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SSRF injection vulnerability detected - internal network access patterns found"", ""evidence"": ""Response status: 200, SSRF keywords detected in response""}]","[{""detection_name"": ""LLM: ssrf_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response shows that the 'title' field within the 'updateAlbum' mutation has been successfully updated to a URL ('http://attacker.com/stealdata'). This indicates that the server processed a request to update this field with a URL. If the backend server subsequently attempts to visit or interact with this URL (e.g., to fetch metadata, validate the URL, or perform any other operation), it could lead to an SSRF vulnerability. An attacker could use this to force the server to make requests to internal network resources, local files, or other external services, potentially leading to information disclosure, port scanning, or even remote code execution depending on the server's configuration and network access."", ""evidence"": ""The 'title' field in the 'updateAlbum' mutation response contains a URL: 'http://attacker.com/stealdata'."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""ssrf_injection"", ""severity"": ""HIGH"", ""confidence"": 0.8, ""evidence"": ""The 'title' field in the 'updateAlbum' mutation response contains a URL: 'http://attacker.com/stealdata'."", ""explanation"": ""The GraphQL response shows that the 'title' field within the 'updateAlbum' mutation has been successfully updated to a URL ('http://attacker.com/stealdata'). This indicates that the server processed a request to update this field with a URL. If the backend server subsequently attempts to visit or interact with this URL (e.g., to fetch metadata, validate the URL, or perform any other operation), it could lead to an SSRF vulnerability. An attacker could use this to force the server to make requests to internal network resources, local files, or other external services, potentially leading to information disclosure, port scanning, or even remote code execution depending on the server's configuration and network access.""}}]"
2025-10-05T20:03:39.734912,updateAlbum_response_5,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: OS Command Injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'title' field in the GraphQL response contains the string \""; rm -rf /; \"". The presence of a semicolon (;) indicates command chaining, and 'rm -rf /' is a well-known, highly destructive Linux command used to recursively delete all files and directories from the root directory. If the backend system processes this 'title' value directly within a shell command without proper sanitization or escaping, it would lead to a catastrophic OS Command Injection vulnerability. The request successfully returned this injected string, suggesting that the input was accepted and potentially processed in a manner that could enable command execution. This is a severe security risk."", ""evidence"": ""title: \""; rm -rf /; \"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""OS Command Injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""title: \""; rm -rf /; \"""", ""explanation"": ""The 'title' field in the GraphQL response contains the string \""; rm -rf /; \"". The presence of a semicolon (;) indicates command chaining, and 'rm -rf /' is a well-known, highly destructive Linux command used to recursively delete all files and directories from the root directory. If the backend system processes this 'title' value directly within a shell command without proper sanitization or escaping, it would lead to a catastrophic OS Command Injection vulnerability. The request successfully returned this injected string, suggesting that the input was accepted and potentially processed in a manner that could enable command execution. This is a severe security risk.""}}]"
2025-10-05T20:03:41.492297,updateAlbum_response_6,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""Path injection vulnerability detected - file system access patterns found"", ""evidence"": ""Response status: 200, Path injection patterns detected in response""}]","[{""detection_name"": ""LLM: Path Injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response for the 'updateAlbum' mutation shows the 'title' field successfully reflecting the path traversal sequence '../../../etc/passwd'. This strongly indicates a Path Injection vulnerability, as an attacker could potentially manipulate file paths on the server's file system by providing directory traversal sequences in input fields. The successful reflection in the output suggests that the backend processing did not properly sanitize or validate the input, which is a common precursor to file system access, reading sensitive files like '/etc/passwd', or writing arbitrary files."", ""evidence"": ""\""title\"": \""../../../etc/passwd\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Path Injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""\""title\"": \""../../../etc/passwd\"""", ""explanation"": ""The GraphQL response for the 'updateAlbum' mutation shows the 'title' field successfully reflecting the path traversal sequence '../../../etc/passwd'. This strongly indicates a Path Injection vulnerability, as an attacker could potentially manipulate file paths on the server's file system by providing directory traversal sequences in input fields. The successful reflection in the output suggests that the backend processing did not properly sanitize or validate the input, which is a common precursor to file system access, reading sensitive files like '/etc/passwd', or writing arbitrary files.""}}]"
2025-10-05T20:03:43.388476,updateAlbum_response_7,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,0,1,0,1.0,both_potential,Injection Attacks,,,"[{""detection_name"": ""HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""HTML injection vulnerability detected - HTML markup found in response"", ""evidence"": ""Response status: 200, HTML patterns detected in response data""}]","[{""detection_name"": ""LLM: HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response clearly shows that the 'title' field, which is expected to hold a string, has been populated with raw HTML content `<h1>HTML Injection Test</h1>`. This indicates that the input provided by a user or attacker was not properly sanitized or escaped before being stored and reflected in the API response. If this 'title' is subsequently rendered in a web browser without proper escaping, it will lead to an HTML Injection vulnerability, potentially allowing an attacker to alter the appearance of the page, inject malicious scripts (leading to XSS), or deface the content."", ""evidence"": ""The 'title' field in the 'updateAlbum' object contains an unescaped '<h1>HTML Injection Test</h1>' tag."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""HTML Injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.9, ""evidence"": ""The 'title' field in the 'updateAlbum' object contains an unescaped '<h1>HTML Injection Test</h1>' tag."", ""explanation"": ""The GraphQL response clearly shows that the 'title' field, which is expected to hold a string, has been populated with raw HTML content `<h1>HTML Injection Test</h1>`. This indicates that the input provided by a user or attacker was not properly sanitized or escaped before being stored and reflected in the API response. If this 'title' is subsequently rendered in a web browser without proper escaping, it will lead to an HTML Injection vulnerability, potentially allowing an attacker to alter the appearance of the page, inject malicious scripts (leading to XSS), or deface the content.""}}]"
2025-10-05T20:03:45.089785,updateAlbum_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T20:03:47.356557,updateAlbum_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T20:03:49.133034,updateAlbum_response_10,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T20:03:50.764967,updateAlbum_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Injection Attacks,1,0,0,0,0,1,0.0,no_potential,,,,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""safe"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response explicitly suggests a valid field name ('title') when an incorrect one ('ttle') is provided. This behavior is a form of information disclosure, specifically a 'field_suggestions' vulnerability. It helps an attacker enumerate valid fields within the GraphQL schema even without proper introspection enabled, making it easier to craft legitimate queries and potentially discover sensitive data or functionality."", ""evidence"": ""message: \""Field \\\""ttle\\\"" is not defined by type \\\""UpdateAlbumInput\\\"". Did you mean \\\""title\\\""?\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""LOW"", ""confidence"": 0.9, ""evidence"": ""message: \""Field \\\""ttle\\\"" is not defined by type \\\""UpdateAlbumInput\\\"". Did you mean \\\""title\\\""?\"""", ""explanation"": ""The GraphQL response explicitly suggests a valid field name ('title') when an incorrect one ('ttle') is provided. This behavior is a form of information disclosure, specifically a 'field_suggestions' vulnerability. It helps an attacker enumerate valid fields within the GraphQL schema even without proper introspection enabled, making it easier to craft legitimate queries and potentially discover sensitive data or functionality.""}}]"
