timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-05T20:12:42.566554,updatePhoto_response_2,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T20:12:44.288111,updatePhoto_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response reflects the input '<script>alert('XSS')</script>' directly into the 'title' field. If this response is rendered in a web browser without proper sanitization or encoding, it will execute the embedded JavaScript, leading to a Cross-Site Scripting (XSS) vulnerability. This indicates that the server-side application is not adequately validating or sanitizing user-supplied data before returning it in the API response."", ""evidence"": ""'<script>alert('XSS')</script>' found in 'title' field within the response body."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""'<script>alert('XSS')</script>' found in 'title' field within the response body."", ""explanation"": ""The GraphQL response reflects the input '<script>alert('XSS')</script>' directly into the 'title' field. If this response is rendered in a web browser without proper sanitization or encoding, it will execute the embedded JavaScript, leading to a Cross-Site Scripting (XSS) vulnerability. This indicates that the server-side application is not adequately validating or sanitizing user-supplied data before returning it in the API response.""}}]"
2025-10-05T20:12:46.966328,updatePhoto_response_4,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Server-Side Request Forgery (SSRF) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SSRF injection vulnerability detected - internal network access patterns found"", ""evidence"": ""Response status: 200, SSRF keywords detected in response""}]","[{""detection_name"": ""LLM: ssrf_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The presence of 'http://169.254.169.254/latest/meta-data/' in the 'url' field is a strong indicator of an SSRF (Server-Side Request Forgery) vulnerability. This internal IP address is commonly used to access sensitive instance metadata on AWS EC2 instances. If an attacker can control the 'url' parameter to make the GraphQL API server fetch this internal resource, it means the server is making requests to an attacker-controlled internal address. This can lead to information disclosure of sensitive cloud instance credentials and other metadata. The successful inclusion of this internal URL in the response strongly suggests that the server processed and likely made a request to this internal endpoint as part of the 'updatePhoto' operation."", ""evidence"": ""The 'url' field in the 'updatePhoto' response contains 'http://169.254.169.254/latest/meta-data/'. This IP address (169.254.169.254) is a well-known AWS EC2 metadata service endpoint."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""ssrf_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""The 'url' field in the 'updatePhoto' response contains 'http://169.254.169.254/latest/meta-data/'. This IP address (169.254.169.254) is a well-known AWS EC2 metadata service endpoint."", ""explanation"": ""The presence of 'http://169.254.169.254/latest/meta-data/' in the 'url' field is a strong indicator of an SSRF (Server-Side Request Forgery) vulnerability. This internal IP address is commonly used to access sensitive instance metadata on AWS EC2 instances. If an attacker can control the 'url' parameter to make the GraphQL API server fetch this internal resource, it means the server is making requests to an attacker-controlled internal address. This can lead to information disclosure of sensitive cloud instance credentials and other metadata. The successful inclusion of this internal URL in the response strongly suggests that the server processed and likely made a request to this internal endpoint as part of the 'updatePhoto' operation.""}}]"
2025-10-05T20:12:48.413447,updatePhoto_response_5,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T20:12:51.045203,updatePhoto_response_6,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""Path injection vulnerability detected - file system access patterns found"", ""evidence"": ""Response status: 200, Path injection patterns detected in response""}]","[{""detection_name"": ""LLM: Path Injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'url' field in the 'updatePhoto' response contains a value 'https://example.com/../../../../../etc/passwd'. The '..' (dot-dot-slash) sequences are a classic indicator of a directory traversal attempt. While this specific URL is an external link, the server's acceptance and reflection of such a path manipulation within a URL field suggests that the application might not be properly validating or sanitizing user-supplied URLs. If this URL were to be used by a server-side component (e.g., to fetch image data, perform a redirect, or store a file path internally), it could lead to an SSRF vulnerability accessing local files like /etc/passwd, or even a local file inclusion/disclosure vulnerability if the application attempts to process this path on its own file system. The presence of '/etc/passwd' specifically points towards an attempt to access sensitive system files. This indicates a potential path injection vulnerability where an attacker could manipulate paths to access arbitrary files or resources on the server or internal network. By crafting a malicious URL with directory traversal sequences, an attacker might be able to read sensitive files, execute arbitrary commands, or even write files to arbitrary locations, depending on how this URL is processed by the backend."", ""evidence"": ""'url': 'https://example.com/../../../../../etc/passwd'"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Path Injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""'url': 'https://example.com/../../../../../etc/passwd'"", ""explanation"": ""The 'url' field in the 'updatePhoto' response contains a value 'https://example.com/../../../../../etc/passwd'. The '..' (dot-dot-slash) sequences are a classic indicator of a directory traversal attempt. While this specific URL is an external link, the server's acceptance and reflection of such a path manipulation within a URL field suggests that the application might not be properly validating or sanitizing user-supplied URLs. If this URL were to be used by a server-side component (e.g., to fetch image data, perform a redirect, or store a file path internally), it could lead to an SSRF vulnerability accessing local files like /etc/passwd, or even a local file inclusion/disclosure vulnerability if the application attempts to process this path on its own file system. The presence of '/etc/passwd' specifically points towards an attempt to access sensitive system files. This indicates a potential path injection vulnerability where an attacker could manipulate paths to access arbitrary files or resources on the server or internal network. By crafting a malicious URL with directory traversal sequences, an attacker might be able to read sensitive files, execute arbitrary commands, or even write files to arbitrary locations, depending on how this URL is processed by the backend.""}}]"
2025-10-05T20:12:52.873197,updatePhoto_response_7,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""HTML injection vulnerability detected - HTML markup found in response"", ""evidence"": ""Response status: 200, HTML patterns detected in response data""}]","[{""detection_name"": ""LLM: HTML Injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'title' field in the 'updatePhoto' response contains unescaped HTML content, specifically an H1 tag and an image tag with an onerror event handler. This indicates a clear HTML injection vulnerability. If this content is rendered directly by a web browser without proper sanitization, it could lead to Cross-Site Scripting (XSS) due to the onerror attribute, or at the very least, arbitrary HTML content being displayed, allowing an attacker to manipulate the page's structure and content."", ""evidence"": ""'title': '<h1>HTML Injection</h1><img src='x' onerror='alert(\""HTML\"")'>'"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""HTML Injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""'title': '<h1>HTML Injection</h1><img src='x' onerror='alert(\""HTML\"")'>'"", ""explanation"": ""The 'title' field in the 'updatePhoto' response contains unescaped HTML content, specifically an H1 tag and an image tag with an onerror event handler. This indicates a clear HTML injection vulnerability. If this content is rendered directly by a web browser without proper sanitization, it could lead to Cross-Site Scripting (XSS) due to the onerror attribute, or at the very least, arbitrary HTML content being displayed, allowing an attacker to manipulate the page's structure and content.""}}]"
2025-10-05T20:12:55.360733,updatePhoto_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T20:12:57.039459,updatePhoto_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T20:12:58.839986,updatePhoto_response_10,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T20:13:01.034528,updatePhoto_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Injection Attacks,1,0,0,0,0,1,0.0,no_potential,,,,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""safe"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response explicitly suggests a valid field name ('title') in response to a mistyped field ('tilte'). This behavior is known as 'field suggestion' and is a form of information disclosure. While not directly exploitable for critical attacks, it can aid attackers in mapping out the API schema, making subsequent attacks like reconnaissance or exploiting other vulnerabilities easier. This falls under Information Disclosure as it exposes valid schema details that an attacker might not otherwise know."", ""evidence"": ""Cannot query field \""tilte\"" on type \""Photo\"". Did you mean \""title\""?"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""LOW"", ""confidence"": 0.9, ""evidence"": ""Cannot query field \""tilte\"" on type \""Photo\"". Did you mean \""title\""?"", ""explanation"": ""The GraphQL response explicitly suggests a valid field name ('title') in response to a mistyped field ('tilte'). This behavior is known as 'field suggestion' and is a form of information disclosure. While not directly exploitable for critical attacks, it can aid attackers in mapping out the API schema, making subsequent attacks like reconnaissance or exploiting other vulnerabilities easier. This falls under Information Disclosure as it exposes valid schema details that an attacker might not otherwise know.""}}]"
