timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-05T01:54:01.970072,character_response_2,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""SQL Injection (SQLi) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SQL injection vulnerability detected - malicious SQL patterns found in response"", ""evidence"": ""Response status: 200, SQL patterns detected in response""}]","[{""detection_name"": ""LLM: sql_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response contains a SQL injection attempt in the URL parameter (1%27%20UNION%20SELECT...), which decodes to '1' UNION SELECT NULL,version(),...'. The presence of the database function version() in the payload and the subsequent Cast to Number error strongly suggest unsanitized user input is being passed to a SQL query. While the error itself doesn't expose direct database information, the server's attempt to process the malicious SQL syntax indicates insufficient input validation and potential vulnerability to SQL injection attacks."", ""evidence"": ""URL parameter contains SQL injection payload (1' UNION SELECT NULL,version(),...) and error indicates database function 'version()' was executed"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""sql_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""URL parameter contains SQL injection payload (1' UNION SELECT NULL,version(),...) and error indicates database function 'version()' was executed"", ""explanation"": ""The GraphQL response contains a SQL injection attempt in the URL parameter (1%27%20UNION%20SELECT...), which decodes to '1' UNION SELECT NULL,version(),...'. The presence of the database function version() in the payload and the subsequent Cast to Number error strongly suggest unsanitized user input is being passed to a SQL query. While the error itself doesn't expose direct database information, the server's attempt to process the malicious SQL syntax indicates insufficient input validation and potential vulnerability to SQL injection attacks.""}}]"
2025-10-05T01:54:20.225682,character_response_3,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T01:54:25.366124,character_response_4,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T01:54:44.009511,character_response_5,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T01:55:05.971881,character_response_6,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T01:55:30.440813,character_response_7,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: html_injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The error message shows a server-side attempt to cast an ID parameter containing HTML/CSS payload (1<div style=...>). This demonstrates: 1) Input containing HTML markup is accepted without proper validation/sanitization, 2) The injected content is reflected in the server's error response. While this specific instance resulted in a 500 error, the reflection of unfiltered HTML in server responses creates a potential vector for client-side HTML/CSS injection attacks if error messages are ever rendered unencoded in user-facing interfaces."", ""evidence"": ""Injected '<div style=\""position:fixed;...' HTML payload in ID parameter reflected in error message"", ""confidence"": 0.7, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""html_injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.7, ""evidence"": ""Injected '<div style=\""position:fixed;...' HTML payload in ID parameter reflected in error message"", ""explanation"": ""The error message shows a server-side attempt to cast an ID parameter containing HTML/CSS payload (1<div style=...>). This demonstrates: 1) Input containing HTML markup is accepted without proper validation/sanitization, 2) The injected content is reflected in the server's error response. While this specific instance resulted in a 500 error, the reflection of unfiltered HTML in server responses creates a potential vector for client-side HTML/CSS injection attacks if error messages are ever rendered unencoded in user-facing interfaces.""}}]"
2025-10-05T01:55:39.900516,character_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T01:55:57.083190,character_response_9,,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: SSRF (Server-Side Request Forgery)"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The error indicates the server attempted to connect to 'rickandmortyapi.com' on port 443 but timed out. This suggests the GraphQL backend is making external HTTP requests based on user input. If attackers can control the target host/URL parameter, this could enable SSRF by forcing the server to access internal systems or external malicious endpoints. While the timeout itself isn't direct exploitation evidence, the attempt to connect to an external domain implies potential SSRF risk if the host is user-controllable."", ""evidence"": ""HTTPSConnectionPool(host='rickandmortyapi.com', port=443): Read timed out. (read timeout=10)"", ""confidence"": 0.6, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""SSRF (Server-Side Request Forgery)"", ""severity"": ""MEDIUM"", ""confidence"": 0.6, ""evidence"": ""HTTPSConnectionPool(host='rickandmortyapi.com', port=443): Read timed out. (read timeout=10)"", ""explanation"": ""The error indicates the server attempted to connect to 'rickandmortyapi.com' on port 443 but timed out. This suggests the GraphQL backend is making external HTTP requests based on user input. If attackers can control the target host/URL parameter, this could enable SSRF by forcing the server to access internal systems or external malicious endpoints. While the timeout itself isn't direct exploitation evidence, the attempt to connect to an external domain implies potential SSRF risk if the host is user-controllable.""}}]"
2025-10-05T01:56:08.780533,character_response_10,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T01:56:15.334470,character_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Injection Attacks,1,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response exposes schema structure through field suggestions when invalid fields (nam, spicies, locashun) are requested. This constitutes information disclosure that could help attackers probe the API by revealing valid field names, potentially aiding in query crafting for unauthorized data access. While not a direct exploit, it increases the attack surface and should be disabled in production environments."", ""evidence"": ""Field suggestions ('name', 'species', 'location') revealed in error messages"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""MEDIUM"", ""confidence"": 0.9, ""evidence"": ""Field suggestions ('name', 'species', 'location') revealed in error messages"", ""explanation"": ""The GraphQL response exposes schema structure through field suggestions when invalid fields (nam, spicies, locashun) are requested. This constitutes information disclosure that could help attackers probe the API by revealing valid field names, potentially aiding in query crafting for unauthorized data access. While not a direct exploit, it increases the attack surface and should be disabled in production environments.""}}]"
