timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-01T16:52:49.170800,character_response_2,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""SQL Injection (SQLi) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SQL injection vulnerability detected - malicious SQL patterns found in response"", ""evidence"": ""Response status: 200, SQL patterns detected in response""}]","[{""detection_name"": ""LLM: SQL Injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response explicitly shows an attempt to inject SQL code through the URL parameter 'id' (represented by '1 OR 1=1 --'). The backend error message 'Cast to Number failed for value \""1 OR 1=1 --\"" at path \""id\"" for model \""Character\""' indicates that the SQL injection payload was received and processed on the backend, likely within a database query attempting to cast the injected string as a number. While direct data manipulation or exposure is not shown, the fact that the server attempted to process the SQL payload within the 'id' parameter strongly suggests a SQL Injection vulnerability. The 'url' in the extension also confirms that the injected string was part of the URL when the server-side request was made, further confirming the vulnerability."", ""evidence"": ""Value \""1 OR 1=1 --\"" at path \""id\"" for model \""Character\"" in the error message, 'url' in extension showing 'http://localhost:8080/api/character/1%20OR%201=1%20--'"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""SQL Injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""Value \""1 OR 1=1 --\"" at path \""id\"" for model \""Character\"" in the error message, 'url' in extension showing 'http://localhost:8080/api/character/1%20OR%201=1%20--'"", ""explanation"": ""The GraphQL response explicitly shows an attempt to inject SQL code through the URL parameter 'id' (represented by '1 OR 1=1 --'). The backend error message 'Cast to Number failed for value \""1 OR 1=1 --\"" at path \""id\"" for model \""Character\""' indicates that the SQL injection payload was received and processed on the backend, likely within a database query attempting to cast the injected string as a number. While direct data manipulation or exposure is not shown, the fact that the server attempted to process the SQL payload within the 'id' parameter strongly suggests a SQL Injection vulnerability. The 'url' in the extension also confirms that the injected string was part of the URL when the server-side request was made, further confirming the vulnerability.""}}]"
2025-10-01T16:52:50.957388,character_response_3,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-01T16:52:53.041060,character_response_4,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Server-Side Request Forgery (SSRF) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SSRF injection vulnerability detected - internal network access patterns found"", ""evidence"": ""Response status: 200, SSRF keywords detected in response""}]","[{""detection_name"": ""LLM: ssrf_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL error message includes an 'extensions' field that contains a 'response' object. Within this object, there is a 'url' field with the value 'https://attacker.com/malicious_data'. This indicates that the server attempted to make an outbound request to an attacker-controlled domain, 'attacker.com', reflecting the URL back in the error response. This is strong evidence of an SSRF vulnerability, as the server appears to be processing and potentially acting upon a URL provided in the input, which is then reflected."", ""evidence"": ""'url': 'https://attacker.com/malicious_data'"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""ssrf_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""'url': 'https://attacker.com/malicious_data'"", ""explanation"": ""The GraphQL error message includes an 'extensions' field that contains a 'response' object. Within this object, there is a 'url' field with the value 'https://attacker.com/malicious_data'. This indicates that the server attempted to make an outbound request to an attacker-controlled domain, 'attacker.com', reflecting the URL back in the error response. This is strong evidence of an SSRF vulnerability, as the server appears to be processing and potentially acting upon a URL provided in the input, which is then reflected.""}}]"
2025-10-01T16:52:55.291190,character_response_5,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-01T16:52:56.910147,character_response_6,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-01T16:52:58.290264,character_response_7,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-01T16:53:00.482751,character_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-01T16:53:02.384049,character_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-01T16:53:04.332946,character_response_10,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-01T16:53:06.692993,character_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Injection Attacks,1,0,0,0,0,1,0.0,no_potential,,,,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: Information Disclosure - Field Suggestions"", ""detection"": ""safe"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL API response explicitly suggests a valid field name ('name') after an incorrect field name ('nam') was provided in the query. This behavior, known as field suggestion, can be leveraged by an attacker to incrementally discover the schema of the GraphQL API. While not a direct exploit in itself, it significantly aids in reconnaissance, making it easier for an attacker to craft malicious queries or identify other potential vulnerabilities by understanding the available fields and types without proper authorization or documentation."", ""evidence"": ""Response message: \""Cannot query field \""nam\"" on type \""Character\"". Did you mean \""name\""?\"""", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure - Field Suggestions"", ""severity"": ""LOW"", ""confidence"": 0.8, ""evidence"": ""Response message: \""Cannot query field \""nam\"" on type \""Character\"". Did you mean \""name\""?\"""", ""explanation"": ""The GraphQL API response explicitly suggests a valid field name ('name') after an incorrect field name ('nam') was provided in the query. This behavior, known as field suggestion, can be leveraged by an attacker to incrementally discover the schema of the GraphQL API. While not a direct exploit in itself, it significantly aids in reconnaissance, making it easier for an attacker to craft malicious queries or identify other potential vulnerabilities by understanding the available fields and types without proper authorization or documentation.""}}]"
