timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-08T11:59:01.959222,getCurrency_response_1,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T11:59:17.023447,getCurrency_response_2,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T11:59:28.175623,getCurrency_response_3,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T11:59:39.563438,getCurrency_response_4,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T11:59:54.141492,getCurrency_response_5,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T12:00:11.203505,getCurrency_response_6,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T12:00:19.719687,getCurrency_response_7,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T12:00:37.432477,getCurrency_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T12:00:47.393402,getCurrency_response_9,200,1,1,0.0,both_detected,,Information Disclosure,Injection Attacks,1,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,"[{""detection_name"": ""Introspection Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""GraphQL introspection enabled - potential information disclosure"", ""evidence"": ""Found __schema in response data - introspection queries are allowed""}]","[{""detection_name"": ""LLM: GraphQL Introspection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The response contains a __schema object and a list of schema types (including introspection types like __Schema and __Type), which indicates GraphQL introspection is enabled and accessible. This allows an attacker to enumerate the API schema (types, queries, mutations, fields) and can facilitate targeted attacks, information disclosure, or automated tooling to discover sensitive fields/endpoints. Recommended mitigations: disable introspection in production or restrict it to authenticated/privileged users, implement strict authentication/authorization checks for schema endpoints, and apply rate limiting and monitoring to detect enumeration attempts."", ""evidence"": ""\""__schema\"": { \""types\"": [ { \""name\"": \""Query\"" }, { \""name\"": \""__Schema\"" }, { \""name\"": \""__Type\"" }, { \""name\"": \""__TypeKind\"" }, ... ] }"", ""confidence"": 0.92, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""GraphQL Introspection"", ""severity"": ""MEDIUM"", ""confidence"": 0.92, ""evidence"": ""\""__schema\"": { \""types\"": [ { \""name\"": \""Query\"" }, { \""name\"": \""__Schema\"" }, { \""name\"": \""__Type\"" }, { \""name\"": \""__TypeKind\"" }, ... ] }"", ""explanation"": ""The response contains a __schema object and a list of schema types (including introspection types like __Schema and __Type), which indicates GraphQL introspection is enabled and accessible. This allows an attacker to enumerate the API schema (types, queries, mutations, fields) and can facilitate targeted attacks, information disclosure, or automated tooling to discover sensitive fields/endpoints. Recommended mitigations: disable introspection in production or restrict it to authenticated/privileged users, implement strict authentication/authorization checks for schema endpoints, and apply rate limiting and monitoring to detect enumeration attempts.""}}]"
2025-10-08T12:01:02.128834,getCurrency_response_10,400,1,1,0.0,both_detected,,Information Disclosure,Unknown,1,0,0,0,0,1,0.0,no_potential,,,,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: field_suggestions"", ""detection"": ""safe"", ""category"": ""Unknown"", ""description"": ""The GraphQL error responses include auto-correct suggestions showing actual field names from the schema (e.g., 'abbreviation', 'rate'). This is explicit schema information disclosure (field suggestions) that can help an attacker enumerate valid fields or craft more targeted queries, especially if introspection is disabled. While not a direct code-injection or privilege bypass, it is an information disclosure risk that aids reconnaissance. Recommended mitigation: suppress detailed suggestion text in production error messages, return generic validation errors, or configure the GraphQL server to avoid leaking schema hints."", ""evidence"": ""Error messages: \""Cannot query field \\\""abbrevation\\\"" on type \\\""Currency\\\"". Did you mean \\\""abbreviation\\\""?\"" and \""Cannot query field \\\""rat\\\"" on type \\\""Currency\\\"". Did you mean \\\""rate\\\""?\"""", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""field_suggestions"", ""severity"": ""LOW"", ""confidence"": 0.95, ""evidence"": ""Error messages: \""Cannot query field \\\""abbrevation\\\"" on type \\\""Currency\\\"". Did you mean \\\""abbreviation\\\""?\"" and \""Cannot query field \\\""rat\\\"" on type \\\""Currency\\\"". Did you mean \\\""rate\\\""?\"""", ""explanation"": ""The GraphQL error responses include auto-correct suggestions showing actual field names from the schema (e.g., 'abbreviation', 'rate'). This is explicit schema information disclosure (field suggestions) that can help an attacker enumerate valid fields or craft more targeted queries, especially if introspection is disabled. While not a direct code-injection or privilege bypass, it is an information disclosure risk that aids reconnaissance. Recommended mitigation: suppress detailed suggestion text in production error messages, return generic validation errors, or configure the GraphQL server to avoid leaking schema hints.""}}]"
