timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-08T11:54:37.776469,getLocation_response_1,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T11:54:51.077299,getLocation_response_2,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T11:55:04.271759,getLocation_response_3,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T11:55:15.686350,getLocation_response_4,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T11:55:27.239888,getLocation_response_5,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T11:55:45.634290,getLocation_response_6,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T11:55:58.087065,getLocation_response_7,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T11:56:07.805691,getLocation_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T11:56:24.015735,getLocation_response_9,200,1,1,0.0,both_detected,,Information Disclosure,Injection Attacks,1,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,"[{""detection_name"": ""Introspection Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""GraphQL introspection enabled - potential information disclosure"", ""evidence"": ""Found __schema in response data - introspection queries are allowed""}]","[{""detection_name"": ""LLM: GraphQL Introspection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The response contains a top-level \""__schema\"" object and GraphQL introspection types (e.g. __Schema, __Type) with a full list of types and Query/Mutation field names. This is direct evidence that GraphQL introspection is enabled and returns schema metadata. Exposed schema details (queries, mutations, object fields such as createUser/deleteWallet/getTransactions, and types like User/Wallet/Transaction) allow an attacker to enumerate available operations, input/output shapes, and potentially identify sensitive operations or attack surfaces to target (e.g. mutation names, ID/fields to try injection or access control abuse). By itself this is an information disclosure issue; it increases attack surface and can facilitate further exploits. Recommended mitigations: disable introspection in production or restrict it to authenticated/privileged users, enforce strict authorization per-field/resolver, and apply query complexity/depth limits and monitoring."", ""evidence"": ""\""__schema\"": { \""types\"": [ { \""name\"": \""Query\"", \""fields\"": [ { \""name\"": \""getUser\"" }, { \""name\"": \""getTransaction\"" }, ... ] }, ... , { \""name\"": \""__Schema\"" }, { \""name\"": \""__Type\"" } ] }"", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""GraphQL Introspection"", ""severity"": ""MEDIUM"", ""confidence"": 0.95, ""evidence"": ""\""__schema\"": { \""types\"": [ { \""name\"": \""Query\"", \""fields\"": [ { \""name\"": \""getUser\"" }, { \""name\"": \""getTransaction\"" }, ... ] }, ... , { \""name\"": \""__Schema\"" }, { \""name\"": \""__Type\"" } ] }"", ""explanation"": ""The response contains a top-level \""__schema\"" object and GraphQL introspection types (e.g. __Schema, __Type) with a full list of types and Query/Mutation field names. This is direct evidence that GraphQL introspection is enabled and returns schema metadata. Exposed schema details (queries, mutations, object fields such as createUser/deleteWallet/getTransactions, and types like User/Wallet/Transaction) allow an attacker to enumerate available operations, input/output shapes, and potentially identify sensitive operations or attack surfaces to target (e.g. mutation names, ID/fields to try injection or access control abuse). By itself this is an information disclosure issue; it increases attack surface and can facilitate further exploits. Recommended mitigations: disable introspection in production or restrict it to authenticated/privileged users, enforce strict authorization per-field/resolver, and apply query complexity/depth limits and monitoring.""}}]"
2025-10-08T11:56:40.138220,getLocation_response_10,400,1,1,0.0,both_detected,,Information Disclosure,Unknown,1,0,0,0,1,0,0.0,llm_potential_only,,,Unknown,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: field_suggestions"", ""detection"": ""potential"", ""category"": ""Unknown"", ""description"": ""The GraphQL response returns helpful 'Did you mean ...?' suggestions revealing actual schema field names (name, lat, lng). This is an information disclosure vulnerability (field_suggestions) because it leaks valid field names to unauthenticated clients, enabling schema enumeration and making targeted attacks or reconnaissance easier. The presence of full stacktraces and filesystem paths in the error extensions increases the information leakage. Recommended mitigations: disable or suppress suggestion messages in production (configure GraphQL server to not include suggestion text), avoid returning raw stacktraces or internal file paths to clients, and enable production error formatting (e.g., custom formatError) or set debug=false."", ""evidence"": ""Error messages: \""Cannot query field \\\""nme\\\"" on type \\\""Location\\\"". Did you mean \\\""name\\\""?\"", \""Cannot query field \\\""latt\\\"" on type \\\""Location\\\"". Did you mean \\\""lat\\\""?\"", \""Cannot query field \\\""lngg\\\"" on type \\\""Location\\\"". Did you mean \\\""lng\\\""?\"" \u2014 plus full stacktraces revealing server file paths."", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""field_suggestions"", ""severity"": ""MEDIUM"", ""confidence"": 0.95, ""evidence"": ""Error messages: \""Cannot query field \\\""nme\\\"" on type \\\""Location\\\"". Did you mean \\\""name\\\""?\"", \""Cannot query field \\\""latt\\\"" on type \\\""Location\\\"". Did you mean \\\""lat\\\""?\"", \""Cannot query field \\\""lngg\\\"" on type \\\""Location\\\"". Did you mean \\\""lng\\\""?\"" \u2014 plus full stacktraces revealing server file paths."", ""explanation"": ""The GraphQL response returns helpful 'Did you mean ...?' suggestions revealing actual schema field names (name, lat, lng). This is an information disclosure vulnerability (field_suggestions) because it leaks valid field names to unauthenticated clients, enabling schema enumeration and making targeted attacks or reconnaissance easier. The presence of full stacktraces and filesystem paths in the error extensions increases the information leakage. Recommended mitigations: disable or suppress suggestion messages in production (configure GraphQL server to not include suggestion text), avoid returning raw stacktraces or internal file paths to clients, and enable production error formatting (e.g., custom formatError) or set debug=false.""}}]"
