timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-08T20:00:37.839842,updateTransaction_response_2,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""SQL Injection (SQLi) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SQL injection vulnerability detected - malicious SQL patterns found in response"", ""evidence"": ""Response status: 200, SQL patterns detected in response""}]","[{""detection_name"": ""LLM: sql_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response includes a user-provided payload (`UNION SELECT * FROM transactions--`) in the description field, which is a classic SQL injection pattern. The single quote (`'`) and `UNION SELECT` suggest an attempt to manipulate a SQL query, while `--` is a SQL comment used to truncate the original query. While no explicit error or data exposure is shown, the successful persistence of this payload (200 status code) indicates potential insufficient input sanitization. This could allow attackers to execute arbitrary SQL commands if the backend directly interpolates user input into queries."", ""evidence"": ""Description field contains 'Legit' UNION SELECT * FROM transactions--'"", ""confidence"": 0.7, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""sql_injection"", ""severity"": ""HIGH"", ""confidence"": 0.7, ""evidence"": ""Description field contains 'Legit' UNION SELECT * FROM transactions--'"", ""explanation"": ""The response includes a user-provided payload (`UNION SELECT * FROM transactions--`) in the description field, which is a classic SQL injection pattern. The single quote (`'`) and `UNION SELECT` suggest an attempt to manipulate a SQL query, while `--` is a SQL comment used to truncate the original query. While no explicit error or data exposure is shown, the successful persistence of this payload (200 status code) indicates potential insufficient input sanitization. This could allow attackers to execute arbitrary SQL commands if the backend directly interpolates user input into queries.""}}]"
2025-10-08T20:00:50.990728,updateTransaction_response_3,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T20:01:27.443842,updateTransaction_response_4,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Server-Side Request Forgery (SSRF) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SSRF injection vulnerability detected - internal network access patterns found"", ""evidence"": ""Response status: 200, SSRF keywords detected in response""}]","[{""detection_name"": ""LLM: ssrf_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response contains a reference to the AWS metadata endpoint (169.254.169.254), which is a strong indicator of potential SSRF. This IP address is restricted to cloud instance metadata services and should never be accessible via user-controlled input. The presence of this URL in a GraphQL mutation output suggests the server may have processed or accepted a request to an internal network endpoint, demonstrating insufficient input validation and potential SSRF vulnerability."", ""evidence"": ""http://169.254.169.254/latest/meta-data/ in description field"", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""ssrf_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.8, ""evidence"": ""http://169.254.169.254/latest/meta-data/ in description field"", ""explanation"": ""The response contains a reference to the AWS metadata endpoint (169.254.169.254), which is a strong indicator of potential SSRF. This IP address is restricted to cloud instance metadata services and should never be accessible via user-controlled input. The presence of this URL in a GraphQL mutation output suggests the server may have processed or accepted a request to an internal network endpoint, demonstrating insufficient input validation and potential SSRF vulnerability.""}}]"
2025-10-08T20:01:52.262198,updateTransaction_response_5,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: os_command_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response contains a 'description' field with a payload indicating shell command injection: '$(nc -nv 127.0.0.1 4444)' uses Unix command substitution syntax to execute netcat (nc) attempting a network connection to localhost port 4444. The $(...) syntax is a common shell injection pattern, suggesting the input was accepted without proper sanitization and potentially executed server-side via a system shell. This behavior matches OS command injection characteristics."", ""evidence"": ""\""description\"": \""valid; $(nc -nv 127.0.0.1 4444)\"""", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""os_command_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.95, ""evidence"": ""\""description\"": \""valid; $(nc -nv 127.0.0.1 4444)\"""", ""explanation"": ""The response contains a 'description' field with a payload indicating shell command injection: '$(nc -nv 127.0.0.1 4444)' uses Unix command substitution syntax to execute netcat (nc) attempting a network connection to localhost port 4444. The $(...) syntax is a common shell injection pattern, suggesting the input was accepted without proper sanitization and potentially executed server-side via a system shell. This behavior matches OS command injection characteristics.""}}]"
2025-10-08T20:02:14.761910,updateTransaction_response_6,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""Path injection vulnerability detected - file system access patterns found"", ""evidence"": ""Response status: 200, Path injection patterns detected in response""}]","[{""detection_name"": ""LLM: path_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The mutation response reflects a directory traversal payload ('../../../../etc/passwd') in a transaction description field. This indicates the server accepted unsanitized user input that could be leveraged to manipulate file system paths. While no direct file access is shown in the response, successful storage/processing of this payload suggests insufficient path validation in backend operations using this field, creating a plausible vector for path traversal attacks targeting sensitive system files."", ""evidence"": ""description field contains '../../../../etc/passwd' payload in mutation response"", ""confidence"": 0.85, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""path_injection"", ""severity"": ""HIGH"", ""confidence"": 0.85, ""evidence"": ""description field contains '../../../../etc/passwd' payload in mutation response"", ""explanation"": ""The mutation response reflects a directory traversal payload ('../../../../etc/passwd') in a transaction description field. This indicates the server accepted unsanitized user input that could be leveraged to manipulate file system paths. While no direct file access is shown in the response, successful storage/processing of this payload suggests insufficient path validation in backend operations using this field, creating a plausible vector for path traversal attacks targeting sensitive system files.""}}]"
2025-10-08T20:02:42.961139,updateTransaction_response_7,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: HTML Injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response contains unsanitized HTML content (`<iframe src='javascript:alert(1)'>`) in the `description` field. This indicates user-supplied HTML is stored/reflected without proper sanitization. If rendered in a browser without output encoding, it could execute arbitrary JavaScript (XSS) or inject malicious HTML elements. While this payload targets XSS, the presence of raw HTML tags in the response directly demonstrates HTML injection capability."", ""evidence"": ""description: \""<iframe src='javascript:alert(1)'>\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""HTML Injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""description: \""<iframe src='javascript:alert(1)'>\"""", ""explanation"": ""The response contains unsanitized HTML content (`<iframe src='javascript:alert(1)'>`) in the `description` field. This indicates user-supplied HTML is stored/reflected without proper sanitization. If rendered in a browser without output encoding, it could execute arbitrary JavaScript (XSS) or inject malicious HTML elements. While this payload targets XSS, the presence of raw HTML tags in the response directly demonstrates HTML injection capability.""}}]"
2025-10-08T20:03:14.707060,updateTransaction_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T20:03:37.711713,updateTransaction_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-08T20:04:49.443911,updateTransaction_response_10,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The server's error response includes suggestions for valid fields ('getTransaction', 'getTransactions') when an invalid field is queried. This reveals details about the schema structure, aiding attackers in mapping the API and crafting targeted attacks. While not a direct introspection endpoint exposure, it constitutes an information leak that could facilitate further exploitation."", ""evidence"": ""Error message suggests valid schema fields: 'getTransaction' or 'getTransactions'"", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""Error message suggests valid schema fields: 'getTransaction' or 'getTransactions'"", ""explanation"": ""The server's error response includes suggestions for valid fields ('getTransaction', 'getTransactions') when an invalid field is queried. This reveals details about the schema structure, aiding attackers in mapping the API and crafting targeted attacks. While not a direct introspection endpoint exposure, it constitutes an information leak that could facilitate further exploitation.""}}]"
2025-10-08T20:05:00.685731,updateTransaction_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Unknown,1,0,0,0,1,0,0.0,llm_potential_only,,,Unknown,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: field_suggestions"", ""detection"": ""potential"", ""category"": ""Unknown"", ""description"": ""The GraphQL response contains explicit field suggestions in error messages ('Did you mean...'), which exposes valid schema field names. This constitutes an information disclosure vulnerability where attackers can use these suggestions to enumerate valid fields and refine attacks. While common in development environments, this behavior in production could aid attackers in schema reconnaissance."", ""evidence"": ""Multiple 'Did you mean' suggestions in error messages (e.g., 'transactionID', 'id', 'amount')"", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""field_suggestions"", ""severity"": ""MEDIUM"", ""confidence"": 0.95, ""evidence"": ""Multiple 'Did you mean' suggestions in error messages (e.g., 'transactionID', 'id', 'amount')"", ""explanation"": ""The GraphQL response contains explicit field suggestions in error messages ('Did you mean...'), which exposes valid schema field names. This constitutes an information disclosure vulnerability where attackers can use these suggestions to enumerate valid fields and refine attacks. While common in development environments, this behavior in production could aid attackers in schema reconnaissance.""}}]"
