timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-05T20:37:52.832609,createLocation_response_2,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T20:37:54.191033,createLocation_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'name' field in the 'createLocation' response reflects the input '<script>alert('XSS')</script>' directly without proper sanitization. If this value is subsequently rendered in a web browser without HTML encoding, it would lead to a Cross-Site Scripting (XSS) vulnerability, allowing an attacker to execute arbitrary client-side scripts."", ""evidence"": ""\""name\"": \""<script>alert('XSS')</script>\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""\""name\"": \""<script>alert('XSS')</script>\"""", ""explanation"": ""The 'name' field in the 'createLocation' response reflects the input '<script>alert('XSS')</script>' directly without proper sanitization. If this value is subsequently rendered in a web browser without HTML encoding, it would lead to a Cross-Site Scripting (XSS) vulnerability, allowing an attacker to execute arbitrary client-side scripts.""}}]"
2025-10-05T20:37:56.398096,createLocation_response_4,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Server-Side Request Forgery (SSRF) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""SSRF injection vulnerability detected - internal network access patterns found"", ""evidence"": ""Response status: 200, SSRF keywords detected in response""}]","[{""detection_name"": ""LLM: ssrf_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'name' field in the GraphQL response contains 'http://169.254.169.254/latest/meta-data/'. This URL is a known endpoint for EC2 instance metadata, which typically is only accessible from within the instance itself. The fact that this internal IP address and path are reflected in the 'name' field strongly suggests that the application is either directly processing user-supplied input as a URL or is making server-side requests to a user-controlled value without proper validation. This is a classic indicator of a Server-Side Request Forgery (SSRF) vulnerability. An attacker could potentially manipulate this input to access other internal resources, scan internal networks, or retrieve sensitive cloud metadata."", ""evidence"": ""name: \""http://169.254.169.254/latest/meta-data/\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""ssrf_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""name: \""http://169.254.169.254/latest/meta-data/\"""", ""explanation"": ""The 'name' field in the GraphQL response contains 'http://169.254.169.254/latest/meta-data/'. This URL is a known endpoint for EC2 instance metadata, which typically is only accessible from within the instance itself. The fact that this internal IP address and path are reflected in the 'name' field strongly suggests that the application is either directly processing user-supplied input as a URL or is making server-side requests to a user-controlled value without proper validation. This is a classic indicator of a Server-Side Request Forgery (SSRF) vulnerability. An attacker could potentially manipulate this input to access other internal resources, scan internal networks, or retrieve sensitive cloud metadata.""}}]"
2025-10-05T20:37:58.017965,createLocation_response_5,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T20:38:00.014868,createLocation_response_6,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Path Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""Path injection vulnerability detected - file system access patterns found"", ""evidence"": ""Response status: 200, Path injection patterns detected in response""}]","[{""detection_name"": ""LLM: Path Injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'name' field in the 'createLocation' mutation response contains the string '../../etc/passwd'. This strongly suggests that the application is not properly sanitizing or validating user input, potentially allowing an attacker to inject arbitrary paths. If this 'name' is later used in server-side operations that involve file system access (e.g., creating files, accessing logs, or constructing file paths for other operations), it could lead to directory traversal, allowing the attacker to access or manipulate sensitive files outside the intended directory, such as the system's password file. This is a clear indicator of a Path Injection vulnerability."", ""evidence"": ""'name': '../../etc/passwd'"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Path Injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""'name': '../../etc/passwd'"", ""explanation"": ""The 'name' field in the 'createLocation' mutation response contains the string '../../etc/passwd'. This strongly suggests that the application is not properly sanitizing or validating user input, potentially allowing an attacker to inject arbitrary paths. If this 'name' is later used in server-side operations that involve file system access (e.g., creating files, accessing logs, or constructing file paths for other operations), it could lead to directory traversal, allowing the attacker to access or manipulate sensitive files outside the intended directory, such as the system's password file. This is a clear indicator of a Path Injection vulnerability.""}}]"
2025-10-05T20:38:01.566291,createLocation_response_7,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""HTML injection vulnerability detected - HTML markup found in response"", ""evidence"": ""Response status: 200, HTML patterns detected in response data""}]","[{""detection_name"": ""LLM: HTML Injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'name' field in the 'createLocation' mutation response reflects the input '<h1>Hello, World!</h1>' directly without proper sanitization. This indicates HTML injection vulnerability, where an attacker could inject arbitrary HTML content. If this output is rendered in a web browser without encoding, it could lead to Cross-Site Scripting (XSS) or defacement."", ""evidence"": ""'name': '<h1>Hello, World!</h1>'"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""HTML Injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""'name': '<h1>Hello, World!</h1>'"", ""explanation"": ""The 'name' field in the 'createLocation' mutation response reflects the input '<h1>Hello, World!</h1>' directly without proper sanitization. This indicates HTML injection vulnerability, where an attacker could inject arbitrary HTML content. If this output is rendered in a web browser without encoding, it could lead to Cross-Site Scripting (XSS) or defacement.""}}]"
2025-10-05T20:38:03.967270,createLocation_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T20:38:05.926437,createLocation_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T20:38:07.911318,createLocation_response_10,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,0,1,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""safe"", ""category"": ""Injection Attacks"", ""description"": ""The error message explicitly suggests existing fields ('getLocation', 'getLocations') when an invalid field ('createLocation') is queried on the 'Query' type. This is a characteristic sign of information disclosure related to GraphQL introspection. While not a full schema dump, it helps an attacker understand the available operations, aiding in crafting further queries and potentially discovering other vulnerabilities. This specific behavior is often a side effect of GraphQL's introspection capabilities, even when full introspection queries are disabled, providing hints about the API's structure."", ""evidence"": ""\""Cannot query field \\\""createLocation\\\"" on type \\\""Query\\\"". Did you mean \\\""getLocation\\\"" or \\\""getLocations\\\""?\"""", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""LOW"", ""confidence"": 0.8, ""evidence"": ""\""Cannot query field \\\""createLocation\\\"" on type \\\""Query\\\"". Did you mean \\\""getLocation\\\"" or \\\""getLocations\\\""?\"""", ""explanation"": ""The error message explicitly suggests existing fields ('getLocation', 'getLocations') when an invalid field ('createLocation') is queried on the 'Query' type. This is a characteristic sign of information disclosure related to GraphQL introspection. While not a full schema dump, it helps an attacker understand the available operations, aiding in crafting further queries and potentially discovering other vulnerabilities. This specific behavior is often a side effect of GraphQL's introspection capabilities, even when full introspection queries are disabled, providing hints about the API's structure.""}}]"
2025-10-05T20:38:09.579634,createLocation_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Injection Attacks,1,0,0,0,0,1,0.0,no_potential,,,,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""safe"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response explicitly suggests alternative valid fields ('getLocation' or 'getLocations') when an invalid field ('createLocation') is queried. This behavior, known as 'field suggestion', leaks information about the available schema fields which could be used by an attacker to map out the API's structure without prior authorization or knowledge. This is a common form of information disclosure in GraphQL APIs."", ""evidence"": ""'Cannot query field \""createLocation\"" on type \""Query\"". Did you mean \""getLocation\"" or \""getLocations\""?'"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""LOW"", ""confidence"": 0.9, ""evidence"": ""'Cannot query field \""createLocation\"" on type \""Query\"". Did you mean \""getLocation\"" or \""getLocations\""?'"", ""explanation"": ""The GraphQL response explicitly suggests alternative valid fields ('getLocation' or 'getLocations') when an invalid field ('createLocation') is queried. This behavior, known as 'field suggestion', leaks information about the available schema fields which could be used by an attacker to map out the API's structure without prior authorization or knowledge. This is a common form of information disclosure in GraphQL APIs.""}}]"
