timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-05T21:44:51.655973,updateUser_response_2,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T21:44:53.060021,updateUser_response_3,200,1,1,1.0,both_detected,Injection Attacks,,,0,1,0,1,0,0,0.0,simple_potential_only,,Injection Attacks,,"[{""detection_name"": ""Cross-Site Scripting (XSS) Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""XSS injection vulnerability detected - malicious script patterns found in response"", ""evidence"": ""Response status: 200, XSS patterns detected in response data""}]","[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'description' field in the updateUser response body reflects the input '<script>alert('XSS')</script>' directly. This indicates that the server is not properly sanitizing or encoding user-supplied input before returning it in the GraphQL response. If this 'description' field is subsequently rendered in a web browser without proper encoding, it will execute the injected script, leading to a Cross-Site Scripting (XSS) vulnerability. An attacker could use this to steal user cookies, deface the website, or redirect users to malicious sites."", ""evidence"": ""<script>alert('XSS')</script>"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""HIGH"", ""confidence"": 0.9, ""evidence"": ""<script>alert('XSS')</script>"", ""explanation"": ""The 'description' field in the updateUser response body reflects the input '<script>alert('XSS')</script>' directly. This indicates that the server is not properly sanitizing or encoding user-supplied input before returning it in the GraphQL response. If this 'description' field is subsequently rendered in a web browser without proper encoding, it will execute the injected script, leading to a Cross-Site Scripting (XSS) vulnerability. An attacker could use this to steal user cookies, deface the website, or redirect users to malicious sites.""}}]"
2025-10-05T21:44:54.351165,updateUser_response_4,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T21:44:56.277405,updateUser_response_5,200,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: os_command_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The 'description' field in the updateUser mutation response contains the string '; cat /etc/passwd'. This strongly suggests that the input for the 'description' field was not properly sanitized and was likely processed by a system command execution function. The semicolon (;) is a common command separator in many shells, which would allow the 'cat /etc/passwd' command to be executed after a legitimate command. If this command executed on the server, it would indicate a successful OS Command Injection, leading to sensitive information disclosure (e.g., /etc/passwd contents), or potentially remote code execution."", ""evidence"": ""\""description\"": \""; cat /etc/passwd\"""", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""os_command_injection"", ""severity"": ""CRITICAL"", ""confidence"": 0.8, ""evidence"": ""\""description\"": \""; cat /etc/passwd\"""", ""explanation"": ""The 'description' field in the updateUser mutation response contains the string '; cat /etc/passwd'. This strongly suggests that the input for the 'description' field was not properly sanitized and was likely processed by a system command execution function. The semicolon (;) is a common command separator in many shells, which would allow the 'cat /etc/passwd' command to be executed after a legitimate command. If this command executed on the server, it would indicate a successful OS Command Injection, leading to sensitive information disclosure (e.g., /etc/passwd contents), or potentially remote code execution.""}}]"
2025-10-05T21:44:57.631083,updateUser_response_6,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T21:44:58.999313,updateUser_response_7,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T21:45:02.028298,updateUser_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T21:45:04.346964,updateUser_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T21:45:06.642649,updateUser_response_10,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-05T21:45:08.333579,updateUser_response_11,400,1,1,0.0,both_detected,,Information Disclosure,Injection Attacks,1,0,0,0,0,1,0.0,no_potential,,,,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""safe"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response explicitly suggests correct field names ('firstName' or 'lastName') in the error message when an misspelled field ('fistName') is provided. This behavior, known as 'field suggestion' or 'schema introspection', can be used by an attacker to incrementally discover valid field names and the structure of the GraphQL schema without proper authorization. While not a direct exploit, it aids in reconnaissance and can facilitate more sophisticated attacks by revealing the API's internal structure."", ""evidence"": ""message: \""Cannot query field \""fistName\"" on type \""User\"". Did you mean \""firstName\"" or \""lastName\""?\"""", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""LOW"", ""confidence"": 0.9, ""evidence"": ""message: \""Cannot query field \""fistName\"" on type \""User\"". Did you mean \""firstName\"" or \""lastName\""?\"""", ""explanation"": ""The GraphQL response explicitly suggests correct field names ('firstName' or 'lastName') in the error message when an misspelled field ('fistName') is provided. This behavior, known as 'field suggestion' or 'schema introspection', can be used by an attacker to incrementally discover valid field names and the structure of the GraphQL schema without proper authorization. While not a direct exploit, it aids in reconnaissance and can facilitate more sophisticated attacks by revealing the API's internal structure.""}}]"
