timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-09-29T02:14:43.321975,updateLocation_response_1,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: sql_injection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL validation error messages indicate that the variables $lat, $lng, and $name are being used in the updateLocation operation, but are not being used. This suggests that the variables are being passed to a SQL query, and an attacker may be able to inject malicious queries by manipulating these variables. This vulnerability can allow an attacker to extract or modify sensitive data, making it a HIGH-severity risk."", ""evidence"": ""The error messages suggest that the GraphQL API is vulnerable to SQL injection due to unresolved variables ($lat, $lng, $name) being used in the updateLocation operation. This can potentially allow an attacker to inject malicious SQL queries."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""sql_injection"", ""severity"": ""HIGH"", ""confidence"": 0.8, ""evidence"": ""The error messages suggest that the GraphQL API is vulnerable to SQL injection due to unresolved variables ($lat, $lng, $name) being used in the updateLocation operation. This can potentially allow an attacker to inject malicious SQL queries."", ""explanation"": ""The GraphQL validation error messages indicate that the variables $lat, $lng, and $name are being used in the updateLocation operation, but are not being used. This suggests that the variables are being passed to a SQL query, and an attacker may be able to inject malicious queries by manipulating these variables. This vulnerability can allow an attacker to extract or modify sensitive data, making it a HIGH-severity risk.""}}]"
2025-09-29T02:15:02.991373,updateLocation_response_2,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-29T02:15:06.273328,updateLocation_response_3,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: SSRF (Server-Side Request Forgery)"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The response indicates that the GraphQL operation has access to internal operations such as \""updateLocation\"" which could lead to SSRF attacks if not handled properly. This is a medium severity vulnerability since it can lead to sensitive data exposure or internal network access if an attacker can manipulate the input variables."", ""evidence"": ""The error messages in the response indicate that there is an internal operation \""updateLocation\"" which could potentially allow for SSRF attack."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""SSRF (Server-Side Request Forgery)"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""The error messages in the response indicate that there is an internal operation \""updateLocation\"" which could potentially allow for SSRF attack."", ""explanation"": ""The response indicates that the GraphQL operation has access to internal operations such as \""updateLocation\"" which could lead to SSRF attacks if not handled properly. This is a medium severity vulnerability since it can lead to sensitive data exposure or internal network access if an attacker can manipulate the input variables.""}}]"
2025-09-29T02:15:09.051140,updateLocation_response_4,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-29T02:15:11.833265,updateLocation_response_5,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-29T02:15:14.913549,updateLocation_response_6,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response indicates that the \""$lat\"", \""$lng$, and \""$name\"" variables are unused in the \""updateLocation\"" operation, but the actual vulnerability is not related to unused variables but rather the possibility of variable injection. The \""leave\"" field in the stacktrace suggests that the variables are being set but not properly sanitized or validated."", ""evidence"": ""GraphQL response contains an error message that implies an unknown operation \""updateLocation\"" has variables \""$lat$, \""$lng$, and \""$name\"" but does not validate user input correctly, potentially allowing HTML injection via variable injection."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""HTML Injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.9, ""evidence"": ""GraphQL response contains an error message that implies an unknown operation \""updateLocation\"" has variables \""$lat$, \""$lng$, and \""$name\"" but does not validate user input correctly, potentially allowing HTML injection via variable injection."", ""explanation"": ""The GraphQL response indicates that the \""$lat\"", \""$lng$, and \""$name\"" variables are unused in the \""updateLocation\"" operation, but the actual vulnerability is not related to unused variables but rather the possibility of variable injection. The \""leave\"" field in the stacktrace suggests that the variables are being set but not properly sanitized or validated.""}}]"
2025-09-29T02:15:19.538166,updateLocation_response_7,,0,1,0.0,llm_only,,,Access Control,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: query_deny_bypass"", ""detection"": ""vulnerable"", ""category"": ""Access Control"", ""description"": ""The analysis reveals a query deny bypass vulnerability in the GraphQL API. The non-aliased query 'locationID' is blocked due to a syntax error, while the aliased query 's: locationID' is able to bypass access control and retrieve data successfully. Given the presence of data in the aliased query response and the 400 status in the non-aliased query response, a CRITICAL severity is assigned to indicate the vulnerability impacts the system's ability to enforce access control."", ""evidence"": ""Non-aliased query 'locationID' returns 400 with syntax error, while aliased query 's: locationID' succeeds with 200 status and data present. This suggests an access control bypass through query aliasing."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""query_deny_bypass"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""Non-aliased query 'locationID' returns 400 with syntax error, while aliased query 's: locationID' succeeds with 200 status and data present. This suggests an access control bypass through query aliasing."", ""explanation"": ""The analysis reveals a query deny bypass vulnerability in the GraphQL API. The non-aliased query 'locationID' is blocked due to a syntax error, while the aliased query 's: locationID' is able to bypass access control and retrieve data successfully. Given the presence of data in the aliased query response and the 400 status in the non-aliased query response, a CRITICAL severity is assigned to indicate the vulnerability impacts the system's ability to enforce access control.""}}]"
2025-09-29T02:15:30.248739,updateLocation_response_8,,0,1,0.0,llm_only,,,Access Control,0,0,0,0,0,1,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: query_deny_bypass"", ""detection"": ""safe"", ""category"": ""Access Control"", ""description"": ""Exploiting this vulnerability would allow an attacker to execute queries that are normally denied by access control, simply by prefixing the query name with the 's' alias. This could lead to unauthorized data exposure or escalation of privileges."", ""evidence"": ""The aliased query (s: queryName) succeeds with a different error message than the non-aliased query. Non-aliased query returns a 400 error with an access denied error message, while the aliased query returns a 400 error with a syntax error message. This suggests a potential access control bypass vulnerability."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""query_deny_bypass"", ""severity"": ""LOW"", ""confidence"": 0.8, ""evidence"": ""The aliased query (s: queryName) succeeds with a different error message than the non-aliased query. Non-aliased query returns a 400 error with an access denied error message, while the aliased query returns a 400 error with a syntax error message. This suggests a potential access control bypass vulnerability."", ""explanation"": ""Exploiting this vulnerability would allow an attacker to execute queries that are normally denied by access control, simply by prefixing the query name with the 's' alias. This could lead to unauthorized data exposure or escalation of privileges.""}}]"
2025-09-29T02:15:32.819099,updateLocation_response_9,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The error message from the GraphQL server contains a detailed description of the available Query type, including the field \""updateLocation\"". This information disclosure can allow an attacker to gather knowledge about the schema, potentially helping to identify other potential vulnerabilities. The field names and their possible alternatives (\""getLocation\"" or \""getLocations\"") reveal specific details about the GraphQL data model and its structure."", ""evidence"": ""The error message contains information about the GraphQL schema, including the available fields and their names, which can be used for information disclosure."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""MEDIUM"", ""confidence"": 0.9, ""evidence"": ""The error message contains information about the GraphQL schema, including the available fields and their names, which can be used for information disclosure."", ""explanation"": ""The error message from the GraphQL server contains a detailed description of the available Query type, including the field \""updateLocation\"". This information disclosure can allow an attacker to gather knowledge about the schema, potentially helping to identify other potential vulnerabilities. The field names and their possible alternatives (\""getLocation\"" or \""getLocations\"") reveal specific details about the GraphQL data model and its structure.""}}]"
2025-09-29T02:15:36.272048,updateLocation_response_10,400,1,1,0.0,both_detected,,Information Disclosure,Unknown,1,0,0,0,1,0,0.0,llm_potential_only,,,Unknown,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: unknown"", ""detection"": ""potential"", ""category"": ""Unknown"", ""description"": ""Based on the GraphQL response, I found a vulnerability related to **field suggestions**.\n\nHere's my analysis:\n\n**vulnerability details:**\n\n* `is_vulnerable`: true\n* `vulnerability_type`: field_suggestions\n* `severity`: MEDIUM\n* `confidence`: 0.9\n* `evidence`: The error message in the response body contains a field suggestion: \""Did you mean \\\""getLocation\\\"" or \\\""getLocations\\\""?\""\n* `explanation`: The field suggestion vulnerability occurs when a malicious user can persuade the GraphQL server to reveal exploitable or sensitive field suggestions, allowing them to bypass authentication, inject malicious data, or execute unauthorized operations.\n\n\n**FIELD SUGGESTION VULNERABILITY DETAIL:**\n\nThe error message implies that the server is suggesting alternative fields that the user could have intended to query. This can potentially allow an attacker to guess and query privileged or sensitive fields, bypassing authentication checks and authentication mechanisms.\n\n**CONFIDENCE:**\n\nI have high confidence in this finding, as the error message explicitly lists alternative field suggestions (getLocation or getLocations). This indicates a potential vulnerability in the GraphQL server's validation and suggestion mechanisms.\n\nGiven the specifics of this vulnerability and its potential impact, I recommend further review and validation of the server's configuration and schema to ensure that these type of errors do not occur."", ""evidence"": ""Found vulnerability indicators in response"", ""confidence"": 0.3, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""unknown"", ""severity"": ""MEDIUM"", ""confidence"": 0.3, ""evidence"": ""Found vulnerability indicators in response"", ""explanation"": ""Based on the GraphQL response, I found a vulnerability related to **field suggestions**.\n\nHere's my analysis:\n\n**vulnerability details:**\n\n* `is_vulnerable`: true\n* `vulnerability_type`: field_suggestions\n* `severity`: MEDIUM\n* `confidence`: 0.9\n* `evidence`: The error message in the response body contains a field suggestion: \""Did you mean \\\""getLocation\\\"" or \\\""getLocations\\\""?\""\n* `explanation`: The field suggestion vulnerability occurs when a malicious user can persuade the GraphQL server to reveal exploitable or sensitive field suggestions, allowing them to bypass authentication, inject malicious data, or execute unauthorized operations.\n\n\n**FIELD SUGGESTION VULNERABILITY DETAIL:**\n\nThe error message implies that the server is suggesting alternative fields that the user could have intended to query. This can potentially allow an attacker to guess and query privileged or sensitive fields, bypassing authentication checks and authentication mechanisms.\n\n**CONFIDENCE:**\n\nI have high confidence in this finding, as the error message explicitly lists alternative field suggestions (getLocation or getLocations). This indicates a potential vulnerability in the GraphQL server's validation and suggestion mechanisms.\n\nGiven the specifics of this vulnerability and its potential impact, I recommend further review and validation of the server's configuration and schema to ensure that these type of errors do not occur.""}}]"
