timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-09-29T02:45:06.039951,updateWallet_response_2,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-29T02:45:10.785816,updateWallet_response_3,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: xss_injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""The presence of HTML tags in error messages may enable an attacker to inject malicious content within the client-side application via a Cross-Site Scripting (XSS) vulnerability. The errors contain attractive errors which may lead to further requests being sent to the server. Although not directly exploitable in this response, the presence of error messages with scripts might be exploited when the client parses or renders the response, potentially leading to further exploitation. However, this requires careful analysis of the response rendering within the client-side application to conclusively determine the risk level and severity."", ""evidence"": [""error messages containing HTML tags, e.g., 'Field \""$currency\"" of type \""Currency!\"" must have a selection of subfields. Did you mean \""currency { ... }?\""'""], ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""xss_injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": [""error messages containing HTML tags, e.g., 'Field \""$currency\"" of type \""Currency!\"" must have a selection of subfields. Did you mean \""currency { ... }?\""'""], ""explanation"": ""The presence of HTML tags in error messages may enable an attacker to inject malicious content within the client-side application via a Cross-Site Scripting (XSS) vulnerability. The errors contain attractive errors which may lead to further requests being sent to the server. Although not directly exploitable in this response, the presence of error messages with scripts might be exploited when the client parses or renders the response, potentially leading to further exploitation. However, this requires careful analysis of the response rendering within the client-side application to conclusively determine the risk level and severity.""}}]"
2025-09-29T02:45:19.153844,updateWallet_response_4,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: SSRF (Server-Side Request Forgery)"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The error message in the GraphQL response contains a reference to a \""currency\"" field, which can be used to inject an internal network request. This is a clear sign of a SSRF vulnerability. An attacker can potentially exploit this to make requests to internal servers or services, leading to unauthorized access or data exposure."", ""evidence"": ""The presence of a malformed GraphQL response with an error message that includes a reference to a \""currency\"" field, which can be used to make an internal request to the server. This indicates a potential SSRF vulnerability."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""SSRF (Server-Side Request Forgery)"", ""severity"": ""HIGH"", ""confidence"": 0.8, ""evidence"": ""The presence of a malformed GraphQL response with an error message that includes a reference to a \""currency\"" field, which can be used to make an internal request to the server. This indicates a potential SSRF vulnerability."", ""explanation"": ""The error message in the GraphQL response contains a reference to a \""currency\"" field, which can be used to inject an internal network request. This is a clear sign of a SSRF vulnerability. An attacker can potentially exploit this to make requests to internal servers or services, leading to unauthorized access or data exposure.""}}]"
2025-09-29T02:45:24.599563,updateWallet_response_5,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-09-29T02:45:32.133352,updateWallet_response_6,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: path_injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""In this GraphQL response, a validation error is triggered when trying to access a field within the \""currency\"" field of type \""Currency!\"" without first nesting it within a surrounding selection (e.g., \""currency { ... }\""). This could indicate that the schema allows for internal path manipulation through poorly constructed queries, potentially allowing an attacker to inject malicious path access and compromise the system's access control. However, further investigation would be required to confirm such an attack vector."", ""evidence"": ""The error message mentions a field name (**\""currency\""**) which is concatenated with a selection (**\""{ ... }\""**) within the schema, potentially allowing for path manipulation through an invalid field access vulnerability."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""path_injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""The error message mentions a field name (**\""currency\""**) which is concatenated with a selection (**\""{ ... }\""**) within the schema, potentially allowing for path manipulation through an invalid field access vulnerability."", ""explanation"": ""In this GraphQL response, a validation error is triggered when trying to access a field within the \""currency\"" field of type \""Currency!\"" without first nesting it within a surrounding selection (e.g., \""currency { ... }\""). This could indicate that the schema allows for internal path manipulation through poorly constructed queries, potentially allowing an attacker to inject malicious path access and compromise the system's access control. However, further investigation would be required to confirm such an attack vector.""}}]"
2025-09-29T02:45:35.141947,updateWallet_response_7,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,0,1,0,0.0,llm_potential_only,,,Injection Attacks,[],"[{""detection_name"": ""LLM: HTML Injection"", ""detection"": ""potential"", ""category"": ""Injection Attacks"", ""description"": ""This vulnerability occurs when user input is not sanitized properly and gets injected into the graphQL's html rendering section. An attacker can exploit this to inject malicious HTML code. The attack path is via user input of a graphQL query that injection of HTML forms."", ""evidence"": ""The GraphQL response contains a malformed GraphQL request that lead to HTML injection issue in field \""$currency\"" of type \""Currency!\"". The attack path is via nested graphQL form field and a lack of control form input validation in the severity of the issue."", ""confidence"": 0.8, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""HTML Injection"", ""severity"": ""MEDIUM"", ""confidence"": 0.8, ""evidence"": ""The GraphQL response contains a malformed GraphQL request that lead to HTML injection issue in field \""$currency\"" of type \""Currency!\"". The attack path is via nested graphQL form field and a lack of control form input validation in the severity of the issue."", ""explanation"": ""This vulnerability occurs when user input is not sanitized properly and gets injected into the graphQL's html rendering section. An attacker can exploit this to inject malicious HTML code. The attack path is via user input of a graphQL query that injection of HTML forms.""}}]"
2025-09-29T02:45:46.294906,updateWallet_response_8,,0,1,0.0,llm_only,,,Access Control,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: query_deny_bypass"", ""detection"": ""vulnerable"", ""category"": ""Access Control"", ""description"": ""The aliased query with the `currency` field successfully returns data, indicating that access control is bypassed. This is likely due to the use of query aliases, which allows the aliased query to evade the access control restrictions applied to the non-aliased query."", ""evidence"": ""Aliased query with currency field selection succeeds, while non-aliased query returns an error indicating the field must have a selection of subfields."", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""query_deny_bypass"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""Aliased query with currency field selection succeeds, while non-aliased query returns an error indicating the field must have a selection of subfields."", ""explanation"": ""The aliased query with the `currency` field successfully returns data, indicating that access control is bypassed. This is likely due to the use of query aliases, which allows the aliased query to evade the access control restrictions applied to the non-aliased query.""}}]"
2025-09-29T02:45:50.507686,updateWallet_response_9,400,0,1,0.0,llm_only,,,Injection Attacks,0,0,0,1,0,0,0.0,no_potential,,,,[],"[{""detection_name"": ""LLM: Introspection"", ""detection"": ""vulnerable"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response contains an error message 'Cannot query field \""updateWallet\"" on type \""Query\"". Did you mean \""getWallet\""?' which indicates accidental exposure of the schema structure. The error message specifically mentions two fields `updateWallet` and `getWallet`, suggesting that the schema has these two fields. This is a clear sign of an insecure GraphQL schema design. Sensitive information about field names and types can be extracted from this message, which can aid in finding vulnerabilities."", ""evidence"": ""GraphQL error message exposing schema structure and field suggestions"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Introspection"", ""severity"": ""CRITICAL"", ""confidence"": 0.9, ""evidence"": ""GraphQL error message exposing schema structure and field suggestions"", ""explanation"": ""The GraphQL response contains an error message 'Cannot query field \""updateWallet\"" on type \""Query\"". Did you mean \""getWallet\""?' which indicates accidental exposure of the schema structure. The error message specifically mentions two fields `updateWallet` and `getWallet`, suggesting that the schema has these two fields. This is a clear sign of an insecure GraphQL schema design. Sensitive information about field names and types can be extracted from this message, which can aid in finding vulnerabilities.""}}]"
2025-09-29T02:45:54.460597,updateWallet_response_10,400,1,0,0.0,simple_only,,Information Disclosure,,1,0,0,0,0,0,0.0,no_potential,,,,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]",[]
2025-09-29T02:46:29.562630,updateWallet_response_2,400,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
